Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
bièn,Andernos-les-Bains,bien,Bazas-bis,{},{},"{('è', 'e'): 1}",bien,Auros-bis,{},{},"{('è', 'e'): 1}",bién̈,Audenge-bis,{'̈': 1},{},"{('è', 'é'): 1}"
bien,Arès,biènn,Savignac,{'è': 1},{},"{('e', 'n'): 1}",bien,Ailas,{},{},{},bien,Coimères,{},{},{}
bién̈,Audenge-bis,bièn,Andernos-les-Bains,{},{'̈': 1},"{('é', 'è'): 1}",bien,Le Porge,{},{'̈': 1},"{('é', 'e'): 1}",bien,Saint-Étienne-de-Lisse,{},{'̈': 1},"{('é', 'e'): 1}"
bién,Audenge,bé,Saint-Léon-sur-l'Isle,{},"{'i': 1, 'n': 1}",{},bien,Lignan-de-Bazas,{},{},"{('é', 'e'): 1}",bieun,Belin-Béliet,{'e': 1},{},"{('é', 'u'): 1}"
bienn,Biganos,bien,Lussas,{},{'n': 1},{},bien,Blanquefort-bis,{},{'n': 1},{},,,,,
bien,Lacanau-de-Mios,bien,Eysines,{},{},{},bien,Carbon-Blanc-bis,{},{},{},,,,,
bién,Lanton,bién,Macau,{},{},{},bien,Castelnau-de-Médoc,{},{},"{('é', 'e'): 1}",bien,Saint-Loubès,{},{},"{('é', 'e'): 1}"
bién,Lège,bien,Pompogne,{},{},"{('é', 'e'): 1}",bièn,Saint-Sulpice-et-Cameyrac,{},{},"{('é', 'è'): 1}",,,,,
biènn,Mios,bien,Ailas,{},{'n': 1},"{('è', 'e'): 1}",bien,Saint-Maixant,{},{'n': 1},"{('è', 'e'): 1}",,,,,
bien,Ailas,bien,Arès,{},{},{},biènn,Mios,{'è': 1},{},"{('e', 'n'): 1}",bien,Auros-bis,{},{},{}
bien,Auros-bis,bièn,Andernos-les-Bains,{},{},"{('e', 'è'): 1}",bien,Ailas,{},{},{},bién,Meylan,{},{},"{('e', 'é'): 1}"
bien,Auros,bièn,Bordeaux,{},{},"{('e', 'è'): 1}",bien,Sainte-Foy-la-Grande-bis,{},{},{},bien,Brannens,{},{},{}
bién,Barie,bien,Yvrac,{},{},"{('é', 'e'): 1}",bien,Atur,{},{},"{('é', 'e'): 1}",,,,,
bien,Brannens,bien,Bassillac,{},{},{},bien,Auros,{},{},{},bién,Castillon-de-Castets,{},{},"{('e', 'é'): 1}"
bién,Castillon-de-Castets,bien,Saint-Médard-en-Jalles,{},{},"{('é', 'e'): 1}",pla,Boé,{},{'n': 1},"{('b', 'p'): 1, ('i', 'l'): 1, ('é', 'a'): 1}",bien,Brannens,{},{},"{('é', 'e'): 1}"
bien,Coimères,bien,Arès,{},{},{},bien,Cudos,{},{},{},bién,Lados,{},{},"{('e', 'é'): 1}"
bién,Lados,bien,Gans,{},{},"{('é', 'e'): 1}",bièn,Puybarban,{},{},"{('é', 'è'): 1}",bien,Coimères,{},{},"{('é', 'e'): 1}"
bién,Pondaurat,bien,Blaignan,{},{},"{('é', 'e'): 1}",bién,Bescat,{},{},{},,,,,
bièn,Puybarban,bién,Lados,{},{},"{('è', 'é'): 1}",bien,Le Bouscat,{},{},"{('è', 'e'): 1}",biènn,Savignac,{'n': 1},{},{}
biènn,Savignac,bien,Sigalens,{},{'n': 1},"{('è', 'e'): 1}",bien,Arès,{},{'n': 1},"{('è', 'e'): 1}",bièn,Puybarban,{},{'n': 1},{}
bien,Sigalens,bien,Caudéran,{},{},{},biènn,Savignac,{'è': 1},{},"{('e', 'n'): 1}",bien,Bayon-sur-Gironde,{},{},{}
bien,Bazas-bis,bièn,Bazas,{},{},"{('e', 'è'): 1}",bièn,Andernos-les-Bains,{},{},"{('e', 'è'): 1}",pla,Saint-Aubin,{},{'n': 1},"{('b', 'p'): 1, ('i', 'l'): 1, ('e', 'a'): 1}"
bièn,Bazas,bién,Cazats,{},{},"{('è', 'é'): 1}",bien,Bazas-bis,{},{},"{('è', 'e'): 1}",bien,Prats-de-Carlux,{},{},"{('è', 'e'): 1}"
bién,Bernos-Beaulac,bien,Birac,{},{},"{('é', 'e'): 1}",bien,Saumos,{},{},"{('é', 'e'): 1}",bién,Gajac,{},{},{}
bien,Birac,bien,Saint-Magne-de-Castillon,{},{},{},bién,Bernos-Beaulac,{},{},"{('e', 'é'): 1}",bién,Cazats,{},{},"{('e', 'é'): 1}"
bién,Cazats,bien,Cudos,{},{},"{('é', 'e'): 1}",bièn,Bazas,{},{},"{('é', 'è'): 1}",bien,Birac,{},{},"{('é', 'e'): 1}"
bien,Cudos,bien,Coimères,{},{},{},bién,Cazats,{},{},"{('e', 'é'): 1}",bien,Gans,{},{},{}
bién,Gajac,bien,Belvès-de-Castillon,{},{},"{('é', 'e'): 1}",bien,Gans,{},{},"{('é', 'e'): 1}",bién,Bernos-Beaulac,{},{},{}
bien,Gans,bién,Gajac,{},{},"{('e', 'é'): 1}",bién,Lados,{},{},"{('e', 'é'): 1}",bien,Cudos,{},{},{}
biein,Le Nizan,bien,Prignac-et-Marcamps,{},{'i': 1},{},bèn,Gauriac,{},"{'e': 1, 'i': 1}","{('i', 'è'): 1}",bien,Saint-Antoine-sur-l'Isle,{},{'i': 1},{}
bien,Lignan-de-Bazas,bién,Audenge,{},{},"{('e', 'é'): 1}",biénn,Lansac,{'é': 1},{},"{('e', 'n'): 1}",bieun,Béliet,{'u': 1},{},{}
bien,Saint-Côme,bien,Bonnetan,{},{},{},bien,Saint-Trojan,{},{},{},bieun,Béliet,{'u': 1},{},{}
