Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
bién,Andernos-les-Bains,bien,Bazas-bis,{},{},"{('é', 'e'): 1}",bien,Auros-bis,{},{},"{('é', 'e'): 1}",bien,Audenge-bis,{},{},"{('é', 'e'): 1}"
bien,Arès,bien,Savignac,{},{},{},bién,Ailas,{},{},"{('e', 'é'): 1}",biein,Coimères,{'i': 1},{},{}
bien,Audenge-bis,bién,Andernos-les-Bains,{},{},"{('e', 'é'): 1}",bien,Le Porge,{},{},{},bien,Saint-Étienne-de-Lisse,{},{},{}
bién,Audenge,bien,Lignan-de-Bazas,{},{},"{('é', 'e'): 1}",bien,Belin-Béliet,{},{},"{('é', 'e'): 1}",,,,,
bien,Biganos,bién,Blanquefort-bis,{},{},"{('e', 'é'): 1}",,,,,,,,,,
bien,Lacanau-de-Mios,bien,Eysines,{},{},{},bien,Carbon-Blanc-bis,{},{},{},,,,,
bien,Lanton,bien,Macau,{},{},{},bién,Castelnau-de-Médoc,{},{},"{('e', 'é'): 1}",bien,Saint-Loubès,{},{},{}
bien,Lège,bién,Pompogne,{},{},"{('e', 'é'): 1}",bien,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
bién,Mios,bién,Ailas,{},{},{},bien,Saint-Maixant,{},{},"{('é', 'e'): 1}",,,,,
bién,Ailas,bien,Arès,{},{},"{('é', 'e'): 1}",bién,Mios,{},{},{},bien,Auros-bis,{},{},"{('é', 'e'): 1}"
bien,Auros-bis,bién,Andernos-les-Bains,{},{},"{('e', 'é'): 1}",bién,Ailas,{},{},"{('e', 'é'): 1}",bets,Meylan,{},{},"{('i', 'e'): 1, ('e', 't'): 1, ('n', 's'): 1}"
bién,Auros,bien,Bordeaux,{},{},"{('é', 'e'): 1}",bien,Sainte-Foy-la-Grande-bis,{},{},"{('é', 'e'): 1}",bién,Brannens,{},{},{}
bien,Barie,bien,Yvrac,{},{},{},,,,,,,,,,
bién,Brannens,bién,Auros,{},{},{},bien,Castillon-de-Castets,{},{},"{('é', 'e'): 1}",,,,,
bien,Castillon-de-Castets,bien,Saint-Médard-en-Jalles,{},{},{},bién,Brannens,{},{},"{('e', 'é'): 1}",,,,,
biein,Coimères,bien,Arès,{},{'i': 1},{},bièn,Cudos,{},{'i': 1},"{('e', 'è'): 1}",bièn,Lados,{},{'i': 1},"{('e', 'è'): 1}"
bièn,Lados,bien,Gans,{},{},"{('è', 'e'): 1}",bién,Puybarban,{},{},"{('è', 'é'): 1}",biein,Coimères,{'e': 1},{},"{('è', 'i'): 1}"
bien,Pondaurat,bién,Blaignan,{},{},"{('e', 'é'): 1}",,,,,,,,,,
bién,Puybarban,bièn,Lados,{},{},"{('é', 'è'): 1}",bien,Le Bouscat,{},{},"{('é', 'e'): 1}",bien,Savignac,{},{},"{('é', 'e'): 1}"
bien,Savignac,bién,Sigalens,{},{},"{('e', 'é'): 1}",bien,Arès,{},{},{},bién,Puybarban,{},{},"{('e', 'é'): 1}"
bién,Sigalens,bien,Caudéran,{},{},"{('é', 'e'): 1}",bien,Savignac,{},{},"{('é', 'e'): 1}",bien,Bayon-sur-Gironde,{},{},"{('é', 'e'): 1}"
bien,Bazas-bis,bien,Bazas,{},{},{},bién,Andernos-les-Bains,{},{},"{('e', 'é'): 1}",,,,,
bien,Bazas,bien,Cazats,{},{},{},bien,Bazas-bis,{},{},{},,,,,
bien,Bernos-Beaulac,bien,Birac,{},{},{},bien,Saumos,{},{},{},biên,Gajac,{},{},"{('e', 'ê'): 1}"
bien,Birac,bién,Saint-Magne-de-Castillon,{},{},"{('e', 'é'): 1}",bien,Bernos-Beaulac,{},{},{},bien,Cazats,{},{},{}
bien,Cazats,bièn,Cudos,{},{},"{('e', 'è'): 1}",bien,Bazas,{},{},{},bien,Birac,{},{},{}
bièn,Cudos,biein,Coimères,{'e': 1},{},"{('è', 'i'): 1}",bien,Cazats,{},{},"{('è', 'e'): 1}",bien,Gans,{},{},"{('è', 'e'): 1}"
biên,Gajac,bien,Belvès-de-Castillon,{},{},"{('ê', 'e'): 1}",bien,Gans,{},{},"{('ê', 'e'): 1}",bien,Bernos-Beaulac,{},{},"{('ê', 'e'): 1}"
bien,Gans,biên,Gajac,{},{},"{('e', 'ê'): 1}",bièn,Lados,{},{},"{('e', 'è'): 1}",bièn,Cudos,{},{},"{('e', 'è'): 1}"
bién,Le Nizan,bien,Prignac-et-Marcamps,{},{},"{('é', 'e'): 1}",bien,Gauriac,{},{},"{('é', 'e'): 1}",bien,Saint-Antoine-sur-l'Isle,{},{},"{('é', 'e'): 1}"
