Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
bailléou,Andernos-les-Bains,baïllèoue,Bazas-bis,{'e': 1},{},"{('i', 'ï'): 1, ('é', 'è'): 1}",baillèoueu,Auros-bis,"{'u': 1, 'e': 1}",{},"{('é', 'è'): 1}",bailléoue,Audenge-bis,{'e': 1},{},{}
bailléoun,Arès,bailléou,Savignac,{},{'n': 1},{},baïlléoue,Ailas,{},{},"{('i', 'ï'): 1, ('n', 'e'): 1}",bailléoue,Coimères,{},{},"{('n', 'e'): 1}"
bailléoue,Audenge-bis,bailléou,Andernos-les-Bains,{},{'e': 1},{},baillèbe,Le Porge,{},{'u': 1},"{('é', 'è'): 1, ('o', 'b'): 1}",baillèbe,Saint-Étienne-de-Lisse,{},{'u': 1},"{('é', 'è'): 1, ('o', 'b'): 1}"
bailléoue,Audenge,bailléoue,Lignan-de-Bazas,{},{},{},bailléoueu,Belin-Béliet,{'u': 1},{},{},,,,,
bailléoue,Biganos,bailléoue,Blanquefort-bis,{},{},{},,,,,,,,,,
bailléoueu,Lacanau-de-Mios,baillébe,Eysines,{},{'u': 2},"{('o', 'b'): 1}",baillèoue,Carbon-Blanc-bis,{},{'u': 1},"{('é', 'è'): 1}",,,,,
bailléoueun,Lanton,baillèoue,Macau,{},"{'u': 1, 'n': 1}","{('é', 'è'): 1}",baillèou,Castelnau-de-Médoc,{},"{'e': 1, 'u': 1, 'n': 1}","{('é', 'è'): 1}",baillèbe,Saint-Loubès,{},"{'u': 2, 'n': 1}","{('é', 'è'): 1, ('o', 'b'): 1}"
baillèoue,Lège,baillaouo,Pompogne,{},{},"{('è', 'a'): 1, ('e', 'o'): 1}",baillèoue,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
bailléoue,Mios,baïlléoue,Ailas,{},{},"{('i', 'ï'): 1}",bailémne,Saint-Maixant,{},{'l': 1},"{('o', 'm'): 1, ('u', 'n'): 1}",,,,,
baïlléoue,Ailas,bailléoun,Arès,{},{},"{('ï', 'i'): 1, ('e', 'n'): 1}",bailléoue,Mios,{},{},"{('ï', 'i'): 1}",baillèoueu,Auros-bis,{'u': 1},{},"{('ï', 'i'): 1, ('é', 'è'): 1}"
baillèoueu,Auros-bis,bailléou,Andernos-les-Bains,{},"{'u': 1, 'e': 1}","{('è', 'é'): 1}",baïlléoue,Ailas,{},{'u': 1},"{('i', 'ï'): 1, ('è', 'é'): 1}",baillaouo,Meylan,{},{'u': 1},"{('è', 'a'): 1, ('e', 'o'): 1}"
baillèoue,Auros,bailléoue,Bordeaux,{},{},"{('è', 'é'): 1}",baillaoube,Sainte-Foy-la-Grande-bis,{'b': 1},{},"{('è', 'a'): 1}",bailléoue,Brannens,{},{},"{('è', 'é'): 1}"
bailléou,Barie,bailléoueu,Yvrac,"{'e': 1, 'u': 1}",{},{},,,,,,,,,,
bailléoue,Brannens,baillèoue,Auros,{},{},"{('é', 'è'): 1}",baillèou,Castillon-de-Castets,{},{'e': 1},"{('é', 'è'): 1}",,,,,
baillèou,Castillon-de-Castets,baillaoue,Saint-Médard-en-Jalles,{'e': 1},{},"{('è', 'a'): 1}",baillaouo,Boé,{'o': 1},{},"{('è', 'a'): 1}",bailléoue,Brannens,{'e': 1},{},"{('è', 'é'): 1}"
bailléoue,Coimères,bailléoun,Arès,{},{},"{('e', 'n'): 1}",baillèoue,Cudos,{},{},"{('é', 'è'): 1}",baillèoue,Lados,{},{},"{('é', 'è'): 1}"
baillèoue,Lados,bailléhou,Gans,{'é': 1},{'e': 1},"{('è', 'h'): 1}",bâillèoue,Puybarban,{},{},"{('a', 'â'): 1}",bailléoue,Coimères,{},{},"{('è', 'é'): 1}"
baillèoue,Pondaurat,baillaou,Blaignan,{},{'e': 1},"{('è', 'a'): 1}",,,,,,,,,,
bâillèoue,Puybarban,baillèoue,Lados,{},{},"{('â', 'a'): 1}",baillabe,Le Bouscat,{},{'u': 1},"{('â', 'a'): 1, ('è', 'a'): 1, ('o', 'b'): 1}",bailléou,Savignac,{},{'e': 1},"{('â', 'a'): 1, ('è', 'é'): 1}"
bailléou,Savignac,bailléoue,Sigalens,{'e': 1},{},{},bailléoun,Arès,{'n': 1},{},{},bâillèoue,Puybarban,{'e': 1},{},"{('a', 'â'): 1, ('é', 'è'): 1}"
bailléoue,Sigalens,baillaoue,Caudéran,{},{},"{('é', 'a'): 1}",bailléou,Savignac,{},{'e': 1},{},bailleou,Bayon-sur-Gironde,{},{'e': 1},"{('é', 'e'): 1}"
baïllèoue,Bazas-bis,baillèouë,Bazas,{},{},"{('ï', 'i'): 1, ('e', 'ë'): 1}",bailléou,Andernos-les-Bains,{},{'e': 1},"{('ï', 'i'): 1, ('è', 'é'): 1}",baillaouo,Saint-Aubin,{},{},"{('ï', 'i'): 1, ('è', 'a'): 1, ('e', 'o'): 1}"
baillèouë,Bazas,bailléoue,Cazats,{},{},"{('è', 'é'): 1, ('ë', 'e'): 1}",baïllèoue,Bazas-bis,{},{},"{('i', 'ï'): 1, ('ë', 'e'): 1}",,,,,
bailléoue,Bernos-Beaulac,baillèoue,Birac,{},{},"{('é', 'è'): 1}",bailléou,Saumos,{},{'e': 1},{},bailléoué,Gajac,{},{},"{('e', 'é'): 1}"
