Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
s,Andernos-les-Bains,s,Bazas-bis,{},{},{},s,Auros-bis,{},{},{},s,Audenge-bis,{},{},{}
s,Arès,s,Savignac,{},{},{},s,Ailas,{},{},{},s,Coimères,{},{},{}
s,Audenge-bis,s,Andernos-les-Bains,{},{},{},,,,,,,,,,
s,Audenge,s,Lignan-de-Bazas,{},{},{},s,Belin-Béliet,{},{},{},,,,,
s,Biganos,s,Blanquefort-bis,{},{},{},,,,,,,,,,
s,Lacanau-de-Mios,s,Eysines,{},{},{},,,,,,,,,,
s,Lanton,s,Macau,{},{},{},,,,,,,,,,
s,Lège,,,,,,,,,,,,,,,
s,Mios,s,Ailas,{},{},{},,,,,,,,,,
s,Ailas,s,Arès,{},{},{},s,Mios,{},{},{},s,Auros-bis,{},{},{}
s,Auros-bis,s,Andernos-les-Bains,{},{},{},s,Ailas,{},{},{},,,,,
s,Auros,s,Bordeaux,{},{},{},s,Brannens,{},{},{},,,,,
s,Barie,,,,,,,,,,,,,,,
s,Brannens,s,Auros,{},{},{},s,Castillon-de-Castets,{},{},{},,,,,
s,Castillon-de-Castets,s,Saint-Médard-en-Jalles,{},{},{},s,Brannens,{},{},{},,,,,
s,Coimères,s,Arès,{},{},{},s,Cudos,{},{},{},s,Lados,{},{},{}
s,Lados,s,Gans,{},{},{},s,Puybarban,{},{},{},s,Coimères,{},{},{}
s,Pondaurat,,,,,,,,,,,,,,,
s,Puybarban,s,Lados,{},{},{},s,Le Bouscat,{},{},{},s,Savignac,{},{},{}
s,Savignac,s,Sigalens,{},{},{},s,Arès,{},{},{},s,Puybarban,{},{},{}
s,Sigalens,sé,Caudéran,{'é': 1},{},{},s,Savignac,{},{},{},s,Bayon-sur-Gironde,{},{},{}
s,Bazas-bis,s,Bazas,{},{},{},s,Andernos-les-Bains,{},{},{},,,,,
s,Bazas,s,Cazats,{},{},{},s,Bazas-bis,{},{},{},,,,,
s,Bernos-Beaulac,s,Birac,{},{},{},s,Gajac,{},{},{},,,,,
s,Birac,s,Bernos-Beaulac,{},{},{},s,Cazats,{},{},{},,,,,
s,Cazats,s,Cudos,{},{},{},s,Bazas,{},{},{},s,Birac,{},{},{}
s,Cudos,s,Coimères,{},{},{},s,Cazats,{},{},{},s,Gans,{},{},{}
s,Gajac,s,Gans,{},{},{},s,Bernos-Beaulac,{},{},{},,,,,
s,Gans,s,Gajac,{},{},{},s,Lados,{},{},{},s,Cudos,{},{},{}
s,Le Nizan,sé,Prignac-et-Marcamps,{'é': 1},{},{},s,Gauriac,{},{},{},,,,,
s,Lignan-de-Bazas,s,Audenge,{},{},{},s,Lansac,{},{},{},s,Béliet,{},{},{}
s,Saint-Côme,s,Béliet,{},{},{},,,,,,,,,,
