Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
caoulét,Andernos-les-Bains,caoulet,Bazas-bis,{},{},"{('é', 'e'): 1}",caoulets,Auros-bis,{'s': 1},{},"{('é', 'e'): 1}",caouléts,Audenge-bis,{'s': 1},{},{}
caoulets,Arès,caouléts,Savignac,{},{},"{('e', 'é'): 1}",caouléts,Ailas,{},{},"{('e', 'é'): 1}",caoulets,Coimères,{},{},{}
caouléts,Audenge-bis,caoulét,Andernos-les-Bains,{},{'s': 1},{},caou,Le Porge,{},"{'l': 1, 'é': 1, 't': 1, 's': 1}",{},caoulets,Saint-Étienne-de-Lisse,{},{},"{('é', 'e'): 1}"
caoulêts,Audenge,tsooux,Saint-Léon-sur-l'Isle,{'o': 1},"{'ê': 1, 't': 1, 's': 1}","{('c', 't'): 1, ('a', 's'): 1, ('l', 'x'): 1}",cahoulettss,Lignan-de-Bazas,"{'h': 1, 't': 1, 's': 1}",{},"{('ê', 'e'): 1}",caouleut,Belin-Béliet,{'e': 1},{'s': 1},"{('ê', 'u'): 1}"
caouléts,Biganos,caouléts,Lussas,{},{},{},caous,Blanquefort-bis,{},"{'l': 1, 'é': 1, 't': 1}",{},,,,,
caouleut,Lacanau-de-Mios,caous,Eysines,{},"{'e': 1, 'u': 1, 't': 1}","{('l', 's'): 1}",caou,Carbon-Blanc-bis,{},"{'l': 1, 'e': 1, 'u': 1, 't': 1}",{},,,,,
caoulét,Lanton,caous,Macau,{},"{'é': 1, 't': 1}","{('l', 's'): 1}",caous,Castelnau-de-Médoc,{},"{'é': 1, 't': 1}","{('l', 's'): 1}",caous,Saint-Loubès,{},"{'é': 1, 't': 1}","{('l', 's'): 1}"
caoulétz,Lège,caoules,Pompogne,{},{'z': 1},"{('é', 'e'): 1, ('t', 's'): 1}",caou,Saint-Sulpice-et-Cameyrac,{},"{'l': 1, 'é': 1, 't': 1, 'z': 1}",{},,,,,
caouleut,Mios,caouléts,Ailas,{},{},"{('e', 'é'): 1, ('u', 't'): 1, ('t', 's'): 1}",caouléts,Saint-Maixant,{},{},"{('e', 'é'): 1, ('u', 't'): 1, ('t', 's'): 1}",,,,,
caouléts,Ailas,caoulets,Arès,{},{},"{('é', 'e'): 1}",caouleut,Mios,{'e': 1},{'s': 1},"{('é', 'u'): 1}",caoulets,Auros-bis,{},{},"{('é', 'e'): 1}"
caoulets,Auros-bis,caoulét,Andernos-les-Bains,{},{'s': 1},"{('e', 'é'): 1}",caouléts,Ailas,{},{},"{('e', 'é'): 1}",caouléts,Meylan,{},{},"{('e', 'é'): 1}"
