Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
aquéts,Andernos-les-Bains,aquets,Bazas-bis,{},{},"{('é', 'e'): 1}",aquets,Auros-bis,{},{},"{('é', 'e'): 1}",lous,Audenge-bis,{},"{'é': 1, 't': 1}","{('a', 'l'): 1, ('q', 'o'): 1}"
lous,Arès,aquéts,Savignac,"{'é': 1, 't': 1}",{},"{('l', 'a'): 1, ('o', 'q'): 1}",aquéts,Ailas,"{'é': 1, 't': 1}",{},"{('l', 'a'): 1, ('o', 'q'): 1}",aquets,Coimères,"{'e': 1, 't': 1}",{},"{('l', 'a'): 1, ('o', 'q'): 1}"
lous,Audenge-bis,aquéts,Andernos-les-Bains,"{'é': 1, 't': 1}",{},"{('l', 'a'): 1, ('o', 'q'): 1}",qués,Le Porge,{},{},"{('l', 'q'): 1, ('o', 'u'): 1, ('u', 'é'): 1}",quey,Saint-Étienne-de-Lisse,{},{},"{('l', 'q'): 1, ('o', 'u'): 1, ('u', 'e'): 1, ('s', 'y'): 1}"
aquits,Audenge,quey,Saint-Léon-sur-l'Isle,{},"{'a': 1, 's': 1}","{('i', 'e'): 1, ('t', 'y'): 1}",aquetts,Lignan-de-Bazas,{'e': 1},{},"{('i', 't'): 1}",aquits,Belin-Béliet,{},{},{}
aquits,Biganos,de,Lussas,{},"{'u': 1, 'i': 1, 't': 1, 's': 1}","{('a', 'd'): 1, ('q', 'e'): 1}",aquets,Blanquefort-bis,{},{},"{('i', 'e'): 1}",,,,,
aquits,Lacanau-de-Mios,aquits,Eysines,{},{},{},aquès,Carbon-Blanc-bis,{},{'t': 1},"{('i', 'è'): 1}",,,,,
aquits,Lanton,qués,Macau,{},"{'a': 1, 't': 1}","{('i', 'é'): 1}",aquès,Castelnau-de-Médoc,{},{'t': 1},"{('i', 'è'): 1}",aquès,Saint-Loubès,{},{'t': 1},"{('i', 'è'): 1}"
aquéts,Lège,quelley,Pompogne,"{'e': 1, 'l': 1}",{'a': 1},"{('é', 'l'): 1, ('t', 'e'): 1, ('s', 'y'): 1}",lés,Saint-Sulpice-et-Cameyrac,{},"{'q': 1, 'u': 1, 't': 1}","{('a', 'l'): 1}",,,,,
aquits,Mios,aquéts,Ailas,{},{},"{('i', 'é'): 1}",lous,Saint-Maixant,{},"{'i': 1, 't': 1}","{('a', 'l'): 1, ('q', 'o'): 1}",,,,,
aquéts,Ailas,lous,Arès,{},"{'é': 1, 't': 1}","{('a', 'l'): 1, ('q', 'o'): 1}",aquits,Mios,{},{},"{('é', 'i'): 1}",aquets,Auros-bis,{},{},"{('é', 'e'): 1}"
aquets,Auros-bis,aquéts,Andernos-les-Bains,{},{},"{('e', 'é'): 1}",aquéts,Ailas,{},{},"{('e', 'é'): 1}",aquéts,Meylan,{},{},"{('e', 'é'): 1}"
aquets,Auros,aquets,Bordeaux,{},{},{},quey,Sainte-Foy-la-Grande-bis,{},"{'a': 1, 's': 1}","{('t', 'y'): 1}",lous,Brannens,{},"{'e': 1, 't': 1}","{('a', 'l'): 1, ('q', 'o'): 1}"
aquétz,Barie,quès,Yvrac,{},"{'a': 1, 'z': 1}","{('é', 'è'): 1, ('t', 's'): 1}",lo,Atur,{},"{'u': 1, 'é': 1, 't': 1, 'z': 1}","{('a', 'l'): 1, ('q', 'o'): 1}",,,,,
