Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
cop,Andernos-les-Bains,cop,Bazas-bis,{},{},{},cop,Auros-bis,{},{},{},cop,Audenge-bis,{},{},{}
cop,Arès,cop,Savignac,{},{},{},cop,Ailas,{},{},{},cop,Coimères,{},{},{}
cop,Audenge-bis,cop,Andernos-les-Bains,{},{},{},quouque,Le Porge,"{'q': 2, 'u': 2}",{},"{('c', 'u'): 1, ('p', 'e'): 1}",cops,Saint-Étienne-de-Lisse,{'s': 1},{},{}
cop,Audenge,cops,Saint-Léon-sur-l'Isle,{'s': 1},{},{},cop,Lignan-de-Bazas,{},{},{},cop,Belin-Béliet,{},{},{}
cop,Biganos,cop,Lussas,{},{},{},cops,Blanquefort-bis,{'s': 1},{},{},,,,,
cop,Lacanau-de-Mios,cop,Eysines,{},{},{},cop,Carbon-Blanc-bis,{},{},{},,,,,
cop,Lanton,cop,Macau,{},{},{},cots,Castelnau-de-Médoc,{'t': 1},{},"{('p', 's'): 1}",cops,Saint-Loubès,{'s': 1},{},{}
cop,Lège,co,Pompogne,{},{'p': 1},{},cop,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
cop,Mios,cop,Ailas,{},{},{},cop,Saint-Maixant,{},{},{},,,,,
cop,Ailas,cop,Arès,{},{},{},cop,Mios,{},{},{},cop,Auros-bis,{},{},{}
cop,Auros-bis,cop,Andernos-les-Bains,{},{},{},cop,Ailas,{},{},{},cot,Meylan,{},{},"{('p', 't'): 1}"
cop,Auros,cot,Bordeaux,{},{},"{('p', 't'): 1}",cóouque,Sainte-Foy-la-Grande-bis,"{'ó': 1, 'u': 2, 'q': 1}",{},"{('p', 'e'): 1}",cop,Brannens,{},{},{}
cops,Barie,cops,Yvrac,{},{},{},cop,Atur,{},{'s': 1},{},,,,,
cop,Brannens,cop,Bassillac,{},{},{},cop,Auros,{},{},{},cop,Castillon-de-Castets,{},{},{}
cop,Castillon-de-Castets,cops,Saint-Médard-en-Jalles,{'s': 1},{},{},cop,Boé,{},{},{},cop,Brannens,{},{},{}
cop,Coimères,cop,Arès,{},{},{},cop,Cudos,{},{},{},cop,Lados,{},{},{}
cop,Lados,cop,Gans,{},{},{},cop,Puybarban,{},{},{},cop,Coimères,{},{},{}
cop,Pondaurat,cop,Blaignan,{},{},{},cop,Bescat,{},{},{},,,,,
cop,Puybarban,cop,Lados,{},{},{},cot,Le Bouscat,{},{},"{('p', 't'): 1}",cop,Savignac,{},{},{}
cop,Savignac,cop,Sigalens,{},{},{},cop,Arès,{},{},{},cop,Puybarban,{},{},{}
cop,Sigalens,quouques,Caudéran,"{'q': 2, 'u': 2, 'e': 1}",{},"{('c', 'u'): 1, ('p', 's'): 1}",cop,Savignac,{},{},{},cot,Bayon-sur-Gironde,{},{},"{('p', 't'): 1}"
cop,Bazas-bis,cop,Bazas,{},{},{},cop,Andernos-les-Bains,{},{},{},cop,Saint-Aubin,{},{},{}
