Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
de,Andernos-les-Bains,dé,Bazas-bis,{},{},"{('e', 'é'): 1}",de,Auros-bis,{},{},{},ø,Audenge-bis,{},{'e': 1},"{('d', 'ø'): 1}"
de,Arès,dé,Savignac,{},{},"{('e', 'é'): 1}",dé,Ailas,{},{},"{('e', 'é'): 1}",dé,Coimères,{},{},"{('e', 'é'): 1}"
ø,Audenge-bis,de,Andernos-les-Bains,{'d': 1},{},"{('ø', 'e'): 1}",dé,Le Porge,{'d': 1},{},"{('ø', 'é'): 1}",de,Saint-Étienne-de-Lisse,{'d': 1},{},"{('ø', 'e'): 1}"
de,Audenge,dè,Saint-Léon-sur-l'Isle,{},{},"{('e', 'è'): 1}",de,Lignan-de-Bazas,{},{},{},de,Belin-Béliet,{},{},{}
de,Biganos,ni,Lussas,{},{},"{('d', 'n'): 1, ('e', 'i'): 1}",dé,Blanquefort-bis,{},{},"{('e', 'é'): 1}",,,,,
de,Lacanau-de-Mios,dé,Eysines,{},{},"{('e', 'é'): 1}",de,Carbon-Blanc-bis,{},{},{},,,,,
de,Lanton,de,Macau,{},{},{},de,Castelnau-de-Médoc,{},{},{},de,Saint-Loubès,{},{},{}
dé,Lège,dé,Pompogne,{},{},{},dé,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
de,Mios,dé,Ailas,{},{},"{('e', 'é'): 1}",dé,Saint-Maixant,{},{},"{('e', 'é'): 1}",,,,,
dé,Ailas,de,Arès,{},{},"{('é', 'e'): 1}",de,Mios,{},{},"{('é', 'e'): 1}",de,Auros-bis,{},{},"{('é', 'e'): 1}"
de,Auros-bis,de,Andernos-les-Bains,{},{},{},dé,Ailas,{},{},"{('e', 'é'): 1}",dé,Meylan,{},{},"{('e', 'é'): 1}"
de,Auros,de,Bordeaux,{},{},{},de,Sainte-Foy-la-Grande-bis,{},{},{},de,Brannens,{},{},{}
de,Barie,de,Yvrac,{},{},{},dé,Atur,{},{},"{('e', 'é'): 1}",,,,,
de,Brannens,dei,Bassillac,{'i': 1},{},{},de,Auros,{},{},{},de,Castillon-de-Castets,{},{},{}
de,Castillon-de-Castets,de,Saint-Médard-en-Jalles,{},{},{},de,Boé,{},{},{},de,Brannens,{},{},{}
dé,Coimères,de,Arès,{},{},"{('é', 'e'): 1}",dé,Cudos,{},{},{},de,Lados,{},{},"{('é', 'e'): 1}"
de,Lados,dé,Gans,{},{},"{('e', 'é'): 1}",de,Puybarban,{},{},{},dé,Coimères,{},{},"{('e', 'é'): 1}"
dé,Pondaurat,dé,Blaignan,{},{},{},droumi,Bescat,"{'r': 1, 'o': 1, 'u': 1, 'm': 1}",{},"{('é', 'i'): 1}",,,,,
de,Puybarban,de,Lados,{},{},{},de,Le Bouscat,{},{},{},dé,Savignac,{},{},"{('e', 'é'): 1}"
dé,Savignac,dé,Sigalens,{},{},{},de,Arès,{},{},"{('é', 'e'): 1}",de,Puybarban,{},{},"{('é', 'e'): 1}"
dé,Sigalens,de,Caudéran,{},{},"{('é', 'e'): 1}",dé,Savignac,{},{},{},de,Bayon-sur-Gironde,{},{},"{('é', 'e'): 1}"
dé,Bazas-bis,dé,Bazas,{},{},{},de,Andernos-les-Bains,{},{},"{('é', 'e'): 1}",dé,Saint-Aubin,{},{},{}
dé,Bazas,de,Cazats,{},{},"{('é', 'e'): 1}",dé,Bazas-bis,{},{},{},de,Prats-de-Carlux,{},{},"{('é', 'e'): 1}"
de,Bernos-Beaulac,dé,Birac,{},{},"{('e', 'é'): 1}",dé,Saumos,{},{},"{('e', 'é'): 1}",de,Gajac,{},{},{}
dé,Birac,dé,Saint-Magne-de-Castillon,{},{},{},de,Bernos-Beaulac,{},{},"{('é', 'e'): 1}",de,Cazats,{},{},"{('é', 'e'): 1}"
de,Cazats,dé,Cudos,{},{},"{('e', 'é'): 1}",dé,Bazas,{},{},"{('e', 'é'): 1}",dé,Birac,{},{},"{('e', 'é'): 1}"
dé,Cudos,dé,Coimères,{},{},{},de,Cazats,{},{},"{('é', 'e'): 1}",dé,Gans,{},{},{}
de,Gajac,de,Belvès-de-Castillon,{},{},{},dé,Gans,{},{},"{('e', 'é'): 1}",de,Bernos-Beaulac,{},{},{}
dé,Gans,de,Gajac,{},{},"{('é', 'e'): 1}",de,Lados,{},{},"{('é', 'e'): 1}",dé,Cudos,{},{},{}
