Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
droumi,Andernos-les-Bains,droumi,Bazas-bis,{},{},{},droumi,Auros-bis,{},{},{},droumi,Audenge-bis,{},{},{}
droumi,Arès,droumi,Savignac,{},{},{},droumi,Ailas,{},{},{},droumi,Coimères,{},{},{}
droumi,Audenge-bis,droumi,Andernos-les-Bains,{},{},{},droumi,Le Porge,{},{},{},drumi,Saint-Étienne-de-Lisse,{},{'o': 1},{}
droumi,Audenge,durmî,Saint-Léon-sur-l'Isle,{'u': 1},"{'o': 1, 'u': 1}","{('i', 'î'): 1}",droumy,Lignan-de-Bazas,{},{},"{('i', 'y'): 1}",droumi,Belin-Béliet,{},{},{}
droumi,Biganos,durmî,Lussas,{'u': 1},"{'o': 1, 'u': 1}","{('i', 'î'): 1}",droumi,Blanquefort-bis,{},{},{},,,,,
droumi,Lacanau-de-Mios,droumi,Eysines,{},{},{},droumi,Carbon-Blanc-bis,{},{},{},,,,,
droumi,Lanton,droumi,Macau,{},{},{},droumi,Castelnau-de-Médoc,{},{},{},droumi,Saint-Loubès,{},{},{}
droumi,Lège,droumi,Pompogne,{},{},{},droumi,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
droumi,Mios,droumi,Ailas,{},{},{},droumi,Saint-Maixant,{},{},{},,,,,
droumi,Ailas,droumi,Arès,{},{},{},droumi,Mios,{},{},{},droumi,Auros-bis,{},{},{}
droumi,Auros-bis,droumi,Andernos-les-Bains,{},{},{},droumi,Ailas,{},{},{},droumi,Meylan,{},{},{}
droumi,Auros,droumi,Bordeaux,{},{},{},drumi,Sainte-Foy-la-Grande-bis,{},{'o': 1},{},droumi,Brannens,{},{},{}
droumi,Barie,droumit,Yvrac,{'t': 1},{},{},durmi,Atur,{'u': 1},"{'o': 1, 'u': 1}",{},,,,,
droumi,Brannens,durmi,Bassillac,{'u': 1},"{'o': 1, 'u': 1}",{},droumi,Auros,{},{},{},droumi,Castillon-de-Castets,{},{},{}
droumi,Castillon-de-Castets,droumi,Saint-Médard-en-Jalles,{},{},{},droumi,Boé,{},{},{},droumi,Brannens,{},{},{}
droumi,Coimères,droumi,Arès,{},{},{},droumi,Cudos,{},{},{},droumi,Lados,{},{},{}
droumi,Lados,droumi,Gans,{},{},{},droumi,Puybarban,{},{},{},droumi,Coimères,{},{},{}
droumi,Pondaurat,droumi,Blaignan,{},{},{},droumi,Bescat,{},{},{},,,,,
droumi,Puybarban,droumi,Lados,{},{},{},droumi,Le Bouscat,{},{},{},droumi,Savignac,{},{},{}
droumi,Savignac,droumi,Sigalens,{},{},{},droumi,Arès,{},{},{},droumi,Puybarban,{},{},{}
droumi,Sigalens,droumi,Caudéran,{},{},{},droumi,Savignac,{},{},{},drumi,Bayon-sur-Gironde,{},{'o': 1},{}
droumi,Bazas-bis,droumi,Bazas,{},{},{},droumi,Andernos-les-Bains,{},{},{},dourmi,Saint-Aubin,{'r': 1},{'r': 1},{}
droumi,Bazas,droumi,Cazats,{},{},{},droumi,Bazas-bis,{},{},{},dérmi,Prats-de-Carlux,{'é': 1},"{'o': 1, 'u': 1}",{}
droumi,Bernos-Beaulac,droumi,Birac,{},{},{},droumi,Saumos,{},{},{},droumi,Gajac,{},{},{}
droumi,Birac,drumi,Saint-Magne-de-Castillon,{},{'o': 1},{},droumi,Bernos-Beaulac,{},{},{},droumi,Cazats,{},{},{}
droumi,Cazats,droumi,Cudos,{},{},{},droumi,Bazas,{},{},{},droumi,Birac,{},{},{}
droumi,Cudos,droumi,Coimères,{},{},{},droumi,Cazats,{},{},{},droumi,Gans,{},{},{}
