Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
leydoun,Andernos-les-Bains,aleïdoun,Bazas-bis,{'a': 1},{},"{('y', 'ï'): 1}",olleydounc,Auros-bis,"{'o': 1, 'l': 1, 'c': 1}",{},{},aladonc,Audenge-bis,{'a': 1},{'y': 1},"{('e', 'a'): 1, ('u', 'n'): 1, ('n', 'c'): 1}"
aladoun,Arès,aléïdoun,Savignac,{'é': 1},{},"{('a', 'ï'): 1}",aléïdoum,Ailas,{'é': 1},{},"{('a', 'ï'): 1, ('n', 'm'): 1}",aleidounc,Coimères,"{'e': 1, 'c': 1}",{},"{('a', 'i'): 1}"
aladonc,Audenge-bis,leydoun,Andernos-les-Bains,{'u': 1},{'c': 1},"{('a', 'l'): 1, ('l', 'e'): 1, ('a', 'y'): 1}",oleÿdoun,Le Porge,"{'e': 1, 'u': 1}",{'c': 1},"{('a', 'o'): 1, ('a', 'ÿ'): 1}",leydoun,Saint-Étienne-de-Lisse,{'u': 1},{'c': 1},"{('a', 'l'): 1, ('l', 'e'): 1, ('a', 'y'): 1}"
aladoun,Audenge,oleydoun,Lignan-de-Bazas,{'e': 1},{},"{('a', 'o'): 1, ('a', 'y'): 1}",oleïdoun,Belin-Béliet,{'e': 1},{},"{('a', 'o'): 1, ('a', 'ï'): 1}",,,,,
aladoun,Biganos,oleydoun,Blanquefort-bis,{'e': 1},{},"{('a', 'o'): 1, ('a', 'y'): 1}",,,,,,,,,,
leidounc,Lacanau-de-Mios,oléidoun,Eysines,{'o': 1},{'c': 1},"{('e', 'é'): 1}",éndoun,Carbon-Blanc-bis,{},"{'i': 1, 'c': 1}","{('l', 'é'): 1, ('e', 'n'): 1}",,,,,
alèïdoun,Lanton,oleidoun,Macau,{},{},"{('a', 'o'): 1, ('è', 'e'): 1, ('ï', 'i'): 1}",olleïdoun,Castelnau-de-Médoc,{'l': 1},{},"{('a', 'o'): 1, ('è', 'e'): 1}",aléïdoûn,Saint-Loubès,{},{},"{('è', 'é'): 1, ('u', 'û'): 1}"
olèïdoun,Lège,leydoun,Saint-Sulpice-et-Cameyrac,{},{'o': 1},"{('è', 'e'): 1, ('ï', 'y'): 1}",,,,,,,,,,
allédou,Mios,aléïdoum,Ailas,{'m': 1},{},"{('l', 'é'): 1, ('é', 'ï'): 1}",,,,,,,,,,
aléïdoum,Ailas,aladoun,Arès,{},{'ï': 1},"{('é', 'a'): 1, ('m', 'n'): 1}",allédou,Mios,{'l': 1},"{'ï': 1, 'm': 1}",{},olleydounc,Auros-bis,"{'l': 1, 'n': 1}",{},"{('a', 'o'): 1, ('é', 'e'): 1, ('ï', 'y'): 1, ('m', 'c'): 1}"
olleydounc,Auros-bis,leydoun,Andernos-les-Bains,{},"{'o': 1, 'l': 1, 'c': 1}",{},aléïdoum,Ailas,{},"{'y': 1, 'c': 1}","{('o', 'a'): 1, ('l', 'é'): 1, ('e', 'ï'): 1, ('n', 'm'): 1}",,,,,
oleïdoun,Auros,oleydoun,Bordeaux,{},{},"{('ï', 'y'): 1}",oleïdoun,Brannens,{},{},{},,,,,
oleydoun,Barie,aléydoun,Yvrac,{},{},"{('o', 'a'): 1, ('e', 'é'): 1}",,,,,,,,,,
oleïdoun,Brannens,oleïdoun,Auros,{},{},{},leïdoun,Castillon-de-Castets,{},{'o': 1},{},,,,,
leïdoun,Castillon-de-Castets,oleidoun,Saint-Médard-en-Jalles,{'o': 1},{},"{('ï', 'i'): 1}",oleïdoun,Brannens,{'o': 1},{},{},,,,,
aleidounc,Coimères,aladoun,Arès,{},"{'i': 1, 'c': 1}","{('e', 'a'): 1}",oléïdoun,Cudos,{},{'c': 1},"{('a', 'o'): 1, ('e', 'é'): 1, ('i', 'ï'): 1}",leydoun,Lados,{},"{'a': 1, 'c': 1}","{('i', 'y'): 1}"
leydoun,Lados,oléïdoun,Gans,{'o': 1},{},"{('e', 'é'): 1, ('y', 'ï'): 1}",oleïdoun,Puybarban,{'o': 1},{},"{('y', 'ï'): 1}",aleidounc,Coimères,"{'a': 1, 'c': 1}",{},"{('y', 'i'): 1}"
oleïdoun,Pondaurat,aléïdoun,Blaignan,{},{},"{('o', 'a'): 1, ('e', 'é'): 1}",,,,,,,,,,
oleïdoun,Puybarban,leydoun,Lados,{},{'o': 1},"{('ï', 'y'): 1}",aléïdoun,Le Bouscat,{},{},"{('o', 'a'): 1, ('e', 'é'): 1}",aléïdoun,Savignac,{},{},"{('o', 'a'): 1, ('e', 'é'): 1}"
aléïdoun,Savignac,oleydoun,Sigalens,{},{},"{('a', 'o'): 1, ('é', 'e'): 1, ('ï', 'y'): 1}",aladoun,Arès,{},{'ï': 1},"{('é', 'a'): 1}",oleïdoun,Puybarban,{},{},"{('a', 'o'): 1, ('é', 'e'): 1}"
oleydoun,Sigalens,endoun,Caudéran,{},"{'o': 1, 'l': 1}","{('y', 'n'): 1}",aléïdoun,Savignac,{},{},"{('o', 'a'): 1, ('e', 'é'): 1, ('y', 'ï'): 1}",oleydoun,Bayon-sur-Gironde,{},{},{}
aleïdoun,Bazas-bis,alleidounc,Bazas,"{'l': 1, 'c': 1}",{},"{('ï', 'i'): 1}",leydoun,Andernos-les-Bains,{},{'a': 1},"{('ï', 'y'): 1}",,,,,
alleidounc,Bazas,léïdoun,Cazats,{},"{'a': 1, 'i': 1, 'c': 1}","{('l', 'é'): 1, ('e', 'ï'): 1}",aleïdoun,Bazas-bis,{},"{'l': 1, 'c': 1}","{('i', 'ï'): 1}",,,,,
aleidoum,Bernos-Beaulac,oleydoum,Birac,{},{},"{('a', 'o'): 1, ('i', 'y'): 1}",leydoun,Saumos,{},{'a': 1},"{('i', 'y'): 1, ('m', 'n'): 1}",oléidoun,Gajac,{},{},"{('a', 'o'): 1, ('e', 'é'): 1, ('m', 'n'): 1}"
