Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
dèbe,Andernos-les-Bains,dèbe,Bazas-bis,{},{},{},daoue,Auros-bis,{'a': 1},{},"{('è', 'o'): 1, ('b', 'u'): 1}",dabén,Audenge-bis,{'é': 1},{},"{('è', 'a'): 1, ('e', 'n'): 1}"
dèbe,Arès,dèben,Savignac,{'n': 1},{},{},dabe,Ailas,{},{},"{('è', 'a'): 1}",dèbe,Coimères,{},{},{}
dabén,Audenge-bis,dèbe,Andernos-les-Bains,{},{'n': 1},"{('a', 'è'): 1, ('é', 'e'): 1}",dâbo,Le Porge,{},{'n': 1},"{('a', 'â'): 1, ('é', 'o'): 1}",dabo,Saint-Étienne-de-Lisse,{},{'n': 1},"{('é', 'o'): 1}"
dabe,Audenge,débe,Lignan-de-Bazas,{},{},"{('a', 'é'): 1}",dèbe,Belin-Béliet,{},{},"{('a', 'è'): 1}",,,,,
daben,Biganos,dabon,Blanquefort-bis,{},{},"{('e', 'o'): 1}",,,,,,,,,,
dèbeunn,Lacanau-de-Mios,daba,Eysines,{},"{'u': 1, 'n': 2}","{('è', 'a'): 1, ('e', 'a'): 1}",dabe,Carbon-Blanc-bis,{},"{'u': 1, 'n': 2}","{('è', 'a'): 1}",,,,,
dabe,Lanton,dàbon,Macau,{'o': 1},{},"{('a', 'à'): 1, ('e', 'n'): 1}",daouo,Castelnau-de-Médoc,{'o': 1},{},"{('b', 'u'): 1, ('e', 'o'): 1}",dabe,Saint-Loubès,{},{},{}
dèben,Lège,daouo,Pompogne,{},{},"{('è', 'a'): 1, ('b', 'o'): 1, ('e', 'u'): 1, ('n', 'o'): 1}",dàbo,Saint-Sulpice-et-Cameyrac,{},{'n': 1},"{('è', 'à'): 1, ('e', 'o'): 1}",,,,,
dabon,Mios,dabe,Ailas,{},{'n': 1},"{('o', 'e'): 1}",dabe,Saint-Maixant,{},{'n': 1},"{('o', 'e'): 1}",,,,,
dabe,Ailas,dèbe,Arès,{},{},"{('a', 'è'): 1}",dabon,Mios,{'o': 1},{},"{('e', 'n'): 1}",daoue,Auros-bis,{'o': 1},{},"{('b', 'u'): 1}"
daoue,Auros-bis,dèbe,Andernos-les-Bains,{},{'u': 1},"{('a', 'è'): 1, ('o', 'b'): 1}",dabe,Ailas,{},{'u': 1},"{('o', 'b'): 1}",daoué,Meylan,{},{},"{('e', 'é'): 1}"
dabe,Auros,daban,Bordeaux,{'a': 1},{},"{('e', 'n'): 1}",dabo,Sainte-Foy-la-Grande-bis,{},{},"{('e', 'o'): 1}",dabe,Brannens,{},{},{}
débe,Barie,dabe,Yvrac,{},{},"{('é', 'a'): 1}",,,,,,,,,,
dabe,Brannens,dabe,Auros,{},{},{},dèbe,Castillon-de-Castets,{},{},"{('a', 'è'): 1}",,,,,
dèbe,Castillon-de-Castets,daben,Saint-Médard-en-Jalles,{'n': 1},{},"{('è', 'a'): 1}",dabe,Brannens,{},{},"{('è', 'a'): 1}",,,,,
dèbe,Coimères,dèbe,Arès,{},{},{},dèbe,Cudos,{},{},{},dèbe,Lados,{},{},{}
dèbe,Lados,dèbe,Gans,{},{},{},dèbe,Puybarban,{},{},{},dèbe,Coimères,{},{},{}
dèbe,Pondaurat,dabon,Blaignan,{'o': 1},{},"{('è', 'a'): 1, ('e', 'n'): 1}",,,,,,,,,,
dèbe,Puybarban,dèbe,Lados,{},{},{},dabon,Le Bouscat,{'o': 1},{},"{('è', 'a'): 1, ('e', 'n'): 1}",dèben,Savignac,{'n': 1},{},{}
dèben,Savignac,dèben,Sigalens,{},{},{},dèbe,Arès,{},{'n': 1},{},dèbe,Puybarban,{},{'n': 1},{}
dèben,Sigalens,dabé,Caudéran,{},{'n': 1},"{('è', 'a'): 1, ('e', 'é'): 1}",dèben,Savignac,{},{},{},dabe,Bayon-sur-Gironde,{},{'n': 1},"{('è', 'a'): 1}"
dèbe,Bazas-bis,dèbenn,Bazas,{'n': 2},{},{},dèbe,Andernos-les-Bains,{},{},{},,,,,
dèbenn,Bazas,dèbe,Cazats,{},{'n': 2},{},dèbe,Bazas-bis,{},{'n': 2},{},,,,,
dèbe,Bernos-Beaulac,débe,Birac,{},{},"{('è', 'é'): 1}",dàba,Saumos,{},{},"{('è', 'à'): 1, ('e', 'a'): 1}",dèbe,Gajac,{},{},{}
débe,Birac,dabo,Saint-Magne-de-Castillon,{},{},"{('é', 'a'): 1, ('e', 'o'): 1}",dèbe,Bernos-Beaulac,{},{},"{('é', 'è'): 1}",dèbe,Cazats,{},{},"{('é', 'è'): 1}"
dèbe,Cazats,dèbe,Cudos,{},{},{},dèbenn,Bazas,{'n': 2},{},{},débe,Birac,{},{},"{('è', 'é'): 1}"
dèbe,Cudos,dèbe,Coimères,{},{},{},dèbe,Cazats,{},{},{},dèbe,Gans,{},{},{}
dèbe,Gajac,dabo,Belvès-de-Castillon,{},{},"{('è', 'a'): 1, ('e', 'o'): 1}",dèbe,Gans,{},{},{},dèbe,Bernos-Beaulac,{},{},{}
dèbe,Gans,dèbe,Gajac,{},{},{},dèbe,Lados,{},{},{},dèbe,Cudos,{},{},{}
