Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
dounaiou,Andernos-les-Bains,douné,Bazas-bis,{},"{'i': 1, 'o': 1, 'u': 1}","{('a', 'é'): 1}",dounabe,Auros-bis,{},{'u': 1},"{('i', 'b'): 1, ('o', 'e'): 1}",dounéoue,Audenge-bis,{'e': 1},{'i': 1},"{('a', 'é'): 1}"
dounéoue,Arès,donait,Savignac,{},"{'u': 1, 'e': 1}","{('é', 'a'): 1, ('o', 'i'): 1, ('u', 't'): 1}",dounéoue,Ailas,{},{},{},dounaoue,Coimères,{},{},"{('é', 'a'): 1}"
dounéoue,Audenge-bis,dounaiou,Andernos-les-Bains,{'a': 1},{'e': 1},"{('é', 'i'): 1}",dounaoue,Le Porge,{},{},"{('é', 'a'): 1}",dounèwe,Saint-Étienne-de-Lisse,{},{'u': 1},"{('é', 'è'): 1, ('o', 'w'): 1}"
dounaoue,Audenge,dounabe,Lignan-de-Bazas,{},{'u': 1},"{('o', 'b'): 1}",dounab,Belin-Béliet,{},"{'u': 1, 'e': 1}","{('o', 'b'): 1}",,,,,
dounéoue,Biganos,dounabe,Blanquefort-bis,{},{'u': 1},"{('é', 'a'): 1, ('o', 'b'): 1}",,,,,,,,,,
dounêoue,Lacanau-de-Mios,dounèbe,Eysines,{},{'u': 1},"{('ê', 'è'): 1, ('o', 'b'): 1}",dounabe,Carbon-Blanc-bis,{},{'u': 1},"{('ê', 'a'): 1, ('o', 'b'): 1}",,,,,
dounéou,Lanton,dounèbe,Macau,{},{},"{('é', 'è'): 1, ('o', 'b'): 1, ('u', 'e'): 1}",dounabe,Castelnau-de-Médoc,{},{},"{('é', 'a'): 1, ('o', 'b'): 1, ('u', 'e'): 1}",dounabe,Saint-Loubès,{},{},"{('é', 'a'): 1, ('o', 'b'): 1, ('u', 'e'): 1}"
dounèwe,Lège,dounavo,Pompogne,{},{},"{('è', 'a'): 1, ('w', 'v'): 1, ('e', 'o'): 1}",dounèbe,Saint-Sulpice-et-Cameyrac,{},{},"{('w', 'b'): 1}",,,,,
dounaoue,Mios,dounéoue,Ailas,{},{},"{('a', 'é'): 1}",dounabo,Saint-Maixant,{'b': 1},"{'u': 1, 'e': 1}",{},,,,,
dounéoue,Ailas,dounéoue,Arès,{},{},{},dounaoue,Mios,{},{},"{('é', 'a'): 1}",dounabe,Auros-bis,{},{'u': 1},"{('é', 'a'): 1, ('o', 'b'): 1}"
dounabe,Auros-bis,dounaiou,Andernos-les-Bains,{'i': 1},{},"{('b', 'o'): 1, ('e', 'u'): 1}",dounéoue,Ailas,{'é': 1},{},"{('a', 'o'): 1, ('b', 'u'): 1}",dounabo,Meylan,{},{},"{('e', 'o'): 1}"
dounaou,Auros,dounèbe,Bordeaux,{},{},"{('a', 'è'): 1, ('o', 'b'): 1, ('u', 'e'): 1}",dounabo,Sainte-Foy-la-Grande-bis,{'b': 1},{'u': 1},{},dounabe,Brannens,{},{},"{('o', 'b'): 1, ('u', 'e'): 1}"
dounèbe,Barie,dounabe,Yvrac,{},{},"{('è', 'a'): 1}",,,,,,,,,,
dounabe,Brannens,dounaou,Auros,{},{},"{('b', 'o'): 1, ('e', 'u'): 1}",dounèoue,Castillon-de-Castets,{'è': 1},{},"{('a', 'o'): 1, ('b', 'u'): 1}",,,,,
dounèoue,Castillon-de-Castets,dounée,Saint-Médard-en-Jalles,{},"{'o': 1, 'u': 1}","{('è', 'é'): 1}",dounavo,Boé,{'a': 1},"{'u': 1, 'e': 1}","{('è', 'v'): 1}",dounabe,Brannens,{},{'u': 1},"{('è', 'a'): 1, ('o', 'b'): 1}"
dounaoue,Coimères,dounéoue,Arès,{},{},"{('a', 'é'): 1}",dounèt,Cudos,{},"{'u': 1, 'e': 1}","{('a', 'è'): 1, ('o', 't'): 1}",dounait,Lados,{},{'e': 1},"{('o', 'i'): 1, ('u', 't'): 1}"
dounait,Lados,dounabe,Gans,{},{},"{('i', 'b'): 1, ('t', 'e'): 1}",dounnait,Puybarban,{'n': 1},{},{},dounaoue,Coimères,{'o': 1},{},"{('i', 'u'): 1, ('t', 'e'): 1}"
dounait,Pondaurat,dounabe,Blaignan,{},{},"{('i', 'b'): 1, ('t', 'e'): 1}",dounavo,Bescat,{},{},"{('i', 'v'): 1, ('t', 'o'): 1}",,,,,
dounnait,Puybarban,dounait,Lados,{},{'n': 1},{},dounabe,Le Bouscat,{},{'n': 1},"{('i', 'b'): 1, ('t', 'e'): 1}",donait,Savignac,{},"{'u': 1, 'n': 1}",{}
donait,Savignac,dounait,Sigalens,{'u': 1},{},{},dounéoue,Arès,"{'u': 1, 'é': 1}",{},"{('a', 'o'): 1, ('i', 'u'): 1, ('t', 'e'): 1}",dounnait,Puybarban,"{'u': 1, 'n': 1}",{},{}
dounait,Sigalens,dounèbe,Caudéran,{},{},"{('a', 'è'): 1, ('i', 'b'): 1, ('t', 'e'): 1}",donait,Savignac,{},{'u': 1},{},dounabe,Bayon-sur-Gironde,{},{},"{('i', 'b'): 1, ('t', 'e'): 1}"
douné,Bazas-bis,dounabe,Bazas,"{'a': 1, 'b': 1}",{},"{('é', 'e'): 1}",dounaiou,Andernos-les-Bains,"{'a': 1, 'i': 1, 'o': 1}",{},"{('é', 'u'): 1}",dounavo,Saint-Aubin,"{'a': 1, 'v': 1}",{},"{('é', 'o'): 1}"
dounabe,Bazas,dounait,Cazats,{},{},"{('b', 'i'): 1, ('e', 't'): 1}",douné,Bazas-bis,{},"{'b': 1, 'e': 1}","{('a', 'é'): 1}",,,,,
dounaït,Bernos-Beaulac,donnait,Birac,{},{},"{('u', 'n'): 1, ('ï', 'i'): 1}",dounáoue,Saumos,{'á': 1},{},"{('a', 'o'): 1, ('ï', 'u'): 1, ('t', 'e'): 1}",donnait,Gajac,{},{},"{('u', 'n'): 1, ('ï', 'i'): 1}"
donnait,Birac,dounèoue,Saint-Magne-de-Castillon,{'u': 1},{},"{('n', 'è'): 1, ('a', 'o'): 1, ('i', 'u'): 1, ('t', 'e'): 1}",dounaït,Bernos-Beaulac,{},{},"{('n', 'u'): 1, ('i', 'ï'): 1}",dounait,Cazats,{},{},"{('n', 'u'): 1}"
dounait,Cazats,dounèt,Cudos,{},{'i': 1},"{('a', 'è'): 1}",dounabe,Bazas,{},{},"{('i', 'b'): 1, ('t', 'e'): 1}",donnait,Birac,{},{},"{('u', 'n'): 1}"
dounèt,Cudos,dounaoue,Coimères,"{'a': 1, 'o': 1}",{},"{('è', 'u'): 1, ('t', 'e'): 1}",dounait,Cazats,{'a': 1},{},"{('è', 'i'): 1}",dounabe,Gans,{'a': 1},{},"{('è', 'b'): 1, ('t', 'e'): 1}"
donnait,Gajac,dounéoue,Belvès-de-Castillon,{'u': 1},{},"{('n', 'é'): 1, ('a', 'o'): 1, ('i', 'u'): 1, ('t', 'e'): 1}",dounabe,Gans,{},{},"{('n', 'u'): 1, ('i', 'b'): 1, ('t', 'e'): 1}",dounaït,Bernos-Beaulac,{},{},"{('n', 'u'): 1, ('i', 'ï'): 1}"
dounabe,Gans,donnait,Gajac,{},{},"{('u', 'n'): 1, ('b', 'i'): 1, ('e', 't'): 1}",dounait,Lados,{},{},"{('b', 'i'): 1, ('e', 't'): 1}",dounèt,Cudos,{},{'e': 1},"{('a', 'è'): 1, ('b', 't'): 1}"
dounabe,Le Nizan,dounabe,Prignac-et-Marcamps,{},{},{},dounabe,Gauriac,{},{},{},dounèbe,Saint-Antoine-sur-l'Isle,{},{},"{('a', 'è'): 1}"
dounabe,Lignan-de-Bazas,dounaoue,Audenge,{'o': 1},{},"{('b', 'u'): 1}",dounabe,Lansac,{},{},{},dounabe,Béliet,{},{},{}
dounabe,Saint-Côme,dounèoue,Bonnetan,{'è': 1},{},"{('a', 'o'): 1, ('b', 'u'): 1}",dounabe,Saint-Trojan,{},{},{},dounabe,Béliet,{},{},{}
dounabe,Béliet,dounab,Belin-Béliet,{},{'e': 1},{},dounabe,Lignan-de-Bazas,{},{},{},dounabe,Saint-Côme,{},{},{}
dounab,Belin-Béliet,dounaou,Cadillac-en-Fronsadais,{'o': 1},{},"{('b', 'u'): 1}",dounaoue,Audenge,"{'o': 1, 'u': 1}",{},"{('b', 'e'): 1}",dounabe,Béliet,{'e': 1},{},{}
dounabe,Joué,dounâbe,Le Barp,{},{},"{('a', 'â'): 1}",dounaou,Tabanac,{},{},"{('b', 'o'): 1, ('e', 'u'): 1}",,,,,
dounâbe,Le Barp,dounabe,Cabara,{},{},"{('â', 'a'): 1}",dounabe,Joué,{},{},"{('â', 'a'): 1}",,,,,
dounabe,Lugos,dounabe,Saint-Magne,{},{},{},dounabe,Salles-bis,{},{},{},,,,,
dounabe,Saint-Magne,dounabe,Salles,{},{},{},dounabe,Lugos,{},{},{},dounéou,Saint-Romain-la-Virvée,{},{},"{('a', 'é'): 1, ('b', 'o'): 1, ('e', 'u'): 1}"
dounabe,Salles-bis,dounabe,Lugos,{},{},{},dounaou,Génissac,{},{},"{('b', 'o'): 1, ('e', 'u'): 1}",dounavo,Osse-en-Aspe,{},{},"{('b', 'v'): 1, ('e', 'o'): 1}"
dounabe,Salles,dounabe,Saint-Magne,{},{},{},dounaoue,Saint-Quentin-de-Baron,{'o': 1},{},"{('b', 'u'): 1}",,,,,
dounabe,Blanquefort-bis,dounabe,Langoiran,{},{},{},dounéoue,Biganos,{'é': 1},{},"{('a', 'o'): 1, ('b', 'u'): 1}",dounabe,Blanquefort,{},{},{}
dounabe,Blanquefort,dounabe,Blanquefort-bis,{},{},{},dounaouo,Ychoux,{'o': 1},{},"{('b', 'u'): 1, ('e', 'o'): 1}",dounabe,La Réole,{},{},{}
dounéou,Caychac,dounabe,Omet,{},{},"{('é', 'a'): 1, ('o', 'b'): 1, ('u', 'e'): 1}",dounèbe,Eysines,{},{},"{('é', 'è'): 1, ('o', 'b'): 1, ('u', 'e'): 1}",dounabe,Giscos,{},{},"{('é', 'a'): 1, ('o', 'b'): 1, ('u', 'e'): 1}"
dounèbe,Eysines,dounéou,Caychac,{},{},"{('è', 'é'): 1, ('b', 'o'): 1, ('e', 'u'): 1}",dounêoue,Lacanau-de-Mios,{'ê': 1},{},"{('è', 'o'): 1, ('b', 'u'): 1}",dounébe,Le Haillan,{},{},"{('è', 'é'): 1}"
dounébe,Le Haillan,dounébe,Le Pian-Médoc,{},{},{},dounaô,Bénesse-Maremne,{},{'e': 1},"{('é', 'a'): 1, ('b', 'ô'): 1}",dounèbe,Eysines,{},{},"{('é', 'è'): 1}"
dounébe,Le Pian-Médoc,dounâvo,Josse,{},{},"{('é', 'â'): 1, ('b', 'v'): 1, ('e', 'o'): 1}",dounébe,Le Haillan,{},{},{},dounavo,Montgaillard,{},{},"{('é', 'a'): 1, ('b', 'v'): 1, ('e', 'o'): 1}"
dounèt,Le Taillan-Médoc,dounet,Sainte-Croix-du-Mont,{},{},"{('è', 'e'): 1}",dounabe,Bassens,{'a': 1},{},"{('è', 'b'): 1, ('t', 'e'): 1}",dounnet,Landerrouat,{'n': 1},{},"{('è', 'e'): 1}"
dounébe,Ludon-Médoc,dounabo,Agnac,{},{},"{('é', 'a'): 1, ('e', 'o'): 1}",dounèbe,Macau,{},{},"{('é', 'è'): 1}",,,,,
dounèbe,Macau,dounébe,Ludon-Médoc,{},{},"{('è', 'é'): 1}",dounéou,Lanton,{},{},"{('è', 'é'): 1, ('b', 'o'): 1, ('e', 'u'): 1}",dounovo,Lauzun,{},{},"{('è', 'o'): 1, ('b', 'v'): 1, ('e', 'o'): 1}"
dounéou,Parempuyre,dounabe,Arcins,{},{},"{('é', 'a'): 1, ('o', 'b'): 1, ('u', 'e'): 1}",dounabe,Arsac,{},{},"{('é', 'a'): 1, ('o', 'b'): 1, ('u', 'e'): 1}",,,,,
dounèbe,Saint-Aubin-de-Médoc,dounavo,Feugarolles,{},{},"{('è', 'a'): 1, ('b', 'v'): 1, ('e', 'o'): 1}",dounabo,Béquin,{},{},"{('è', 'a'): 1, ('e', 'o'): 1}",dounaouë,Labarde,{'a': 1},{},"{('è', 'o'): 1, ('b', 'u'): 1, ('e', 'ë'): 1}"
dounée,Saint-Médard-en-Jalles,dounaou,Margaux,{'a': 1},{},"{('é', 'o'): 1, ('e', 'u'): 1}",dounèoue,Castillon-de-Castets,"{'è': 1, 'o': 1}",{},"{('é', 'u'): 1}",dounaou,Moulis-en-Médoc-bis,{'a': 1},{},"{('é', 'o'): 1, ('e', 'u'): 1}"
dounebe,Bègles,dounavein,Castelnaud-de-Gratecambe,"{'a': 1, 'v': 1}",{},"{('b', 'i'): 1, ('e', 'n'): 1}",dounabe,Lugon-et-l'Île-du-Carnay,{},{},"{('e', 'a'): 1}",dounaou,Moulis-en-Médoc,{},{},"{('e', 'a'): 1, ('b', 'o'): 1, ('e', 'u'): 1}"
dounèbe,Bordeaux,dounaou,Auros,{},{},"{('è', 'a'): 1, ('b', 'o'): 1, ('e', 'u'): 1}",,,,,,,,,,
dounéoue,Bruges,dounabe,Bégadan,{},{'u': 1},"{('é', 'a'): 1, ('o', 'b'): 1}",dounèbe,Caudéran,{},{'u': 1},"{('é', 'è'): 1, ('o', 'b'): 1}",dounao,Ribarrouy,{},"{'u': 1, 'e': 1}","{('é', 'a'): 1}"
dounèbe,Caudéran,dounéoue,Bruges,{'é': 1},{},"{('è', 'o'): 1, ('b', 'u'): 1}",dounait,Sigalens,{},{},"{('è', 'a'): 1, ('b', 'i'): 1, ('e', 't'): 1}",dounabe,Bayon-sur-Gironde,{},{},"{('è', 'a'): 1}"
donabe,Chartrons,dounèbe,Sainte-Colombe,{'u': 1},{},"{('a', 'è'): 1}",dounao,Mont-Disse,{'u': 1},{'e': 1},"{('b', 'o'): 1}",dounaou,Salaunes,{'u': 1},{},"{('b', 'o'): 1, ('e', 'u'): 1}"
dounabe,Le Bouscat,dounnait,Puybarban,{'n': 1},{},"{('b', 'i'): 1, ('e', 't'): 1}",dounèbe,Castillon-la-Bataille-bis,{},{},"{('a', 'è'): 1}",dounabe,Bayon-sur-Gironde,{},{},{}
dounabe,Bayon-sur-Gironde,dounèbe,Caudéran,{},{},"{('a', 'è'): 1}",dounait,Sigalens,{},{},"{('b', 'i'): 1, ('e', 't'): 1}",dounabe,Le Bouscat,{},{},{}
dounabe,Bourg-bis,dounabe,Castres-Gironde,{},{},{},dounèbe,Castillon-la-Bataille,{},{},"{('a', 'è'): 1}",dounabo,Bahus-Soubiran,{},{},"{('e', 'o'): 1}"
dounabe,Bourg,dounabe,Comps,{},{},{},dounabo,Rivière-Saas-et-Gourby,{},{},"{('e', 'o'): 1}",dounabe,Baron,{},{},{}
dounabe,Comps,dounabe,Gauriac,{},{},{},dounabe,Bourg,{},{},{},,,,,
dounabe,Gauriac,dounabe,Le Nizan,{},{},{},dounabe,Comps,{},{},{},dounéoue,Baurech,{'é': 1},{},"{('a', 'o'): 1, ('b', 'u'): 1}"
dounabe,Lansac,dounabe,Lignan-de-Bazas,{},{},{},dounabe,Marcamps,{},{},{},dounabo,Saint-Loubouer,{},{},"{('e', 'o'): 1}"
dounabe,Marcamps,dounabe,Prignac-et-Marcamps,{},{},{},dounabe,Lansac,{},{},{},,,,,
dounabe,Prignac-et-Marcamps,dounabe,Marcamps,{},{},{},dounabe,Le Nizan,{},{},{},dounabo,Renung,{},{},"{('e', 'o'): 1}"
dounabe,Saint-Seurin-de-Bourg,dounabo,Saint-Pandelon,{},{},"{('e', 'o'): 1}",dounabe,Samonac,{},{},{},dounabe,Baron,{},{},{}
