Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
estet,Andernos-les-Bains,estout,Bazas-bis,{'o': 1},{},"{('e', 'u'): 1}",estout,Auros-bis,{'o': 1},{},"{('e', 'u'): 1}",ēstét,Audenge-bis,{},{},"{('e', 'ē'): 1, ('e', 'é'): 1}"
estut,Arès,éstoutt,Savignac,"{'o': 1, 't': 1}",{},"{('e', 'é'): 1}",éstèt,Ailas,{},{},"{('e', 'é'): 1, ('u', 'è'): 1}",estout,Coimères,{'o': 1},{},{}
ēstét,Audenge-bis,estet,Andernos-les-Bains,{},{},"{('ē', 'e'): 1, ('é', 'e'): 1}",éstut,Le Porge,{},{},"{('ē', 'é'): 1, ('é', 'u'): 1}",éstout,Saint-Étienne-de-Lisse,{'o': 1},{},"{('ē', 'é'): 1, ('é', 'u'): 1}"
êstut,Audenge,quéstouc,Saint-Léon-sur-l'Isle,"{'q': 1, 'u': 1, 'o': 1}",{},"{('ê', 'é'): 1, ('t', 'c'): 1}",estett,Lignan-de-Bazas,{'e': 1},{},"{('ê', 'e'): 1, ('u', 't'): 1}",eustait,Belin-Béliet,"{'e': 1, 'a': 1}",{},"{('ê', 'u'): 1, ('u', 'i'): 1}"
estét,Biganos,estut,Blanquefort-bis,{},{},"{('é', 'u'): 1}",,,,,,,,,,
eustet,Lacanau-de-Mios,estut,Eysines,{},{'u': 1},"{('e', 'u'): 1}",estut,Carbon-Blanc-bis,{},{'u': 1},"{('e', 'u'): 1}",,,,,
eustut,Lanton,estut,Macau,{},{'u': 1},{},estut,Castelnau-de-Médoc,{},{'u': 1},{},estut,Saint-Loubès,{},{'u': 1},{}
éstut,Lège,esté,Pompogne,{},{'t': 1},"{('é', 'e'): 1, ('u', 'é'): 1}",estut,Saint-Sulpice-et-Cameyrac,{},{},"{('é', 'e'): 1}",,,,,
eustét,Mios,éstèt,Ailas,{},{'u': 1},"{('e', 'é'): 1, ('é', 'è'): 1}",estou,Saint-Maixant,{},{'u': 1},"{('é', 'o'): 1, ('t', 'u'): 1}",,,,,
éstèt,Ailas,estut,Arès,{},{},"{('é', 'e'): 1, ('è', 'u'): 1}",eustét,Mios,{'e': 1},{},"{('é', 'u'): 1, ('è', 'é'): 1}",estout,Auros-bis,{'o': 1},{},"{('é', 'e'): 1, ('è', 'u'): 1}"
estout,Auros-bis,estet,Andernos-les-Bains,{},{'u': 1},"{('o', 'e'): 1}",éstèt,Ailas,{},{'u': 1},"{('e', 'é'): 1, ('o', 'è'): 1}",estou,Meylan,{},{'t': 1},{}
estout,Auros,éscut,Bordeaux,{},{'o': 1},"{('e', 'é'): 1, ('t', 'c'): 1}",èstou,Sainte-Foy-la-Grande-bis,{},{'t': 1},"{('e', 'è'): 1}",estèt,Brannens,{},{'u': 1},"{('o', 'è'): 1}"
