Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
hadéou,Andernos-les-Bains,aséou,Bazas-bis,{},{'h': 1},"{('d', 's'): 1}",aséoue,Auros-bis,{'e': 1},{'h': 1},"{('d', 's'): 1}",hadé,Audenge-bis,{},"{'o': 1, 'u': 1}",{}
hadéou,Arès,hasèoue,Savignac,{'e': 1},{},"{('d', 's'): 1, ('é', 'è'): 1}",asèoue,Ailas,{'e': 1},{'h': 1},"{('d', 's'): 1, ('é', 'è'): 1}",hasè,Coimères,{},"{'o': 1, 'u': 1}","{('d', 's'): 1, ('é', 'è'): 1}"
hadé,Audenge-bis,hadéou,Andernos-les-Bains,"{'o': 1, 'u': 1}",{},{},adé,Le Porge,{},{'h': 1},{},fay,Saint-Étienne-de-Lisse,{},{'é': 1},"{('h', 'f'): 1, ('d', 'y'): 1}"
hadéoue,Audenge,fojio,Saint-Léon-sur-l'Isle,{},"{'u': 1, 'e': 1}","{('h', 'f'): 1, ('a', 'o'): 1, ('d', 'j'): 1, ('é', 'i'): 1}",aséoue,Lignan-de-Bazas,{},{'h': 1},"{('d', 's'): 1}",hadè,Belin-Béliet,{},"{'o': 1, 'u': 1, 'e': 1}","{('é', 'è'): 1}"
hadé,Biganos,hazèouo,Lussas,"{'z': 1, 'è': 1, 'o': 1}",{},"{('d', 'u'): 1, ('é', 'o'): 1}",adéoue,Blanquefort-bis,"{'o': 1, 'u': 1, 'e': 1}",{'h': 1},{},,,,,
hadé,Lacanau-de-Mios,adéou,Eysines,"{'o': 1, 'u': 1}",{'h': 1},{},adèbe,Carbon-Blanc-bis,"{'è': 1, 'b': 1}",{'h': 1},"{('é', 'e'): 1}",,,,,
hadéoueu,Lanton,adéoue,Macau,{},"{'h': 1, 'u': 1}",{},adé,Castelnau-de-Médoc,{},"{'h': 1, 'o': 1, 'u': 2, 'e': 1}",{},adèbe,Saint-Loubès,{},"{'h': 1, 'u': 2}","{('é', 'è'): 1, ('o', 'b'): 1}"
hadèou,Lège,fajio,Pompogne,{},{'u': 1},"{('h', 'f'): 1, ('d', 'j'): 1, ('è', 'i'): 1}",adèbe,Saint-Sulpice-et-Cameyrac,{},{'h': 1},"{('o', 'b'): 1, ('u', 'e'): 1}",,,,,
hadé,Mios,asèoue,Ailas,"{'a': 1, 's': 1}",{},"{('h', 'è'): 1, ('a', 'o'): 1, ('d', 'u'): 1, ('é', 'e'): 1}",hadé,Saint-Maixant,{},{},{},,,,,
asèoue,Ailas,hadéou,Arès,{'h': 1},{'e': 1},"{('s', 'd'): 1, ('è', 'é'): 1}",hadé,Mios,{'h': 1},"{'o': 1, 'u': 1, 'e': 1}","{('s', 'd'): 1, ('è', 'é'): 1}",aséoue,Auros-bis,{},{},"{('è', 'é'): 1}"
aséoue,Auros-bis,hadéou,Andernos-les-Bains,{'h': 1},{'e': 1},"{('s', 'd'): 1}",asèoue,Ailas,{},{},"{('é', 'è'): 1}",haséouo,Meylan,{'h': 1},{},"{('e', 'o'): 1}"
aséoue,Auros,hadéoue,Bordeaux,{'h': 1},{},"{('s', 'd'): 1}",fesèbe,Sainte-Foy-la-Grande-bis,{'f': 1},{'u': 1},"{('a', 'e'): 1, ('é', 'è'): 1, ('o', 'b'): 1}",hasèoue,Brannens,{'h': 1},{},"{('é', 'è'): 1}"
hasèoueu,Barie,adèoué,Yvrac,{},"{'h': 1, 'u': 1}","{('s', 'd'): 1, ('e', 'é'): 1}",fojio,Atur,{},"{'u': 2, 'e': 1}","{('h', 'f'): 1, ('a', 'o'): 1, ('s', 'j'): 1, ('è', 'i'): 1}",,,,,
hasèoue,Brannens,fosio,Bassillac,{},"{'u': 1, 'e': 1}","{('h', 'f'): 1, ('a', 'o'): 1, ('è', 'i'): 1}",aséoue,Auros,{},{'h': 1},"{('è', 'é'): 1}",hâzèbe,Castillon-de-Castets,{},{'u': 1},"{('a', 'â'): 1, ('s', 'z'): 1, ('o', 'b'): 1}"
hâzèbe,Castillon-de-Castets,fadèbe,Saint-Médard-en-Jalles,{},{},"{('h', 'f'): 1, ('â', 'a'): 1, ('z', 'd'): 1}",azèouo,Boé,{'o': 1},{'â': 1},"{('h', 'a'): 1, ('b', 'u'): 1, ('e', 'o'): 1}",hasèoue,Brannens,{'o': 1},{},"{('â', 'a'): 1, ('z', 's'): 1, ('b', 'u'): 1}"
hasè,Coimères,hadéou,Arès,"{'d': 1, 'é': 1}",{},"{('s', 'o'): 1, ('è', 'u'): 1}",hasèoue,Cudos,"{'o': 1, 'u': 1, 'e': 1}",{},{},asèou,Lados,"{'o': 1, 'u': 1}",{'h': 1},{}
asèou,Lados,hasèoue,Gans,"{'h': 1, 'e': 1}",{},{},hasèoue,Puybarban,"{'h': 1, 'e': 1}",{},{},hasè,Coimères,{'h': 1},"{'o': 1, 'u': 1}",{}
asèoue,Pondaurat,hadhi,Blaignan,{'h': 1},"{'u': 1, 'e': 1}","{('s', 'd'): 1, ('è', 'h'): 1, ('o', 'i'): 1}",hasè,Bescat,{'h': 1},"{'o': 1, 'u': 1, 'e': 1}",{},,,,,
hasèoue,Puybarban,asèou,Lados,{},"{'h': 1, 'e': 1}",{},asait,Le Bouscat,{},"{'h': 1, 'e': 1}","{('è', 'a'): 1, ('o', 'i'): 1, ('u', 't'): 1}",hasèoue,Savignac,{},{},{}
hasèoue,Savignac,hasèoue,Sigalens,{},{},{},hadéou,Arès,{},{'e': 1},"{('s', 'd'): 1, ('è', 'é'): 1}",hasèoue,Puybarban,{},{},{}
hasèoue,Sigalens,hadèoue,Caudéran,{},{},"{('s', 'd'): 1}",hasèoue,Savignac,{},{},{},hasait,Bayon-sur-Gironde,{},{'e': 1},"{('è', 'a'): 1, ('o', 'i'): 1, ('u', 't'): 1}"
