Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
hame,Andernos-les-Bains,hame,Bazas-bis,{},{},{},hamie,Auros-bis,{'i': 1},{},{},hame,Audenge-bis,{},{},{}
hamme,Arès,hâme,Savignac,{},{'m': 1},"{('a', 'â'): 1}",hami,Ailas,{},{'e': 1},"{('m', 'i'): 1}",hami,Coimères,{},{'e': 1},"{('m', 'i'): 1}"
hame,Audenge-bis,hame,Andernos-les-Bains,{},{},{},hame,Le Porge,{},{},{},fame,Saint-Étienne-de-Lisse,{},{},"{('h', 'f'): 1}"
hame,Audenge,hamé,Saint-Léon-sur-l'Isle,{},{},"{('e', 'é'): 1}",hamme,Lignan-de-Bazas,{'m': 1},{},{},hame,Belin-Béliet,{},{},{}
hame,Biganos,hami,Lussas,{},{},"{('e', 'i'): 1}",hame,Blanquefort-bis,{},{},{},,,,,
hame,Lacanau-de-Mios,hame,Eysines,{},{},{},ame,Carbon-Blanc-bis,{},{'h': 1},{},,,,,
hame,Lanton,hame,Macau,{},{},{},hami,Castelnau-de-Médoc,{},{},"{('e', 'i'): 1}",hame,Saint-Loubès,{},{},{}
hame,Lège,amé,Pompogne,{},{'h': 1},"{('e', 'é'): 1}",hâme,Saint-Sulpice-et-Cameyrac,{},{},"{('a', 'â'): 1}",,,,,
hame,Mios,hami,Ailas,{},{},"{('e', 'i'): 1}",hamm,Saint-Maixant,{},{},"{('e', 'm'): 1}",,,,,
hami,Ailas,hamme,Arès,{'m': 1},{},"{('i', 'e'): 1}",hame,Mios,{},{},"{('i', 'e'): 1}",hamie,Auros-bis,{'e': 1},{},{}
hamie,Auros-bis,hame,Andernos-les-Bains,{},{'i': 1},{},hami,Ailas,{},{'e': 1},{},hame,Meylan,{},{'i': 1},{}
hamie,Auros,hamy,Bordeaux,{},{'e': 1},"{('i', 'y'): 1}",fan,Sainte-Foy-la-Grande-bis,{},"{'i': 1, 'e': 1}","{('h', 'f'): 1, ('m', 'n'): 1}",hame,Brannens,{},{'i': 1},{}
hami,Barie,ham,Yvrac,{},{'i': 1},{},hamé,Atur,{},{},"{('i', 'é'): 1}",,,,,
