Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
hort,Andernos-les-Bains,fort,Bazas-bis,{},{},"{('h', 'f'): 1}",hort,Auros-bis,{},{},{},hort,Audenge-bis,{},{},{}
hort,Arès,fort,Savignac,{},{},"{('h', 'f'): 1}",fort,Ailas,{},{},"{('h', 'f'): 1}",fort,Coimères,{},{},"{('h', 'f'): 1}"
hort,Audenge-bis,hort,Andernos-les-Bains,{},{},{},hort,Le Porge,{},{},{},fort,Saint-Étienne-de-Lisse,{},{},"{('h', 'f'): 1}"
hort,Audenge,fort,Lignan-de-Bazas,{},{},"{('h', 'f'): 1}",fort,Belin-Béliet,{},{},"{('h', 'f'): 1}",,,,,
hort,Biganos,fort,Blanquefort-bis,{},{},"{('h', 'f'): 1}",,,,,,,,,,
hort,Lacanau-de-Mios,fort,Eysines,{},{},"{('h', 'f'): 1}",hort,Carbon-Blanc-bis,{},{},{},,,,,
hort,Lanton,fort,Macau,{},{},"{('h', 'f'): 1}",hort,Castelnau-de-Médoc,{},{},{},fort,Saint-Loubès,{},{},"{('h', 'f'): 1}"
hort,Lège,fort,Saint-Sulpice-et-Cameyrac,{},{},"{('h', 'f'): 1}",,,,,,,,,,
hort,Mios,fort,Ailas,{},{},"{('h', 'f'): 1}",fort,Saint-Maixant,{},{},"{('h', 'f'): 1}",,,,,
fort,Ailas,hort,Arès,{},{},"{('f', 'h'): 1}",hort,Mios,{},{},"{('f', 'h'): 1}",hort,Auros-bis,{},{},"{('f', 'h'): 1}"
hort,Auros-bis,hort,Andernos-les-Bains,{},{},{},fort,Ailas,{},{},"{('h', 'f'): 1}",,,,,
hort,Auros,fort,Bordeaux,{},{},"{('h', 'f'): 1}",hort,Sainte-Foy-la-Grande-bis,{},{},{},hort,Brannens,{},{},{}
hort,Barie,fort,Yvrac,{},{},"{('h', 'f'): 1}",,,,,,,,,,
hort,Brannens,hort,Auros,{},{},{},hort,Castillon-de-Castets,{},{},{},,,,,
hort,Castillon-de-Castets,fort,Saint-Médard-en-Jalles,{},{},"{('h', 'f'): 1}",hort,Brannens,{},{},{},,,,,
fort,Coimères,hort,Arès,{},{},"{('f', 'h'): 1}",fort,Cudos,{},{},{},fort,Lados,{},{},{}
fort,Lados,fort,Gans,{},{},{},fort,Puybarban,{},{},{},fort,Coimères,{},{},{}
fort,Pondaurat,fort,Blaignan,{},{},{},,,,,,,,,,
fort,Puybarban,fort,Lados,{},{},{},fort,Le Bouscat,{},{},{},fort,Savignac,{},{},{}
fort,Savignac,fort,Sigalens,{},{},{},hort,Arès,{},{},"{('f', 'h'): 1}",fort,Puybarban,{},{},{}
fort,Sigalens,fort,Caudéran,{},{},{},fort,Savignac,{},{},{},hort,Bayon-sur-Gironde,{},{},"{('f', 'h'): 1}"
fort,Bazas-bis,fort,Bazas,{},{},{},hort,Andernos-les-Bains,{},{},"{('f', 'h'): 1}",,,,,
fort,Bazas,fort,Cazats,{},{},{},fort,Bazas-bis,{},{},{},,,,,
fort,Bernos-Beaulac,fort,Birac,{},{},{},fort,Saumos,{},{},{},hort,Gajac,{},{},"{('f', 'h'): 1}"
fort,Birac,fort,Saint-Magne-de-Castillon,{},{},{},fort,Bernos-Beaulac,{},{},{},fort,Cazats,{},{},{}
fort,Cazats,fort,Cudos,{},{},{},fort,Bazas,{},{},{},fort,Birac,{},{},{}
fort,Cudos,fort,Coimères,{},{},{},fort,Cazats,{},{},{},fort,Gans,{},{},{}
hort,Gajac,hort,Belvès-de-Castillon,{},{},{},fort,Gans,{},{},"{('h', 'f'): 1}",fort,Bernos-Beaulac,{},{},"{('h', 'f'): 1}"
fort,Gans,hort,Gajac,{},{},"{('f', 'h'): 1}",fort,Lados,{},{},{},fort,Cudos,{},{},{}
fort,Le Nizan,hort,Prignac-et-Marcamps,{},{},"{('f', 'h'): 1}",hort,Gauriac,{},{},"{('f', 'h'): 1}",fort,Saint-Antoine-sur-l'Isle,{},{},{}
fort,Lignan-de-Bazas,hort,Audenge,{},{},"{('f', 'h'): 1}",hort,Lansac,{},{},"{('f', 'h'): 1}",fort,Béliet,{},{},{}
fort,Saint-Côme,hort,Bonnetan,{},{},"{('f', 'h'): 1}",hort,Saint-Trojan,{},{},"{('f', 'h'): 1}",fort,Béliet,{},{},{}
fort,Béliet,fort,Belin-Béliet,{},{},{},fort,Lignan-de-Bazas,{},{},{},fort,Saint-Côme,{},{},{}
fort,Belin-Béliet,fort,Cadillac-en-Fronsadais,{},{},{},hort,Audenge,{},{},"{('f', 'h'): 1}",fort,Béliet,{},{},{}
fort,Joué,fort,Le Barp,{},{},{},hort,Tabanac,{},{},"{('f', 'h'): 1}",,,,,
fort,Le Barp,fort,Cabara,{},{},{},fort,Joué,{},{},{},,,,,
fort,Lugos,fort,Saint-Magne,{},{},{},fort,Salles-bis,{},{},{},,,,,
fort,Saint-Magne,fort,Salles,{},{},{},fort,Lugos,{},{},{},fort,Saint-Romain-la-Virvée,{},{},{}
fort,Salles-bis,fort,Lugos,{},{},{},fort,Génissac,{},{},{},,,,,
fort,Salles,fort,Saint-Magne,{},{},{},fort,Saint-Quentin-de-Baron,{},{},{},,,,,
fort,Blanquefort-bis,fort,Langoiran,{},{},{},hort,Biganos,{},{},"{('f', 'h'): 1}",fort,Blanquefort,{},{},{}
