Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
fruïts,Andernos-les-Bains,fruyts,Bazas-bis,{},{},"{('ï', 'y'): 1}",fruyts,Auros-bis,{},{},"{('ï', 'y'): 1}",fruits,Audenge-bis,{},{},"{('ï', 'i'): 1}"
fruïts,Arès,früyts,Savignac,{},{},"{('u', 'ü'): 1, ('ï', 'y'): 1}",fruÿts,Ailas,{},{},"{('ï', 'ÿ'): 1}",fruits,Coimères,{},{},"{('ï', 'i'): 1}"
fruits,Audenge-bis,fruïts,Andernos-les-Bains,{},{},"{('i', 'ï'): 1}",fruits,Le Porge,{},{},{},fruits,Saint-Étienne-de-Lisse,{},{},{}
früyts,Audenge,frusso,Saint-Léon-sur-l'Isle,{},{},"{('ü', 'u'): 1, ('y', 's'): 1, ('t', 's'): 1, ('s', 'o'): 1}",fruyss,Lignan-de-Bazas,{},{},"{('ü', 'u'): 1, ('t', 's'): 1}",frueuits,Belin-Béliet,"{'u': 1, 'e': 1}",{},"{('ü', 'u'): 1, ('y', 'i'): 1}"
fruÿts,Biganos,frucho,Lussas,{},{},"{('ÿ', 'c'): 1, ('t', 'h'): 1, ('s', 'o'): 1}",fruyts,Blanquefort-bis,{},{},"{('ÿ', 'y'): 1}",,,,,
fruits,Lacanau-de-Mios,frûïts,Eysines,{},{},"{('u', 'û'): 1, ('i', 'ï'): 1}",fruys,Carbon-Blanc-bis,{},{'t': 1},"{('i', 'y'): 1}",,,,,
früits,Lanton,fruyts,Macau,{},{},"{('ü', 'u'): 1, ('i', 'y'): 1}",freuïts,Castelnau-de-Médoc,{'e': 1},{},"{('ü', 'u'): 1, ('i', 'ï'): 1}",fruyt,Saint-Loubès,{},{'s': 1},"{('ü', 'u'): 1, ('i', 'y'): 1}"
fruyts,Lège,fruzes,Pompogne,{},{},"{('y', 'z'): 1, ('t', 'e'): 1}",fruyts,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
fruïts,Mios,fruÿts,Ailas,{},{},"{('ï', 'ÿ'): 1}",fruïts,Saint-Maixant,{},{},{},,,,,
fruÿts,Ailas,fruïts,Arès,{},{},"{('ÿ', 'ï'): 1}",fruïts,Mios,{},{},"{('ÿ', 'ï'): 1}",fruyts,Auros-bis,{},{},"{('ÿ', 'y'): 1}"
fruyts,Auros-bis,fruïts,Andernos-les-Bains,{},{},"{('y', 'ï'): 1}",fruÿts,Ailas,{},{},"{('y', 'ÿ'): 1}",fruts,Meylan,{},{'y': 1},{}
fruyts,Auros,fruyts,Bordeaux,{},{},{},frusso,Sainte-Foy-la-Grande-bis,{},{},"{('y', 's'): 1, ('t', 's'): 1, ('s', 'o'): 1}",fruytz,Brannens,{},{},"{('s', 'z'): 1}"
früitz,Barie,früyes,Yvrac,{},{},"{('i', 'y'): 1, ('t', 'e'): 1, ('z', 's'): 1}",fruço,Atur,{},{'z': 1},"{('ü', 'u'): 1, ('i', 'ç'): 1, ('t', 'o'): 1}",,,,,
fruytz,Brannens,fruits,Bassillac,{},{},"{('y', 'i'): 1, ('z', 's'): 1}",fruyts,Auros,{},{},"{('z', 's'): 1}",fruïtz,Castillon-de-Castets,{},{},"{('y', 'ï'): 1}"
fruïtz,Castillon-de-Castets,fruyts,Saint-Médard-en-Jalles,{},{},"{('ï', 'y'): 1, ('z', 's'): 1}",fruts,Boé,{},{'ï': 1},"{('z', 's'): 1}",fruytz,Brannens,{},{},"{('ï', 'y'): 1}"
fruits,Coimères,fruïts,Arès,{},{},"{('i', 'ï'): 1}",fruyts,Cudos,{},{},"{('i', 'y'): 1}",fruyts,Lados,{},{},"{('i', 'y'): 1}"
fruyts,Lados,frûïts,Gans,{},{},"{('u', 'û'): 1, ('y', 'ï'): 1}",fruyts,Puybarban,{},{},{},fruits,Coimères,{},{},"{('y', 'i'): 1}"
fruïts,Pondaurat,frèyts,Blaignan,{},{},"{('u', 'è'): 1, ('ï', 'y'): 1}",fruts,Bescat,{},{'ï': 1},{},,,,,
fruyts,Puybarban,fruyts,Lados,{},{},{},fruits,Le Bouscat,{},{},"{('y', 'i'): 1}",früyts,Savignac,{},{},"{('u', 'ü'): 1}"
früyts,Savignac,früits,Sigalens,{},{},"{('y', 'i'): 1}",fruïts,Arès,{},{},"{('ü', 'u'): 1, ('y', 'ï'): 1}",fruyts,Puybarban,{},{},"{('ü', 'u'): 1}"
früits,Sigalens,fruyts,Caudéran,{},{},"{('ü', 'u'): 1, ('i', 'y'): 1}",früyts,Savignac,{},{},"{('i', 'y'): 1}",freuïs,Bayon-sur-Gironde,{},{},"{('ü', 'e'): 1, ('i', 'u'): 1, ('t', 'ï'): 1}"
fruyts,Bazas-bis,fruyts,Bazas,{},{},{},fruïts,Andernos-les-Bains,{},{},"{('y', 'ï'): 1}",fruits,Saint-Aubin,{},{},"{('y', 'i'): 1}"
fruyts,Bazas,fruyts,Cazats,{},{},{},fruyts,Bazas-bis,{},{},{},fruxo,Prats-de-Carlux,{},{'s': 1},"{('y', 'x'): 1, ('t', 'o'): 1}"
fruyts,Bernos-Beaulac,fruyts,Birac,{},{},{},früyts,Saumos,{},{},"{('u', 'ü'): 1}",fruyts,Gajac,{},{},{}
fruyts,Birac,fruys,Saint-Magne-de-Castillon,{},{'t': 1},{},fruyts,Bernos-Beaulac,{},{},{},fruyts,Cazats,{},{},{}
fruyts,Cazats,fruyts,Cudos,{},{},{},fruyts,Bazas,{},{},{},fruyts,Birac,{},{},{}
