Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
freyd,Andernos-les-Bains,fret,Bazas-bis,{},{'d': 1},"{('y', 't'): 1}",fret,Auros-bis,{},{'d': 1},"{('y', 't'): 1}",fréyt,Audenge-bis,{},{},"{('e', 'é'): 1, ('d', 't'): 1}"
freït,Arès,fréd,Savignac,{},{'t': 1},"{('e', 'é'): 1, ('ï', 'd'): 1}",frét,Ailas,{},{'ï': 1},"{('e', 'é'): 1}",frét,Coimères,{},{'ï': 1},"{('e', 'é'): 1}"
fréyt,Audenge-bis,freyd,Andernos-les-Bains,{},{},"{('é', 'e'): 1, ('t', 'd'): 1}",freyt,Le Porge,{},{},"{('é', 'e'): 1}",frey,Saint-Étienne-de-Lisse,{},{'t': 1},"{('é', 'e'): 1}"
fréyt,Audenge,fré,Saint-Léon-sur-l'Isle,{},"{'y': 1, 't': 1}",{},frèt,Lignan-de-Bazas,{},{'y': 1},"{('é', 'è'): 1}",reuit,Belin-Béliet,{},{},"{('f', 'r'): 1, ('r', 'e'): 1, ('é', 'u'): 1, ('y', 'i'): 1}"
réÿt,Biganos,frè,Lussas,{'f': 1},"{'ÿ': 1, 't': 1}","{('é', 'è'): 1}",freyt,Blanquefort-bis,{'f': 1},{},"{('é', 'e'): 1, ('ÿ', 'y'): 1}",,,,,
réyt,Lacanau-de-Mios,frêït,Eysines,{'f': 1},{},"{('é', 'ê'): 1, ('y', 'ï'): 1}",freyt,Carbon-Blanc-bis,{'f': 1},{},"{('é', 'e'): 1}",,,,,
fréït,Lanton,freyt,Macau,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}",freyt,Castelnau-de-Médoc,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}",freyt,Saint-Loubès,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}"
freyt,Lège,fré,Pompogne,{},"{'y': 1, 't': 1}","{('e', 'é'): 1}",freyt,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
réït,Mios,frét,Ailas,{'f': 1},{'ï': 1},{},frit,Saint-Maixant,{'f': 1},{'ï': 1},"{('é', 'i'): 1}",,,,,
frét,Ailas,freït,Arès,{'e': 1},{},"{('é', 'ï'): 1}",réït,Mios,{'ï': 1},{'f': 1},{},fret,Auros-bis,{},{},"{('é', 'e'): 1}"
fret,Auros-bis,freyd,Andernos-les-Bains,{'y': 1},{},"{('t', 'd'): 1}",frét,Ailas,{},{},"{('e', 'é'): 1}",frét,Meylan,{},{},"{('e', 'é'): 1}"
fret,Auros,freyt,Bordeaux,{'y': 1},{},{},fré,Sainte-Foy-la-Grande-bis,{},{'t': 1},"{('e', 'é'): 1}",frét,Brannens,{},{},"{('e', 'é'): 1}"
fréd,Barie,freyt,Yvrac,{'e': 1},{},"{('é', 'y'): 1, ('d', 't'): 1}",fred,Atur,{},{},"{('é', 'e'): 1}",,,,,
frét,Brannens,fré,Bassillac,{},{'t': 1},{},fret,Auros,{},{},"{('é', 'e'): 1}",fret,Castillon-de-Castets,{},{},"{('é', 'e'): 1}"
fret,Castillon-de-Castets,frèyt,Saint-Médard-en-Jalles,{'è': 1},{},"{('e', 'y'): 1}",frét,Boé,{},{},"{('e', 'é'): 1}",frét,Brannens,{},{},"{('e', 'é'): 1}"
frét,Coimères,freït,Arès,{'e': 1},{},"{('é', 'ï'): 1}",frét,Cudos,{},{},{},fret,Lados,{},{},"{('é', 'e'): 1}"
fret,Lados,fréd,Gans,{},{},"{('e', 'é'): 1, ('t', 'd'): 1}",frét,Puybarban,{},{},"{('e', 'é'): 1}",frét,Coimères,{},{},"{('e', 'é'): 1}"
frét,Pondaurat,freyt,Blaignan,{'e': 1},{},"{('é', 'y'): 1}",rét,Bescat,{},{'f': 1},{},,,,,
