Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
fut,Andernos-les-Bains,fut,Bazas-bis,{},{},{},fut,Auros-bis,{},{},{},fut,Audenge-bis,{},{},{}
fut,Arès,fit,Savignac,{},{},"{('u', 'i'): 1}",fut,Ailas,{},{},{},fut,Coimères,{},{},{}
fut,Audenge-bis,fut,Andernos-les-Bains,{},{},{},fusquè,Le Porge,"{'s': 1, 'q': 1, 'u': 1}",{},"{('t', 'è'): 1}",fusquè,Saint-Étienne-de-Lisse,"{'s': 1, 'q': 1, 'u': 1}",{},"{('t', 'è'): 1}"
fut,Audenge,fut,Lignan-de-Bazas,{},{},{},fut,Belin-Béliet,{},{},{},,,,,
fu,Biganos,fut,Blanquefort-bis,{'t': 1},{},{},,,,,,,,,,
fut,Lacanau-de-Mios,fut,Eysines,{},{},{},fugué,Carbon-Blanc-bis,"{'g': 1, 'u': 1}",{},"{('t', 'é'): 1}",,,,,
fut,Lanton,fut,Macau,{},{},{},fusqué,Castelnau-de-Médoc,"{'s': 1, 'q': 1, 'u': 1}",{},"{('t', 'é'): 1}",fut,Saint-Loubès,{},{},{}
fut,Lège,fousquèc,Pompogne,"{'o': 1, 's': 1, 'q': 1, 'u': 1, 'è': 1}",{},"{('t', 'c'): 1}",fusquè,Saint-Sulpice-et-Cameyrac,"{'s': 1, 'q': 1, 'u': 1}",{},"{('t', 'è'): 1}",,,,,
fut,Mios,fut,Ailas,{},{},{},fuet,Saint-Maixant,{'e': 1},{},{},,,,,
fut,Ailas,fut,Arès,{},{},{},fut,Mios,{},{},{},fut,Auros-bis,{},{},{}
fut,Auros-bis,fut,Andernos-les-Bains,{},{},{},fut,Ailas,{},{},{},,,,,
eut,Auros,fut,Bordeaux,{},{},"{('e', 'f'): 1}",fuait,Sainte-Foy-la-Grande-bis,"{'a': 1, 'i': 1}",{},"{('e', 'f'): 1}",fit,Brannens,{},{},"{('e', 'f'): 1, ('u', 'i'): 1}"
eut,Barie,fut,Yvrac,{},{},"{('e', 'f'): 1}",,,,,,,,,,
fit,Brannens,eut,Auros,{},{},"{('f', 'e'): 1, ('i', 'u'): 1}",fut,Castillon-de-Castets,{},{},"{('i', 'u'): 1}",,,,,
fut,Castillon-de-Castets,fut,Saint-Médard-en-Jalles,{},{},{},fit,Brannens,{},{},"{('u', 'i'): 1}",,,,,
fut,Coimères,fut,Arès,{},{},{},fit,Cudos,{},{},"{('u', 'i'): 1}",fut,Lados,{},{},{}
fut,Lados,fut,Gans,{},{},{},fut,Puybarban,{},{},{},fut,Coimères,{},{},{}
fut,Pondaurat,fouguèt,Blaignan,"{'o': 1, 'g': 1, 'u': 1, 'è': 1}",{},{},,,,,,,,,,
fut,Puybarban,fut,Lados,{},{},{},fut,Le Bouscat,{},{},{},fit,Savignac,{},{},"{('u', 'i'): 1}"
fit,Savignac,fit,Sigalens,{},{},{},fut,Arès,{},{},"{('i', 'u'): 1}",fut,Puybarban,{},{},"{('i', 'u'): 1}"
fit,Sigalens,fut,Caudéran,{},{},"{('i', 'u'): 1}",fit,Savignac,{},{},{},fut,Bayon-sur-Gironde,{},{},"{('i', 'u'): 1}"
fut,Bazas-bis,fit,Bazas,{},{},"{('u', 'i'): 1}",fut,Andernos-les-Bains,{},{},{},,,,,
fit,Bazas,fit,Cazats,{},{},{},fut,Bazas-bis,{},{},"{('i', 'u'): 1}",,,,,
fit,Bernos-Beaulac,fi,Birac,{},{'t': 1},{},fuscout,Saumos,"{'u': 1, 's': 1, 'c': 1, 'o': 1}",{},"{('i', 'u'): 1}",fugait,Gajac,"{'u': 1, 'g': 1, 'a': 1}",{},{}
fi,Birac,fousquet,Saint-Magne-de-Castillon,"{'o': 1, 'u': 2, 's': 1, 'q': 1, 'e': 1}",{},"{('i', 't'): 1}",fit,Bernos-Beaulac,{'t': 1},{},{},fit,Cazats,{'t': 1},{},{}
fit,Cazats,fit,Cudos,{},{},{},fit,Bazas,{},{},{},fi,Birac,{},{'t': 1},{}
fit,Cudos,fut,Coimères,{},{},"{('i', 'u'): 1}",fit,Cazats,{},{},{},fut,Gans,{},{},"{('i', 'u'): 1}"
fugait,Gajac,fusquait,Belvès-de-Castillon,"{'s': 1, 'q': 1}",{},"{('g', 'u'): 1}",fut,Gans,{},"{'g': 1, 'a': 1, 'i': 1}",{},fit,Bernos-Beaulac,{},"{'u': 1, 'g': 1, 'a': 1}",{}
fut,Gans,fugait,Gajac,"{'g': 1, 'a': 1, 'i': 1}",{},{},fut,Lados,{},{},{},fit,Cudos,{},{},"{('u', 'i'): 1}"
fut,Le Nizan,fut,Prignac-et-Marcamps,{},{},{},fut,Gauriac,{},{},{},fuscout,Saint-Antoine-sur-l'Isle,"{'s': 1, 'c': 1, 'o': 1, 'u': 1}",{},{}
fut,Lignan-de-Bazas,fut,Audenge,{},{},{},fut,Lansac,{},{},{},fut,Béliet,{},{},{}
fut,Saint-Côme,fusquèt,Bonnetan,"{'s': 1, 'q': 1, 'u': 1, 'è': 1}",{},{},fut,Saint-Trojan,{},{},{},fut,Béliet,{},{},{}
fut,Béliet,fut,Belin-Béliet,{},{},{},fut,Lignan-de-Bazas,{},{},{},fut,Saint-Côme,{},{},{}
fut,Belin-Béliet,fousquet,Cadillac-en-Fronsadais,"{'o': 1, 's': 1, 'q': 1, 'u': 1, 'e': 1}",{},{},fut,Audenge,{},{},{},fut,Béliet,{},{},{}
fut,Joué,fut,Le Barp,{},{},{},fousquét,Tabanac,"{'o': 1, 's': 1, 'q': 1, 'u': 1, 'é': 1}",{},{},,,,,
fut,Le Barp,fut,Cabara,{},{},{},fut,Joué,{},{},{},,,,,
