Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
huilles,Andernos-les-Bains,uilles,Bazas-bis,{},{'h': 1},{},huilles,Auros-bis,{},{},{},huilles,Audenge-bis,{},{},{}
hüilles,Arès,huilles,Savignac,{},{},"{('ü', 'u'): 1}",uilles,Ailas,{},{'ü': 1},"{('h', 'u'): 1}",hullos,Coimères,{},{'i': 1},"{('ü', 'u'): 1, ('e', 'o'): 1}"
huilles,Audenge-bis,huilles,Andernos-les-Bains,{},{},{},huilles,Le Porge,{},{},{},feuilles,Saint-Étienne-de-Lisse,{'f': 1},{},"{('h', 'e'): 1}"
hüilles,Audenge,feulias,Saint-Léon-sur-l'Isle,{},{},"{('h', 'f'): 1, ('ü', 'e'): 1, ('i', 'u'): 1, ('l', 'i'): 1, ('e', 'a'): 1}",hulles,Lignan-de-Bazas,{},{'i': 1},"{('ü', 'u'): 1}",huilleus,Belin-Béliet,{'u': 1},{},"{('ü', 'u'): 1}"
huilles,Biganos,feuillès,Lussas,{'f': 1},{},"{('h', 'e'): 1, ('e', 'è'): 1}",üilles,Blanquefort-bis,{},{'u': 1},"{('h', 'ü'): 1}",,,,,
huilles,Lacanau-de-Mios,uilles,Eysines,{},{'h': 1},{},fuyes,Carbon-Blanc-bis,{},{'l': 2},"{('h', 'f'): 1, ('i', 'y'): 1}",,,,,
hüilleus,Lanton,uilles,Macau,{},"{'ü': 1, 'u': 1}","{('h', 'u'): 1}",huilles,Castelnau-de-Médoc,{},{'u': 1},"{('ü', 'u'): 1}",huilles,Saint-Loubès,{},{'u': 1},"{('ü', 'u'): 1}"
hüilles,Lège,huilles,Pompogne,{},{},"{('ü', 'u'): 1}",uilles,Saint-Sulpice-et-Cameyrac,{},{'ü': 1},"{('h', 'u'): 1}",,,,,
huilles,Mios,uilles,Ailas,{},{'h': 1},{},ulleuss,Saint-Maixant,"{'u': 1, 's': 1}","{'h': 1, 'i': 1}",{},,,,,
uilles,Ailas,hüilles,Arès,{'h': 1},{},"{('u', 'ü'): 1}",huilles,Mios,{'h': 1},{},{},huilles,Auros-bis,{'h': 1},{},{}
huilles,Auros-bis,huilles,Andernos-les-Bains,{},{},{},uilles,Ailas,{},{'h': 1},{},houéillos,Meylan,"{'o': 1, 'é': 1}",{},"{('e', 'o'): 1}"
