Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
huc,Andernos-les-Bains,huc,Bazas-bis,{},{},{},huc,Auros-bis,{},{},{},huc,Audenge-bis,{},{},{}
huc,Arès,huc,Savignac,{},{},{},huc,Ailas,{},{},{},huc,Coimères,{},{},{}
huc,Audenge-bis,huc,Andernos-les-Bains,{},{},{},huc,Le Porge,{},{},{},feu,Saint-Étienne-de-Lisse,{'f': 1},{'c': 1},"{('h', 'e'): 1}"
huc,Audenge,fio,Saint-Léon-sur-l'Isle,{},{},"{('h', 'f'): 1, ('u', 'i'): 1, ('c', 'o'): 1}",huc,Lignan-de-Bazas,{},{},{},huc,Belin-Béliet,{},{},{}
huc,Biganos,fio,Lussas,{},{},"{('h', 'f'): 1, ('u', 'i'): 1, ('c', 'o'): 1}",huc,Blanquefort-bis,{},{},{},,,,,
huc,Lacanau-de-Mios,huc,Eysines,{},{},{},fuc,Carbon-Blanc-bis,{},{},"{('h', 'f'): 1}",,,,,
huc,Lanton,huc,Macau,{},{},{},huc,Castelnau-de-Médoc,{},{},{},huc,Saint-Loubès,{},{},{}
hüc,Lège,huc,Pompogne,{},{},"{('ü', 'u'): 1}",huc,Saint-Sulpice-et-Cameyrac,{},{},"{('ü', 'u'): 1}",,,,,
huc,Mios,huc,Ailas,{},{},{},uc,Saint-Maixant,{},{'h': 1},{},,,,,
huc,Ailas,huc,Arès,{},{},{},huc,Mios,{},{},{},huc,Auros-bis,{},{},{}
huc,Auros-bis,huc,Andernos-les-Bains,{},{},{},huc,Ailas,{},{},{},ouèc,Meylan,{'è': 1},{},"{('h', 'o'): 1}"
huc,Auros,fue,Bordeaux,{},{},"{('h', 'f'): 1, ('c', 'e'): 1}",fé,Sainte-Foy-la-Grande-bis,{},{'c': 1},"{('h', 'f'): 1, ('u', 'é'): 1}",hucq,Brannens,{'q': 1},{},{}
huc,Barie,uc,Yvrac,{},{'h': 1},{},fio,Atur,{},{},"{('h', 'f'): 1, ('u', 'i'): 1, ('c', 'o'): 1}",,,,,
hucq,Brannens,fio,Bassillac,{},{'q': 1},"{('h', 'f'): 1, ('u', 'i'): 1, ('c', 'o'): 1}",huc,Auros,{},{'q': 1},{},huc,Castillon-de-Castets,{},{'q': 1},{}
huc,Castillon-de-Castets,huc,Saint-Médard-en-Jalles,{},{},{},fét,Boé,{},{},"{('h', 'f'): 1, ('u', 'é'): 1, ('c', 't'): 1}",hucq,Brannens,{'q': 1},{},{}
huc,Coimères,huc,Arès,{},{},{},huc,Cudos,{},{},{},huc,Lados,{},{},{}
huc,Lados,huc,Gans,{},{},{},huc,Puybarban,{},{},{},huc,Coimères,{},{},{}
huc,Pondaurat,huc,Blaignan,{},{},{},houec,Bescat,"{'o': 1, 'e': 1}",{},{},,,,,
huc,Puybarban,huc,Lados,{},{},{},hue,Le Bouscat,{},{},"{('c', 'e'): 1}",huc,Savignac,{},{},{}
huc,Savignac,huc,Sigalens,{},{},{},huc,Arès,{},{},{},huc,Puybarban,{},{},{}
huc,Sigalens,hue,Caudéran,{},{},"{('c', 'e'): 1}",huc,Savignac,{},{},{},eut,Bayon-sur-Gironde,{},{},"{('h', 'e'): 1, ('c', 't'): 1}"
huc,Bazas-bis,huc,Bazas,{},{},{},huc,Andernos-les-Bains,{},{},{},fec,Saint-Aubin,{},{},"{('h', 'f'): 1, ('u', 'e'): 1}"
huc,Bazas,huc,Cazats,{},{},{},huc,Bazas-bis,{},{},{},fé,Prats-de-Carlux,{},{'c': 1},"{('h', 'f'): 1, ('u', 'é'): 1}"
huc,Bernos-Beaulac,huc,Birac,{},{},{},huc,Saumos,{},{},{},uc,Gajac,{},{'h': 1},{}
huc,Birac,feu,Saint-Magne-de-Castillon,{'f': 1},{'c': 1},"{('h', 'e'): 1}",huc,Bernos-Beaulac,{},{},{},huc,Cazats,{},{},{}
huc,Cazats,huc,Cudos,{},{},{},huc,Bazas,{},{},{},huc,Birac,{},{},{}
huc,Cudos,huc,Coimères,{},{},{},huc,Cazats,{},{},{},huc,Gans,{},{},{}
uc,Gajac,feu,Belvès-de-Castillon,"{'f': 1, 'e': 1}",{'c': 1},{},huc,Gans,{'h': 1},{},{},huc,Bernos-Beaulac,{'h': 1},{},{}
huc,Gans,uc,Gajac,{},{'h': 1},{},huc,Lados,{},{},{},huc,Cudos,{},{},{}
