Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
aouè,Andernos-les-Bains,quaouré,Bazas-bis,"{'q': 1, 'u': 1, 'r': 1}",{},"{('è', 'é'): 1}",aouré,Auros-bis,{'r': 1},{},"{('è', 'é'): 1}",quaouré,Audenge-bis,"{'q': 1, 'u': 1, 'r': 1}",{},"{('è', 'é'): 1}"
aourait,Arès,aouré,Savignac,{},"{'i': 1, 't': 1}","{('a', 'é'): 1}",aouré,Ailas,{},"{'i': 1, 't': 1}","{('a', 'é'): 1}",aouré,Coimères,{},"{'i': 1, 't': 1}","{('a', 'é'): 1}"
quaouré,Audenge-bis,aouè,Andernos-les-Bains,{},"{'q': 1, 'u': 1, 'é': 1}","{('r', 'è'): 1}",aouré,Le Porge,{},"{'q': 1, 'u': 1}",{},aöuret,Saint-Étienne-de-Lisse,{'e': 1},"{'q': 1, 'u': 1}","{('o', 'ö'): 1, ('é', 't'): 1}"
caouré,Audenge,aurio,Saint-Léon-sur-l'Isle,{'i': 1},"{'c': 1, 'o': 1}","{('é', 'o'): 1}",ahouré,Lignan-de-Bazas,{},{},"{('c', 'a'): 1, ('a', 'h'): 1}",aoureu,Belin-Béliet,{'e': 1},{'c': 1},"{('é', 'u'): 1}"
aouré,Biganos,orio,Lussas,{},{'a': 1},"{('u', 'r'): 1, ('r', 'i'): 1, ('é', 'o'): 1}",aouré,Blanquefort-bis,{},{},{},,,,,
aouré,Lacanau-de-Mios,quaouré,Eysines,"{'q': 1, 'u': 1}",{},{},aouré,Carbon-Blanc-bis,{},{},{},,,,,
caouré,Lanton,aourait,Macau,"{'a': 1, 'i': 1}",{'c': 1},"{('é', 't'): 1}",aourè,Castelnau-de-Médoc,{},{'c': 1},"{('é', 'è'): 1}",aouré,Saint-Loubès,{},{'c': 1},{}
aouré,Lège,âouré,Pompogne,{},{},"{('a', 'â'): 1}",aourai,Saint-Sulpice-et-Cameyrac,{'a': 1},{},"{('é', 'i'): 1}",,,,,
aoureu,Mios,aouré,Ailas,{},{'u': 1},"{('e', 'é'): 1}",aouré,Saint-Maixant,{},{'u': 1},"{('e', 'é'): 1}",,,,,
aouré,Ailas,aourait,Arès,"{'a': 1, 'i': 1}",{},"{('é', 't'): 1}",aoureu,Mios,{'e': 1},{},"{('é', 'u'): 1}",aouré,Auros-bis,{},{},{}
aouré,Auros-bis,aouè,Andernos-les-Bains,{},{'é': 1},"{('r', 'è'): 1}",aouré,Ailas,{},{},{},caouré,Meylan,{'c': 1},{},{}
aouré,Auros,aouré,Bordeaux,{},{},{},oouyo,Sainte-Foy-la-Grande-bis,{},{},"{('a', 'o'): 1, ('r', 'y'): 1, ('é', 'o'): 1}",aouré,Brannens,{},{},{}
aourét,Barie,caourait,Yvrac,"{'c': 1, 'a': 1}",{},"{('é', 'i'): 1}",ôrio,Atur,{},"{'o': 1, 'u': 1}","{('a', 'ô'): 1, ('é', 'i'): 1, ('t', 'o'): 1}",,,,,
aouré,Brannens,aourio,Bassillac,{'i': 1},{},"{('é', 'o'): 1}",aouré,Auros,{},{},{},aouré,Castillon-de-Castets,{},{},{}
aouré,Castillon-de-Castets,aouré,Saint-Médard-en-Jalles,{},{},{},aourio,Boé,{'i': 1},{},"{('é', 'o'): 1}",aouré,Brannens,{},{},{}
aouré,Coimères,aourait,Arès,"{'a': 1, 'i': 1}",{},"{('é', 't'): 1}",aouré,Cudos,{},{},{},aouré,Lados,{},{},{}
aouré,Lados,aouré,Gans,{},{},{},aouré,Puybarban,{},{},{},aouré,Coimères,{},{},{}
aouré,Pondaurat,aouré,Blaignan,{},{},{},abéré,Bescat,{},{},"{('o', 'b'): 1, ('u', 'é'): 1}",,,,,
aouré,Puybarban,aouré,Lados,{},{},{},aouré,Le Bouscat,{},{},{},aouré,Savignac,{},{},{}
aouré,Savignac,aouré,Sigalens,{},{},{},aourait,Arès,"{'a': 1, 'i': 1}",{},"{('é', 't'): 1}",aouré,Puybarban,{},{},{}
aouré,Sigalens,aouré,Caudéran,{},{},{},aouré,Savignac,{},{},{},aurait,Bayon-sur-Gironde,"{'a': 1, 'i': 1}",{'o': 1},"{('é', 't'): 1}"
quaouré,Bazas-bis,quaouré,Bazas,{},{},{},aouè,Andernos-les-Bains,{},"{'q': 1, 'u': 1, 'é': 1}","{('r', 'è'): 1}",aourio,Saint-Aubin,{'i': 1},"{'q': 1, 'u': 1}","{('é', 'o'): 1}"
quaouré,Bazas,quaouré,Cazats,{},{},{},quaouré,Bazas-bis,{},{},{},oourio,Prats-de-Carlux,{'i': 1},"{'u': 1, 'a': 1}","{('q', 'o'): 1, ('é', 'o'): 1}"
aouré,Bernos-Beaulac,aouré,Birac,{},{},{},aouré,Saumos,{},{},{},aouré,Gajac,{},{},{}
aouré,Birac,aourait,Saint-Magne-de-Castillon,"{'a': 1, 'i': 1}",{},"{('é', 't'): 1}",aouré,Bernos-Beaulac,{},{},{},quaouré,Cazats,"{'q': 1, 'u': 1}",{},{}
quaouré,Cazats,aouré,Cudos,{},"{'q': 1, 'u': 1}",{},quaouré,Bazas,{},{},{},aouré,Birac,{},"{'q': 1, 'u': 1}",{}
aouré,Cudos,aouré,Coimères,{},{},{},quaouré,Cazats,"{'q': 1, 'u': 1}",{},{},aouré,Gans,{},{},{}
aouré,Gajac,auouré,Belvès-de-Castillon,{'u': 1},{},{},aouré,Gans,{},{},{},aouré,Bernos-Beaulac,{},{},{}
aouré,Gans,aouré,Gajac,{},{},{},aouré,Lados,{},{},{},aouré,Cudos,{},{},{}
aouré,Le Nizan,ouré,Prignac-et-Marcamps,{},{'a': 1},{},aurait,Gauriac,"{'a': 1, 'i': 1}",{'o': 1},"{('é', 't'): 1}",auouriot,Saint-Antoine-sur-l'Isle,"{'u': 1, 'i': 1, 'o': 1}",{},"{('é', 't'): 1}"
ahouré,Lignan-de-Bazas,caouré,Audenge,{'c': 1},{'h': 1},{},aurait,Lansac,{},{},"{('h', 'u'): 1, ('o', 'r'): 1, ('u', 'a'): 1, ('r', 'i'): 1, ('é', 't'): 1}",quaouré,Béliet,"{'q': 1, 'u': 1}",{'h': 1},{}
aouré,Saint-Côme,aouré,Bonnetan,{},{},{},arait,Saint-Trojan,{},{},"{('o', 'r'): 1, ('u', 'a'): 1, ('r', 'i'): 1, ('é', 't'): 1}",quaouré,Béliet,"{'q': 1, 'u': 1}",{},{}
quaouré,Béliet,aoureu,Belin-Béliet,{'e': 1},"{'q': 1, 'u': 1}","{('é', 'u'): 1}",ahouré,Lignan-de-Bazas,{},{'a': 1},"{('q', 'a'): 1, ('u', 'h'): 1}",aouré,Saint-Côme,{},"{'q': 1, 'u': 1}",{}
aoureu,Belin-Béliet,aourait,Cadillac-en-Fronsadais,{'a': 1},{},"{('e', 'i'): 1, ('u', 't'): 1}",caouré,Audenge,{'c': 1},{'u': 1},"{('e', 'é'): 1}",quaouré,Béliet,"{'q': 1, 'u': 1}",{'u': 1},"{('e', 'é'): 1}"
aouré,Joué,aoureu,Le Barp,{'e': 1},{},"{('é', 'u'): 1}",aouré,Lansac,{},{},{},aouré,Tabanac,{},{},{}
aoureu,Le Barp,aouré,Cabara,{},{'u': 1},"{('e', 'é'): 1}",aouré,Joué,{},{'u': 1},"{('e', 'é'): 1}",,,,,
aoureu,Lugos,aoureu,Saint-Magne,{},{},{},aouré,Salles-bis,{},{'u': 1},"{('e', 'é'): 1}",,,,,
aoureu,Saint-Magne,aouré,Salles,{},{'u': 1},"{('e', 'é'): 1}",aoureu,Lugos,{},{},{},ouré,Saint-Romain-la-Virvée,{},"{'a': 1, 'u': 1}","{('e', 'é'): 1}"
