Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
äout,Andernos-les-Bains,aout,Bazas-bis,{},{},"{('ä', 'a'): 1}",août,Auros-bis,{},{},"{('ä', 'a'): 1, ('u', 'û'): 1}",aoué,Audenge-bis,{},{},"{('ä', 'a'): 1, ('t', 'é'): 1}"
aougut,Arès,aoutt,Savignac,{},{'u': 1},"{('g', 't'): 1}",aouout,Ailas,{},{},"{('g', 'o'): 1}",aout,Coimères,{},"{'g': 1, 'u': 1}",{}
aoué,Audenge-bis,äout,Andernos-les-Bains,{},{},"{('a', 'ä'): 1, ('é', 't'): 1}",aougut,Le Porge,"{'g': 1, 'u': 1}",{},"{('é', 't'): 1}",ayut,Saint-Étienne-de-Lisse,{},{},"{('o', 'y'): 1, ('é', 't'): 1}"
aouüt,Audenge,ogué,Saint-Léon-sur-l'Isle,{},{'t': 1},"{('a', 'o'): 1, ('o', 'g'): 1, ('ü', 'é'): 1}",ahoutt,Lignan-de-Bazas,{'h': 1},{},"{('ü', 't'): 1}",aouut,Belin-Béliet,{},{},"{('ü', 'u'): 1}"
aouut,Biganos,agué,Lussas,{},{'t': 1},"{('o', 'g'): 1, ('u', 'é'): 1}",aougut,Blanquefort-bis,{'g': 1},{},{},,,,,
aouît,Lacanau-de-Mios,aougut,Eysines,{'g': 1},{},"{('î', 'u'): 1}",aougut,Carbon-Blanc-bis,{'g': 1},{},"{('î', 'u'): 1}",,,,,
aoüt,Lanton,aougut,Macau,"{'u': 1, 'g': 1}",{},"{('ü', 'u'): 1}",aougut,Castelnau-de-Médoc,"{'u': 1, 'g': 1}",{},"{('ü', 'u'): 1}",aougut,Saint-Loubès,"{'u': 1, 'g': 1}",{},"{('ü', 'u'): 1}"
aougut,Lège,aguè,Pompogne,{},"{'o': 1, 'u': 1}","{('t', 'è'): 1}",aougut,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
aouüt,Mios,aouout,Ailas,{'o': 1},{},"{('ü', 'u'): 1}",aoué,Saint-Maixant,{},{'t': 1},"{('ü', 'é'): 1}",,,,,
aouout,Ailas,aougut,Arès,{},{},"{('o', 'g'): 1}",aouüt,Mios,{},{'u': 1},"{('o', 'ü'): 1}",août,Auros-bis,{},"{'o': 1, 'u': 1}","{('u', 'û'): 1}"
