Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
aouè,Andernos-les-Bains,aoué,Bazas-bis,{},{},"{('è', 'é'): 1}",aoué,Auros-bis,{},{},"{('è', 'é'): 1}",aoué,Audenge-bis,{},{},"{('è', 'é'): 1}"
aouait,Arès,aouè,Savignac,{},"{'i': 1, 't': 1}","{('a', 'è'): 1}",aouè,Ailas,{},"{'i': 1, 't': 1}","{('a', 'è'): 1}",aouè,Coimères,{},"{'i': 1, 't': 1}","{('a', 'è'): 1}"
aoué,Audenge-bis,aouè,Andernos-les-Bains,{},{},"{('é', 'è'): 1}",aoué,Le Porge,{},{},{},abé,Saint-Étienne-de-Lisse,{},{'u': 1},"{('o', 'b'): 1}"
aoué,Audenge, ovio,Saint-Léon-sur-l'Isle,{'v': 1},{},"{('a', ' '): 1, ('u', 'i'): 1, ('é', 'o'): 1}",ahoué,Lignan-de-Bazas,{'h': 1},{},{},aouai,Belin-Béliet,{'a': 1},{},"{('é', 'i'): 1}"
aoué,Biganos,avio,Lussas,{},{},"{('o', 'v'): 1, ('u', 'i'): 1, ('é', 'o'): 1}",abéoue,Blanquefort-bis,"{'b': 1, 'é': 1}",{},"{('é', 'e'): 1}",,,,,
aoué,Lacanau-de-Mios,aouêoue,Eysines,"{'ê': 1, 'o': 1, 'u': 1}",{},"{('é', 'e'): 1}",abèbe,Carbon-Blanc-bis,{'b': 1},{},"{('o', 'è'): 1, ('u', 'b'): 1, ('é', 'e'): 1}",,,,,
aoué,Lanton,abébe,Macau,{'b': 1},{},"{('o', 'é'): 1, ('u', 'b'): 1, ('é', 'e'): 1}",aouèoue,Castelnau-de-Médoc,"{'è': 1, 'o': 1, 'u': 1}",{},"{('é', 'e'): 1}",abèbe,Saint-Loubès,{'b': 1},{},"{('o', 'è'): 1, ('u', 'b'): 1, ('é', 'e'): 1}"
aouè,Lège,abio,Pompogne,{},{},"{('o', 'b'): 1, ('u', 'i'): 1, ('è', 'o'): 1}",abèbe,Saint-Sulpice-et-Cameyrac,{'b': 1},{},"{('o', 'è'): 1, ('u', 'b'): 1, ('è', 'e'): 1}",,,,,
aoué,Mios,aouè,Ailas,{},{},"{('é', 'è'): 1}",aoué,Saint-Maixant,{},{},{},,,,,
aouè,Ailas,aouait,Arès,"{'a': 1, 'i': 1}",{},"{('è', 't'): 1}",aoué,Mios,{},{},"{('è', 'é'): 1}",aoué,Auros-bis,{},{},"{('è', 'é'): 1}"
aoué,Auros-bis,aouè,Andernos-les-Bains,{},{},"{('é', 'è'): 1}",aouè,Ailas,{},{},"{('é', 'è'): 1}",aouèouo,Meylan,"{'è': 1, 'o': 1, 'u': 1}",{},"{('é', 'o'): 1}"
aoué,Auros,abèbe,Bordeaux,{'b': 1},{},"{('o', 'è'): 1, ('u', 'b'): 1, ('é', 'e'): 1}",avio,Sainte-Foy-la-Grande-bis,{},{},"{('o', 'v'): 1, ('u', 'i'): 1, ('é', 'o'): 1}",aoué,Brannens,{},{},{}
aouè,Barie,abèbe,Yvrac,{'b': 1},{},"{('o', 'è'): 1, ('u', 'b'): 1, ('è', 'e'): 1}", avio,Atur,{' ': 1},{},"{('o', 'v'): 1, ('u', 'i'): 1, ('è', 'o'): 1}",,,,,
aoué,Brannens,ovio,Bassillac,{},{},"{('a', 'o'): 1, ('o', 'v'): 1, ('u', 'i'): 1, ('é', 'o'): 1}",aoué,Auros,{},{},{},aoué,Castillon-de-Castets,{},{},{}
aoué,Castillon-de-Castets,aoué,Saint-Médard-en-Jalles,{},{},{},abio,Boé,{},{},"{('o', 'b'): 1, ('u', 'i'): 1, ('é', 'o'): 1}",aoué,Brannens,{},{},{}
aouè,Coimères,aouait,Arès,"{'a': 1, 'i': 1}",{},"{('è', 't'): 1}",aouè,Cudos,{},{},{},aouè,Lados,{},{},{}
aouè,Lados,aouè,Gans,{},{},{},aouè,Puybarban,{},{},{},aouè,Coimères,{},{},{}
aouè,Pondaurat,aoué,Blaignan,{},{},"{('è', 'é'): 1}",abè,Bescat,{},{'u': 1},"{('o', 'b'): 1}",,,,,
aouè,Puybarban,aouè,Lados,{},{},{},abèoué,Le Bouscat,"{'b': 1, 'è': 1}",{},"{('è', 'é'): 1}",aouè,Savignac,{},{},{}
aouè,Savignac,aouè,Sigalens,{},{},{},aouait,Arès,"{'a': 1, 'i': 1}",{},"{('è', 't'): 1}",aouè,Puybarban,{},{},{}
aouè,Sigalens,aoué,Caudéran,{},{},"{('è', 'é'): 1}",aouè,Savignac,{},{},{},abait,Bayon-sur-Gironde,{'b': 1},{},"{('o', 'a'): 1, ('u', 'i'): 1, ('è', 't'): 1}"
aoué,Bazas-bis,aoué,Bazas,{},{},{},aouè,Andernos-les-Bains,{},{},"{('é', 'è'): 1}",abio,Saint-Aubin,{},{},"{('o', 'b'): 1, ('u', 'i'): 1, ('é', 'o'): 1}"
aoué,Bazas,aoué,Cazats,{},{},{},aoué,Bazas-bis,{},{},{},obio,Prats-de-Carlux,{},{},"{('a', 'o'): 1, ('o', 'b'): 1, ('u', 'i'): 1, ('é', 'o'): 1}"
aouè,Bernos-Beaulac,aouè,Birac,{},{},{},aoué,Saumos,{},{},"{('è', 'é'): 1}",aoué,Gajac,{},{},"{('è', 'é'): 1}"
aouè,Birac,abé,Saint-Magne-de-Castillon,{},{'è': 1},"{('o', 'b'): 1, ('u', 'é'): 1}",aouè,Bernos-Beaulac,{},{},{},aoué,Cazats,{},{},"{('è', 'é'): 1}"
aoué,Cazats,aouè,Cudos,{},{},"{('é', 'è'): 1}",aoué,Bazas,{},{},{},aouè,Birac,{},{},"{('é', 'è'): 1}"
aouè,Cudos,aouè,Coimères,{},{},{},aoué,Cazats,{},{},"{('è', 'é'): 1}",aouè,Gans,{},{},{}
aoué,Gajac,abé,Belvès-de-Castillon,{},{'u': 1},"{('o', 'b'): 1}",aouè,Gans,{},{},"{('é', 'è'): 1}",aouè,Bernos-Beaulac,{},{},"{('é', 'è'): 1}"
aouè,Gans,aoué,Gajac,{},{},"{('è', 'é'): 1}",aouè,Lados,{},{},{},aouè,Cudos,{},{},{}
aoué,Le Nizan,abèbe,Prignac-et-Marcamps,{'b': 1},{},"{('o', 'è'): 1, ('u', 'b'): 1, ('é', 'e'): 1}",abait,Gauriac,{'b': 1},{},"{('o', 'a'): 1, ('u', 'i'): 1, ('é', 't'): 1}",aviot,Saint-Antoine-sur-l'Isle,"{'v': 1, 'i': 1}",{'é': 1},"{('u', 't'): 1}"
ahoué,Lignan-de-Bazas,aoué,Audenge,{},{'h': 1},{},abait,Lansac,{},{},"{('h', 'b'): 1, ('o', 'a'): 1, ('u', 'i'): 1, ('é', 't'): 1}",aoué,Béliet,{},{'h': 1},{}
aout,Saint-Côme,abêba,Bonnetan,{'b': 1},{},"{('o', 'ê'): 1, ('u', 'b'): 1, ('t', 'a'): 1}",abait,Saint-Trojan,{'b': 1},{},"{('o', 'a'): 1, ('u', 'i'): 1}",aoué,Béliet,{},{},"{('t', 'é'): 1}"
aoué,Béliet,aouai,Belin-Béliet,{'a': 1},{},"{('é', 'i'): 1}",ahoué,Lignan-de-Bazas,{'h': 1},{},{},aout,Saint-Côme,{},{},"{('é', 't'): 1}"
