Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
hère,Andernos-les-Bains,hère,Bazas-bis,{},{},{},hère,Auros-bis,{},{},{},hère,Audenge-bis,{},{},{}
hère,Arès,hère,Savignac,{},{},{},hère,Ailas,{},{},{},hère,Coimères,{},{},{}
hère,Audenge-bis,hère,Andernos-les-Bains,{},{},{},hèro,Le Porge,{},{},"{('e', 'o'): 1}",hèro,Saint-Étienne-de-Lisse,{},{},"{('e', 'o'): 1}"
hère,Audenge,hèro,Lignan-de-Bazas,{},{},"{('e', 'o'): 1}",hèro,Belin-Béliet,{},{},"{('e', 'o'): 1}",,,,,
hère,Biganos,hèro,Blanquefort-bis,{},{},"{('e', 'o'): 1}",,,,,,,,,,
hére,Lacanau-de-Mios,hèro,Eysines,{},{},"{('é', 'è'): 1, ('e', 'o'): 1}",hère,Carbon-Blanc-bis,{},{},"{('é', 'è'): 1}",,,,,
hère,Lanton,hère,Macau,{},{},{},hère,Castelnau-de-Médoc,{},{},{},hère,Saint-Loubès,{},{},{}
hère,Lège,hère,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,,,,,,
hére,Mios,hère,Ailas,{},{},"{('é', 'è'): 1}",hère,Saint-Maixant,{},{},"{('é', 'è'): 1}",,,,,
hère,Ailas,hère,Arès,{},{},{},hére,Mios,{},{},"{('è', 'é'): 1}",hère,Auros-bis,{},{},{}
hère,Auros-bis,hère,Andernos-les-Bains,{},{},{},hère,Ailas,{},{},{},,,,,
hère,Auros,hèra,Bordeaux,{},{},"{('e', 'a'): 1}",hère,Sainte-Foy-la-Grande-bis,{},{},{},hère,Brannens,{},{},{}
hère,Barie,hèro,Yvrac,{},{},"{('e', 'o'): 1}",,,,,,,,,,
hère,Brannens,hère,Auros,{},{},{},hère,Castillon-de-Castets,{},{},{},,,,,
hère,Castillon-de-Castets,hèro,Saint-Médard-en-Jalles,{},{},"{('e', 'o'): 1}",hère,Brannens,{},{},{},,,,,
hère,Coimères,hère,Arès,{},{},{},hèro,Cudos,{},{},"{('e', 'o'): 1}",hère,Lados,{},{},{}
hère,Lados,hèro,Gans,{},{},"{('e', 'o'): 1}",hère,Puybarban,{},{},{},hère,Coimères,{},{},{}
hère,Pondaurat,hère,Blaignan,{},{},{},,,,,,,,,,
hère,Puybarban,hère,Lados,{},{},{},hèro,Le Bouscat,{},{},"{('e', 'o'): 1}",hère,Savignac,{},{},{}
hère,Savignac,hère,Sigalens,{},{},{},hère,Arès,{},{},{},hère,Puybarban,{},{},{}
hère,Sigalens,hère,Caudéran,{},{},{},hère,Savignac,{},{},{},hère,Bayon-sur-Gironde,{},{},{}
hère,Bazas-bis,hère,Bazas,{},{},{},hère,Andernos-les-Bains,{},{},{},,,,,
hère,Bazas,hère,Cazats,{},{},{},hère,Bazas-bis,{},{},{},,,,,
hère,Bernos-Beaulac,hére,Birac,{},{},"{('è', 'é'): 1}",hèro,Saumos,{},{},"{('e', 'o'): 1}",hèro,Gajac,{},{},"{('e', 'o'): 1}"
hére,Birac,hère,Saint-Magne-de-Castillon,{},{},"{('é', 'è'): 1}",hère,Bernos-Beaulac,{},{},"{('é', 'è'): 1}",hère,Cazats,{},{},"{('é', 'è'): 1}"
hère,Cazats,hèro,Cudos,{},{},"{('e', 'o'): 1}",hère,Bazas,{},{},{},hére,Birac,{},{},"{('è', 'é'): 1}"
hèro,Cudos,hère,Coimères,{},{},"{('o', 'e'): 1}",hère,Cazats,{},{},"{('o', 'e'): 1}",hèro,Gans,{},{},{}
hèro,Gajac,hèro,Belvès-de-Castillon,{},{},{},hèro,Gans,{},{},{},hère,Bernos-Beaulac,{},{},"{('o', 'e'): 1}"
hèro,Gans,hèro,Gajac,{},{},{},hère,Lados,{},{},"{('o', 'e'): 1}",hèro,Cudos,{},{},{}
hère,Le Nizan,hère,Prignac-et-Marcamps,{},{},{},hère,Gauriac,{},{},{},hèro,Saint-Antoine-sur-l'Isle,{},{},"{('e', 'o'): 1}"
hèro,Lignan-de-Bazas,hère,Audenge,{},{},"{('o', 'e'): 1}",hèro,Lansac,{},{},{},hèro,Béliet,{},{},{}
héro,Saint-Côme,hèro,Bonnetan,{},{},"{('é', 'è'): 1}",hèro,Saint-Trojan,{},{},"{('é', 'è'): 1}",hèro,Béliet,{},{},"{('é', 'è'): 1}"
hèro,Béliet,hèro,Belin-Béliet,{},{},{},hèro,Lignan-de-Bazas,{},{},{},héro,Saint-Côme,{},{},"{('è', 'é'): 1}"
hèro,Belin-Béliet,hère,Cadillac-en-Fronsadais,{},{},"{('o', 'e'): 1}",hère,Audenge,{},{},"{('o', 'e'): 1}",hèro,Béliet,{},{},{}
hèro,Joué,hèro,Le Barp,{},{},{},hèro,Tabanac,{},{},{},,,,,
hèro,Le Barp,hèro,Cabara,{},{},{},hèro,Joué,{},{},{},,,,,
hero,Lugos,hère,Saint-Magne,{},{},"{('e', 'è'): 1, ('o', 'e'): 1}",hèra,Salles-bis,{},{},"{('e', 'è'): 1, ('o', 'a'): 1}",,,,,
hère,Saint-Magne,hero,Salles,{},{},"{('è', 'e'): 1, ('e', 'o'): 1}",hero,Lugos,{},{},"{('è', 'e'): 1, ('e', 'o'): 1}",hèra,Saint-Romain-la-Virvée,{},{},"{('e', 'a'): 1}"
hèra,Salles-bis,hero,Lugos,{},{},"{('è', 'e'): 1, ('a', 'o'): 1}",hèro,Génissac,{},{},"{('a', 'o'): 1}",,,,,
hero,Salles,hère,Saint-Magne,{},{},"{('e', 'è'): 1, ('o', 'e'): 1}",hère,Saint-Quentin-de-Baron,{},{},"{('e', 'è'): 1, ('o', 'e'): 1}",,,,,
hèro,Blanquefort-bis,hèro,Langoiran,{},{},{},hère,Biganos,{},{},"{('o', 'e'): 1}",èro,Blanquefort,{},{'h': 1},{}
èro,Blanquefort,hèro,Blanquefort-bis,{'h': 1},{},{},hère,La Réole,{'h': 1},{},"{('o', 'e'): 1}",,,,,
hère̩,Caychac,hèro,Omet,{},{'̩': 1},"{('e', 'o'): 1}",hèro,Eysines,{},{'̩': 1},"{('e', 'o'): 1}",hèro,Giscos,{},{'̩': 1},"{('e', 'o'): 1}"
hèro,Eysines,hère̩,Caychac,{'e': 1},{},"{('o', '̩'): 1}",hére,Lacanau-de-Mios,{},{},"{('è', 'é'): 1, ('o', 'e'): 1}",hère,Le Haillan,{},{},"{('o', 'e'): 1}"
hère,Le Haillan,hèro,Le Pian-Médoc,{},{},"{('e', 'o'): 1}",hèro,Eysines,{},{},"{('e', 'o'): 1}",,,,,
hèro,Le Pian-Médoc,hère,Le Haillan,{},{},"{('o', 'e'): 1}",,,,,,,,,,
hère,Le Taillan-Médoc,héro,Sainte-Croix-du-Mont,{},{},"{('è', 'é'): 1, ('e', 'o'): 1}",hère,Bassens,{},{},{},hèro,Landerrouat,{},{},"{('e', 'o'): 1}"
hère,Ludon-Médoc,hère,Macau,{},{},{},,,,,,,,,,
hère,Macau,hère,Ludon-Médoc,{},{},{},hère,Lanton,{},{},{},,,,,
hèro,Parempuyre,héro,Arcins,{},{},"{('è', 'é'): 1}",hèro,Arsac,{},{},{},,,,,
hère,Saint-Aubin-de-Médoc,hère,Labarde,{},{},{},,,,,,,,,,
hèro,Saint-Médard-en-Jalles,hèro,Margaux,{},{},{},hère,Castillon-de-Castets,{},{},"{('o', 'e'): 1}",hêro,Moulis-en-Médoc-bis,{},{},"{('è', 'ê'): 1}"
hère,Bègles,hèra,Lugon-et-l'Île-du-Carnay,{},{},"{('e', 'a'): 1}",hèro,Moulis-en-Médoc,{},{},"{('e', 'o'): 1}",,,,,
hèra,Bordeaux,hère,Auros,{},{},"{('a', 'e'): 1}",,,,,,,,,,
hèro,Bruges,hèro,Bégadan,{},{},{},hère,Caudéran,{},{},"{('o', 'e'): 1}",,,,,
hère,Caudéran,hèro,Bruges,{},{},"{('e', 'o'): 1}",hère,Sigalens,{},{},{},hère,Bayon-sur-Gironde,{},{},{}
hèra,Chartrons,hère,Sainte-Colombe,{},{},"{('a', 'e'): 1}",hère,Salaunes,{},{},"{('a', 'e'): 1}",,,,,
hèro,Le Bouscat,hère,Puybarban,{},{},"{('o', 'e'): 1}",hère,Castillon-la-Bataille-bis,{},{},"{('o', 'e'): 1}",hère,Bayon-sur-Gironde,{},{},"{('o', 'e'): 1}"
hère,Bayon-sur-Gironde,hère,Caudéran,{},{},{},hère,Sigalens,{},{},{},hèro,Le Bouscat,{},{},"{('e', 'o'): 1}"
hèro,Bourg-bis,hère,Castres-Gironde,{},{},"{('o', 'e'): 1}",hère,Castillon-la-Bataille,{},{},"{('o', 'e'): 1}",hèro,Bahus-Soubiran,{},{},{}
hèro,Bourg,hèro,Comps,{},{},{},hèra,Rivière-Saas-et-Gourby,{},{},"{('o', 'a'): 1}",hèro,Baron,{},{},{}
hèro,Comps,hère,Gauriac,{},{},"{('o', 'e'): 1}",hèro,Bourg,{},{},{},,,,,
hère,Gauriac,hère,Le Nizan,{},{},{},hèro,Comps,{},{},"{('e', 'o'): 1}",hère,Baurech,{},{},{}
hèro,Lansac,hèro,Lignan-de-Bazas,{},{},{},hèro,Marcamps,{},{},{},hère,Saint-Loubouer,{},{},"{('o', 'e'): 1}"
hèro,Marcamps,hère,Prignac-et-Marcamps,{},{},"{('o', 'e'): 1}",hèro,Lansac,{},{},{},,,,,
hère,Prignac-et-Marcamps,hèro,Marcamps,{},{},"{('e', 'o'): 1}",hère,Le Nizan,{},{},{},hère,Renung,{},{},{}
hèro,Saint-Seurin-de-Bourg,hèra,Saint-Pandelon,{},{},"{('o', 'a'): 1}",hèro,Samonac,{},{},{},hèro,Baron,{},{},{}
hèro,Saint-Trojan,héro,Saint-Côme,{},{},"{('è', 'é'): 1}",hèro,Tauriac,{},{},{},hèro,Samonac,{},{},{}
hèro,Samonac,hèro,Saint-Seurin-de-Bourg,{},{},{},hèra,Fronsac,{},{},"{('o', 'a'): 1}",hèro,Saint-Trojan,{},{},{}
