Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
alors,Andernos-les-Bains,alors,Bazas-bis,{},{},{},alors,Auros-bis,{},{},{},alors,Audenge-bis,{},{},{}
alors,Arès,alors,Savignac,{},{},{},alors,Ailas,{},{},{},alors,Coimères,{},{},{}
alors,Audenge-bis,alors,Andernos-les-Bains,{},{},{},alors,Le Porge,{},{},{},alors,Saint-Étienne-de-Lisse,{},{},{}
alors,Audenge,alors,Lignan-de-Bazas,{},{},{},alors,Belin-Béliet,{},{},{},,,,,
alors,Biganos,alors,Blanquefort-bis,{},{},{},,,,,,,,,,
alors,Lacanau-de-Mios,alors,Eysines,{},{},{},alors,Carbon-Blanc-bis,{},{},{},,,,,
alors,Lanton,alors,Macau,{},{},{},alors,Castelnau-de-Médoc,{},{},{},alors,Saint-Loubès,{},{},{}
alors,Lège,alors,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,,,,,,
alors,Mios,alors,Ailas,{},{},{},alors,Saint-Maixant,{},{},{},,,,,
alors,Ailas,alors,Arès,{},{},{},alors,Mios,{},{},{},alors,Auros-bis,{},{},{}
alors,Auros-bis,alors,Andernos-les-Bains,{},{},{},alors,Ailas,{},{},{},,,,,
alors,Auros,alors,Bordeaux,{},{},{},alors,Sainte-Foy-la-Grande-bis,{},{},{},alors,Brannens,{},{},{}
alors,Barie,alors,Yvrac,{},{},{},,,,,,,,,,
alors,Brannens,alors,Auros,{},{},{},alors,Castillon-de-Castets,{},{},{},,,,,
alors,Castillon-de-Castets,alors,Saint-Médard-en-Jalles,{},{},{},alors,Brannens,{},{},{},,,,,
alors,Coimères,alors,Arès,{},{},{},alors,Cudos,{},{},{},alors,Lados,{},{},{}
alors,Lados,aloure,Gans,{'u': 1},{},"{('s', 'e'): 1}",alors,Puybarban,{},{},{},alors,Coimères,{},{},{}
alors,Pondaurat,alors,Blaignan,{},{},{},,,,,,,,,,
alors,Puybarban,alors,Lados,{},{},{},alors,Le Bouscat,{},{},{},alors,Savignac,{},{},{}
alors,Savignac,alors,Sigalens,{},{},{},alors,Arès,{},{},{},alors,Puybarban,{},{},{}
alors,Sigalens,alors,Caudéran,{},{},{},alors,Savignac,{},{},{},alors,Bayon-sur-Gironde,{},{},{}
alors,Bazas-bis,alors,Bazas,{},{},{},alors,Andernos-les-Bains,{},{},{},,,,,
alors,Bazas,aloure,Cazats,{'u': 1},{},"{('s', 'e'): 1}",alors,Bazas-bis,{},{},{},,,,,
alors,Bernos-Beaulac,alors,Birac,{},{},{},alors,Saumos,{},{},{},aloure,Gajac,{'u': 1},{},"{('s', 'e'): 1}"
alors,Birac,alors,Saint-Magne-de-Castillon,{},{},{},alors,Bernos-Beaulac,{},{},{},aloure,Cazats,{'u': 1},{},"{('s', 'e'): 1}"
aloure,Cazats,alors,Cudos,{},{'u': 1},"{('e', 's'): 1}",alors,Bazas,{},{'u': 1},"{('e', 's'): 1}",alors,Birac,{},{'u': 1},"{('e', 's'): 1}"
alors,Cudos,alors,Coimères,{},{},{},aloure,Cazats,{'u': 1},{},"{('s', 'e'): 1}",aloure,Gans,{'u': 1},{},"{('s', 'e'): 1}"
aloure,Gajac,alors,Belvès-de-Castillon,{},{'u': 1},"{('e', 's'): 1}",aloure,Gans,{},{},{},alors,Bernos-Beaulac,{},{'u': 1},"{('e', 's'): 1}"
aloure,Gans,aloure,Gajac,{},{},{},alors,Lados,{},{'u': 1},"{('e', 's'): 1}",alors,Cudos,{},{'u': 1},"{('e', 's'): 1}"
alore,Le Nizan,alors,Prignac-et-Marcamps,{},{},"{('e', 's'): 1}",alors,Gauriac,{},{},"{('e', 's'): 1}",alors,Saint-Antoine-sur-l'Isle,{},{},"{('e', 's'): 1}"
