Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
labéts,Andernos-les-Bains,labets,Bazas-bis,{},{},"{('é', 'e'): 1}",labets,Auros-bis,{},{},"{('é', 'e'): 1}",labeuts,Audenge-bis,{'e': 1},{},"{('é', 'u'): 1}"
alabey,Arès,labéts,Savignac,{'é': 1},{'a': 1},"{('e', 't'): 1, ('y', 's'): 1}",labéts,Ailas,{'é': 1},{'a': 1},"{('e', 't'): 1, ('y', 's'): 1}",labéts,Coimères,{'é': 1},{'a': 1},"{('e', 't'): 1, ('y', 's'): 1}"
labeuts,Audenge-bis,labéts,Andernos-les-Bains,{},{'u': 1},"{('e', 'é'): 1}",labèts,Le Porge,{},{'u': 1},"{('e', 'è'): 1}",labéts,Saint-Étienne-de-Lisse,{},{'u': 1},"{('e', 'é'): 1}"
labéts,Audenge,alabét,Saint-Léon-sur-l'Isle,{'a': 1},{'s': 1},{},labets,Lignan-de-Bazas,{},{},"{('é', 'e'): 1}",alabés,Belin-Béliet,{'a': 1},{'t': 1},{}
labets,Biganos,alabéts,Lussas,{'a': 1},{},"{('e', 'é'): 1}",labéts,Blanquefort-bis,{},{},"{('e', 'é'): 1}",,,,,
labets,Lacanau-de-Mios,alabets,Eysines,{'a': 1},{},{},labets,Carbon-Blanc-bis,{},{},{},,,,,
labetz,Lanton,alabétz,Macau,{'a': 1},{},"{('e', 'é'): 1}",labets,Castelnau-de-Médoc,{},{},"{('z', 's'): 1}",labets,Saint-Loubès,{},{},"{('z', 's'): 1}"
labest,Lège,labéts,Pompogne,{'é': 1},{'t': 1},"{('e', 't'): 1}",labeutz,Saint-Sulpice-et-Cameyrac,{'z': 1},{},"{('s', 'u'): 1}",,,,,
labets,Mios,labéts,Ailas,{},{},"{('e', 'é'): 1}",labeutss,Saint-Maixant,"{'u': 1, 's': 1}",{},{},,,,,
labéts,Ailas,alabey,Arès,{'a': 1},{'s': 1},"{('é', 'e'): 1, ('t', 'y'): 1}",labets,Mios,{},{},"{('é', 'e'): 1}",labets,Auros-bis,{},{},"{('é', 'e'): 1}"
labets,Auros-bis,labéts,Andernos-les-Bains,{},{},"{('e', 'é'): 1}",labéts,Ailas,{},{},"{('e', 'é'): 1}",alabéts,Meylan,{'a': 1},{},"{('e', 'é'): 1}"
labéts,Auros,labetz,Bordeaux,{},{},"{('é', 'e'): 1, ('s', 'z'): 1}",labéts,Sainte-Foy-la-Grande-bis,{},{},{},labets,Brannens,{},{},"{('é', 'e'): 1}"
labéts,Barie,alabetx,Yvrac,{'a': 1},{},"{('é', 'e'): 1, ('s', 'x'): 1}",alabét,Atur,{'a': 1},{'s': 1},{},,,,,
labets,Brannens,alabét,Bassillac,{'a': 1},{'s': 1},"{('e', 'é'): 1}",labéts,Auros,{},{},"{('e', 'é'): 1}",labéts,Castillon-de-Castets,{},{},"{('e', 'é'): 1}"
labéts,Castillon-de-Castets,labets,Saint-Médard-en-Jalles,{},{},"{('é', 'e'): 1}",alabetz,Boé,{'a': 1},{},"{('é', 'e'): 1, ('s', 'z'): 1}",labets,Brannens,{},{},"{('é', 'e'): 1}"
labéts,Coimères,alabey,Arès,{'a': 1},{'s': 1},"{('é', 'e'): 1, ('t', 'y'): 1}",abeuts,Cudos,{'e': 1},{'l': 1},"{('é', 'u'): 1}",labéts,Lados,{},{},{}
labéts,Lados,labeuts,Gans,{'e': 1},{},"{('é', 'u'): 1}",labéts,Puybarban,{},{},{},labéts,Coimères,{},{},{}
labets,Pondaurat,labets,Blaignan,{},{},{},alabètz,Bescat,{'a': 1},{},"{('e', 'è'): 1, ('s', 'z'): 1}",,,,,
labéts,Puybarban,labéts,Lados,{},{},{},labéts,Le Bouscat,{},{},{},labéts,Savignac,{},{},{}
labéts,Savignac,labéts,Sigalens,{},{},{},alabey,Arès,{'a': 1},{'s': 1},"{('é', 'e'): 1, ('t', 'y'): 1}",labéts,Puybarban,{},{},{}
labéts,Sigalens,labéts,Caudéran,{},{},{},labéts,Savignac,{},{},{},lavéts,Bayon-sur-Gironde,{},{},"{('b', 'v'): 1}"
labets,Bazas-bis,labéts,Bazas,{},{},"{('e', 'é'): 1}",labéts,Andernos-les-Bains,{},{},"{('e', 'é'): 1}",alabéts,Saint-Aubin,{'a': 1},{},"{('e', 'é'): 1}"
labéts,Bazas,leabeuts,Cazats,{'e': 2},{},"{('é', 'u'): 1}",labets,Bazas-bis,{},{},"{('é', 'e'): 1}",labet,Prats-de-Carlux,{},{'s': 1},"{('é', 'e'): 1}"
dabéts,Bernos-Beaulac,dabeuts,Birac,{'e': 1},{},"{('é', 'u'): 1}",labéts,Saumos,{},{},"{('d', 'l'): 1}",labeuts,Gajac,{'e': 1},{},"{('d', 'l'): 1, ('é', 'u'): 1}"
dabeuts,Birac,labets,Saint-Magne-de-Castillon,{},{'u': 1},"{('d', 'l'): 1}",dabéts,Bernos-Beaulac,{},{'u': 1},"{('e', 'é'): 1}",leabeuts,Cazats,{'l': 1},{},"{('d', 'e'): 1}"
leabeuts,Cazats,abeuts,Cudos,{},"{'l': 1, 'e': 1}",{},labéts,Bazas,{},"{'e': 1, 'u': 1}","{('e', 'é'): 1}",dabeuts,Birac,{},{'e': 1},"{('l', 'd'): 1}"
abeuts,Cudos,labéts,Coimères,{'l': 1},{'u': 1},"{('e', 'é'): 1}",leabeuts,Cazats,"{'l': 1, 'e': 1}",{},{},labeuts,Gans,{'l': 1},{},{}
labeuts,Gajac,labéths,Belvès-de-Castillon,{},{},"{('e', 'é'): 1, ('u', 't'): 1, ('t', 'h'): 1}",labeuts,Gans,{},{},{},dabéts,Bernos-Beaulac,{},{'u': 1},"{('l', 'd'): 1, ('e', 'é'): 1}"
labeuts,Gans,labeuts,Gajac,{},{},{},labéts,Lados,{},{'u': 1},"{('e', 'é'): 1}",abeuts,Cudos,{},{'l': 1},{}
labets,Le Nizan,labéts,Prignac-et-Marcamps,{},{},"{('e', 'é'): 1}",alabétz,Gauriac,{'a': 1},{},"{('e', 'é'): 1, ('s', 'z'): 1}",labéts,Saint-Antoine-sur-l'Isle,{},{},"{('e', 'é'): 1}"
labets,Lignan-de-Bazas,labéts,Audenge,{},{},"{('e', 'é'): 1}",alabéts,Lansac,{'a': 1},{},"{('e', 'é'): 1}",labés,Béliet,{},{'t': 1},"{('e', 'é'): 1}"
labéts,Saint-Côme,labets,Bonnetan,{},{},"{('é', 'e'): 1}",labets,Saint-Trojan,{},{},"{('é', 'e'): 1}",labés,Béliet,{},{'t': 1},{}
labés,Béliet,alabés,Belin-Béliet,{'a': 1},{},{},labets,Lignan-de-Bazas,{'e': 1},{},"{('é', 't'): 1}",labéts,Saint-Côme,{'t': 1},{},{}
alabés,Belin-Béliet,labèts,Cadillac-en-Fronsadais,{'è': 1},{'a': 1},"{('é', 't'): 1}",labéts,Audenge,{'t': 1},{'a': 1},{},labés,Béliet,{},{'a': 1},{}
labets,Joué,labéss,Le Barp,{},{},"{('e', 'é'): 1, ('t', 's'): 1}",labeuts,Tabanac,{'u': 1},{},{},,,,,
labéss,Le Barp,labéts,Cabara,{},{},"{('s', 't'): 1}",labets,Joué,{},{},"{('é', 'e'): 1, ('s', 't'): 1}",,,,,
labéts,Lugos,labéts,Saint-Magne,{},{},{},labéts,Salles-bis,{},{},{},,,,,
labéts,Saint-Magne,labets,Salles,{},{},"{('é', 'e'): 1}",labéts,Lugos,{},{},{},labeuts,Saint-Romain-la-Virvée,{'e': 1},{},"{('é', 'u'): 1}"
labéts,Salles-bis,labéts,Lugos,{},{},{},labets,Génissac,{},{},"{('é', 'e'): 1}",alabets,Osse-en-Aspe,{'a': 1},{},"{('é', 'e'): 1}"
labets,Salles,alabéts,Saint-Sulpice-de-Mareuil,{'a': 1},{},"{('e', 'é'): 1}",labéts,Saint-Magne,{},{},"{('e', 'é'): 1}",labeuts,Saint-Quentin-de-Baron,{'u': 1},{},{}
labéts,Blanquefort-bis,labets,Langoiran,{},{},"{('é', 'e'): 1}",labets,Biganos,{},{},"{('é', 'e'): 1}",labéts,Blanquefort,{},{},{}
labéts,Blanquefort,labéts,Blanquefort-bis,{},{},{},alabétz,Ychoux,{'a': 1},{},"{('s', 'z'): 1}",labéts,La Réole,{},{},{}
alabéts,Caychac,labets,Omet,{},{'a': 1},"{('é', 'e'): 1}",alabets,Eysines,{},{},"{('é', 'e'): 1}",labéts,Giscos,{},{'a': 1},{}
alabets,Eysines,alabéts,Caychac,{},{},"{('e', 'é'): 1}",labets,Lacanau-de-Mios,{},{'a': 1},{},alabèy,Le Haillan,{},{'s': 1},"{('e', 'è'): 1, ('t', 'y'): 1}"
