Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
aquères,Andernos-les-Bains,aquéres,Bazas-bis,{},{},"{('è', 'é'): 1}",aquères,Auros-bis,{},{},{},les,Audenge-bis,{},"{'q': 1, 'u': 1, 'è': 1, 'r': 1}","{('a', 'l'): 1}"
aquères,Arès,aquères,Savignac,{},{},{},aquéres,Ailas,{},{},"{('è', 'é'): 1}",aquélos,Coimères,{},{},"{('è', 'é'): 1, ('r', 'l'): 1, ('e', 'o'): 1}"
les,Audenge-bis,aquères,Andernos-les-Bains,"{'a': 1, 'q': 1, 'u': 1, 'è': 1}",{},"{('l', 'r'): 1}",quères,Le Porge,"{'q': 1, 'u': 1, 'è': 1}",{},"{('l', 'r'): 1}",quey,Saint-Étienne-de-Lisse,{'q': 1},{},"{('l', 'u'): 1, ('s', 'y'): 1}"
aquires,Audenge,quellas,Saint-Léon-sur-l'Isle,{'e': 1},{'a': 1},"{('i', 'l'): 1, ('r', 'l'): 1, ('e', 'a'): 1}",aequèress,Lignan-de-Bazas,"{'e': 1, 's': 1}",{},"{('i', 'è'): 1}",aquireus,Belin-Béliet,{'u': 1},{},{}
aquires,Biganos,quelé,Lussas,{},"{'a': 1, 's': 1}","{('i', 'e'): 1, ('r', 'l'): 1, ('e', 'é'): 1}",aquères,Blanquefort-bis,{},{},"{('i', 'è'): 1}",,,,,
aquires,Lacanau-de-Mios,aquéres,Eysines,{},{},"{('i', 'é'): 1}",aquéles,Carbon-Blanc-bis,{},{},"{('i', 'é'): 1, ('r', 'l'): 1}",,,,,
aquireus,Lanton,las,Macau,{'l': 1},"{'q': 1, 'u': 2, 'i': 1, 'r': 1, 'e': 1}",{},aquéres,Castelnau-de-Médoc,{},{'u': 1},"{('i', 'é'): 1}",aquérés,Saint-Loubès,{},{'u': 1},"{('i', 'é'): 1, ('e', 'é'): 1}"
aquéres,Lège,aquéléï,Pompogne,{},{},"{('r', 'l'): 1, ('e', 'é'): 1, ('s', 'ï'): 1}",dés,Saint-Sulpice-et-Cameyrac,{},"{'q': 1, 'u': 1, 'r': 1, 'e': 1}","{('a', 'd'): 1}",,,,,
aquires,Mios,aquéres,Ailas,{},{},"{('i', 'é'): 1}",lés,Saint-Maixant,{},"{'u': 1, 'i': 1, 'r': 1, 'e': 1}","{('a', 'l'): 1, ('q', 'é'): 1}",,,,,
aquéres,Ailas,aquères,Arès,{},{},"{('é', 'è'): 1}",aquires,Mios,{},{},"{('é', 'i'): 1}",aquères,Auros-bis,{},{},"{('é', 'è'): 1}"
aquères,Auros-bis,aquères,Andernos-les-Bains,{},{},{},aquéres,Ailas,{},{},"{('è', 'é'): 1}",aquéros,Meylan,{},{},"{('è', 'é'): 1, ('e', 'o'): 1}"
aquères,Auros,aquelles,Bordeaux,{'e': 1},{},"{('è', 'l'): 1, ('r', 'l'): 1}",aqués,Sainte-Foy-la-Grande-bis,{},"{'r': 1, 'e': 1}","{('è', 'é'): 1}",les,Brannens,{},"{'q': 1, 'u': 1, 'è': 1, 'r': 1}","{('a', 'l'): 1}"
aquéreus,Barie,quères,Yvrac,{},"{'a': 1, 'u': 1}","{('é', 'è'): 1}",quéla,Atur,{},"{'a': 1, 'u': 1, 's': 1}","{('r', 'l'): 1, ('e', 'a'): 1}",,,,,
les,Brannens,quélas,Bassillac,"{'q': 1, 'u': 1, 'é': 1}",{},"{('e', 'a'): 1}",aquères,Auros,"{'a': 1, 'q': 1, 'u': 1, 'è': 1}",{},"{('l', 'r'): 1}",lés,Castillon-de-Castets,{},{},"{('e', 'é'): 1}"
lés,Castillon-de-Castets,de las,Saint-Médard-en-Jalles,"{'d': 1, 'e': 1, ' ': 1}",{},"{('é', 'a'): 1}",aquéros,Boé,"{'a': 1, 'q': 1, 'r': 1, 'o': 1}",{},"{('l', 'u'): 1}",les,Brannens,{},{},"{('é', 'e'): 1}"
aquélos,Coimères,aquères,Arès,{},{},"{('é', 'è'): 1, ('l', 'r'): 1, ('o', 'e'): 1}",aquéres,Cudos,{},{},"{('l', 'r'): 1, ('o', 'e'): 1}",aquéres,Lados,{},{},"{('l', 'r'): 1, ('o', 'e'): 1}"
aquéres,Lados,les,Gans,{},"{'q': 1, 'u': 1, 'é': 1, 'r': 1}","{('a', 'l'): 1}",lés,Puybarban,{},"{'q': 1, 'u': 1, 'r': 1, 'e': 1}","{('a', 'l'): 1}",aquélos,Coimères,{},{},"{('r', 'l'): 1, ('e', 'o'): 1}"
