Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
la,Andernos-les-Bains,la,Bazas-bis,{},{},{},la,Auros-bis,{},{},{},la,Audenge-bis,{},{},{}
la,Arès,la,Savignac,{},{},{},la,Ailas,{},{},{},la,Coimères,{},{},{}
la,Audenge-bis,la,Andernos-les-Bains,{},{},{},la,Le Porge,{},{},{},la,Saint-Étienne-de-Lisse,{},{},{}
la,Audenge,lé,Saint-Léon-sur-l'Isle,{},{},"{('a', 'é'): 1}",la,Lignan-de-Bazas,{},{},{},la,Belin-Béliet,{},{},{}
la,Biganos,la,Lussas,{},{},{},la,Blanquefort-bis,{},{},{},,,,,
la,Lacanau-de-Mios,la,Eysines,{},{},{},la,Carbon-Blanc-bis,{},{},{},,,,,
la,Lanton,la,Macau,{},{},{},la,Castelnau-de-Médoc,{},{},{},la,Saint-Loubès,{},{},{}
la,Lège,la,Pompogne,{},{},{},la,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
la,Mios,la,Ailas,{},{},{},la,Saint-Maixant,{},{},{},,,,,
la,Ailas,la,Arès,{},{},{},la,Mios,{},{},{},la,Auros-bis,{},{},{}
la,Auros-bis,la,Andernos-les-Bains,{},{},{},la,Ailas,{},{},{},la,Meylan,{},{},{}
la,Auros,la,Bordeaux,{},{},{},la,Sainte-Foy-la-Grande-bis,{},{},{},la,Brannens,{},{},{}
la,Barie,la,Yvrac,{},{},{},lo,Atur,{},{},"{('a', 'o'): 1}",,,,,
la,Brannens,lo,Bassillac,{},{},"{('a', 'o'): 1}",la,Auros,{},{},{},la,Castillon-de-Castets,{},{},{}
la,Castillon-de-Castets,la,Saint-Médard-en-Jalles,{},{},{},la,Boé,{},{},{},la,Brannens,{},{},{}
la,Coimères,la,Arès,{},{},{},la,Cudos,{},{},{},la,Lados,{},{},{}
la,Lados,la,Gans,{},{},{},la,Puybarban,{},{},{},la,Coimères,{},{},{}
la,Pondaurat,la,Blaignan,{},{},{},éro,Bescat,{'é': 1},{},"{('l', 'r'): 1, ('a', 'o'): 1}",,,,,
la,Puybarban,la,Lados,{},{},{},la,Le Bouscat,{},{},{},la,Savignac,{},{},{}
la,Savignac,la,Sigalens,{},{},{},la,Arès,{},{},{},la,Puybarban,{},{},{}
la,Sigalens,la,Caudéran,{},{},{},la,Savignac,{},{},{},la,Bayon-sur-Gironde,{},{},{}
la,Bazas-bis,la,Bazas,{},{},{},la,Andernos-les-Bains,{},{},{},la,Saint-Aubin,{},{},{}
la,Bazas,la,Cazats,{},{},{},la,Bazas-bis,{},{},{},le,Prats-de-Carlux,{},{},"{('a', 'e'): 1}"
la,Bernos-Beaulac,la,Birac,{},{},{},la,Saumos,{},{},{},la,Gajac,{},{},{}
la,Birac,la,Saint-Magne-de-Castillon,{},{},{},la,Bernos-Beaulac,{},{},{},la,Cazats,{},{},{}
la,Cazats,la,Cudos,{},{},{},la,Bazas,{},{},{},la,Birac,{},{},{}
la,Cudos,la,Coimères,{},{},{},la,Cazats,{},{},{},la,Gans,{},{},{}
la,Gajac,la,Belvès-de-Castillon,{},{},{},la,Gans,{},{},{},la,Bernos-Beaulac,{},{},{}
la,Gans,la,Gajac,{},{},{},la,Lados,{},{},{},la,Cudos,{},{},{}
la,Le Nizan,la,Prignac-et-Marcamps,{},{},{},la,Gauriac,{},{},{},la,Saint-Antoine-sur-l'Isle,{},{},{}
la,Lignan-de-Bazas,la,Audenge,{},{},{},la,Lansac,{},{},{},la,Béliet,{},{},{}
