Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
lous,Andernos-les-Bains,lous,Bazas-bis,{},{},{},lous,Auros-bis,{},{},{},lous,Audenge-bis,{},{},{}
lous,Arès,lous,Savignac,{},{},{},lous,Ailas,{},{},{},lous,Coimères,{},{},{}
lous,Audenge-bis,lous,Andernos-les-Bains,{},{},{},lous,Le Porge,{},{},{},ley,Saint-Étienne-de-Lisse,{},{'s': 1},"{('o', 'e'): 1, ('u', 'y'): 1}"
lous,Audenge,lous,Saint-Léon-sur-l'Isle,{},{},{},lous,Lignan-de-Bazas,{},{},{},lous,Belin-Béliet,{},{},{}
lous,Biganos,loû,Lussas,{},{'s': 1},"{('u', 'û'): 1}",lous,Blanquefort-bis,{},{},{},,,,,
lous,Lacanau-de-Mios,lous,Eysines,{},{},{},lous,Carbon-Blanc-bis,{},{},{},,,,,
lous,Lanton,lous,Macau,{},{},{},lous,Castelnau-de-Médoc,{},{},{},los,Saint-Loubès,{},{'u': 1},{}
lous,Lège,léïs,Pompogne,{},{},"{('o', 'é'): 1, ('u', 'ï'): 1}",lous,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
lous,Mios,lous,Ailas,{},{},{},lous,Saint-Maixant,{},{},{},,,,,
lous,Ailas,lous,Arès,{},{},{},lous,Mios,{},{},{},lous,Auros-bis,{},{},{}
lous,Auros-bis,lous,Andernos-les-Bains,{},{},{},lous,Ailas,{},{},{},lous,Meylan,{},{},{}
lous,Auros,lous,Bordeaux,{},{},{},ley,Sainte-Foy-la-Grande-bis,{},{'s': 1},"{('o', 'e'): 1, ('u', 'y'): 1}",lous,Brannens,{},{},{}
lous,Barie,louss,Yvrac,{'s': 1},{},{},lous,Atur,{},{},{},,,,,
lous,Brannens,lous,Bassillac,{},{},{},lous,Auros,{},{},{},lous,Castillon-de-Castets,{},{},{}
lous,Castillon-de-Castets,lous,Saint-Médard-en-Jalles,{},{},{},lous,Boé,{},{},{},lous,Brannens,{},{},{}
lous,Coimères,lous,Arès,{},{},{},lous,Cudos,{},{},{},lous,Lados,{},{},{}
lous,Lados,lous,Gans,{},{},{},lous,Puybarban,{},{},{},lous,Coimères,{},{},{}
lous,Pondaurat,lous,Blaignan,{},{},{},és,Bescat,{},"{'o': 1, 'u': 1}","{('l', 'é'): 1}",,,,,
lous,Puybarban,lous,Lados,{},{},{},lous,Le Bouscat,{},{},{},lous,Savignac,{},{},{}
lous,Savignac,lous,Sigalens,{},{},{},lous,Arès,{},{},{},lous,Puybarban,{},{},{}
lous,Sigalens,lous,Caudéran,{},{},{},lous,Savignac,{},{},{},leus,Bayon-sur-Gironde,{},{},"{('o', 'e'): 1}"
lous,Bazas-bis,lous,Bazas,{},{},{},lous,Andernos-les-Bains,{},{},{},lous,Saint-Aubin,{},{},{}
lous,Bazas,lous,Cazats,{},{},{},lous,Bazas-bis,{},{},{},lut,Prats-de-Carlux,{},{'o': 1},"{('s', 't'): 1}"
lous,Bernos-Beaulac,lous,Birac,{},{},{},lous,Saumos,{},{},{},lous,Gajac,{},{},{}
lous,Birac,ley,Saint-Magne-de-Castillon,{},{'s': 1},"{('o', 'e'): 1, ('u', 'y'): 1}",lous,Bernos-Beaulac,{},{},{},lous,Cazats,{},{},{}
lous,Cazats,lous,Cudos,{},{},{},lous,Bazas,{},{},{},lous,Birac,{},{},{}
lous,Cudos,lous,Coimères,{},{},{},lous,Cazats,{},{},{},lous,Gans,{},{},{}
lous,Gajac,léy,Belvès-de-Castillon,{},{'s': 1},"{('o', 'é'): 1, ('u', 'y'): 1}",lous,Gans,{},{},{},lous,Bernos-Beaulac,{},{},{}
lous,Gans,lous,Gajac,{},{},{},lous,Lados,{},{},{},lous,Cudos,{},{},{}
lous,Le Nizan,less,Prignac-et-Marcamps,{},{},"{('o', 'e'): 1, ('u', 's'): 1}",leus,Gauriac,{},{},"{('o', 'e'): 1}",lous,Saint-Antoine-sur-l'Isle,{},{},{}
lous,Lignan-de-Bazas,lous,Audenge,{},{},{},lès,Lansac,{},{'u': 1},"{('o', 'è'): 1}",lous,Béliet,{},{},{}
lous,Saint-Côme,lous,Bonnetan,{},{},{},les,Saint-Trojan,{},{'u': 1},"{('o', 'e'): 1}",lous,Béliet,{},{},{}
lous,Béliet,lous,Belin-Béliet,{},{},{},lous,Lignan-de-Bazas,{},{},{},lous,Saint-Côme,{},{},{}
lous,Belin-Béliet,leus,Cadillac-en-Fronsadais,{},{},"{('o', 'e'): 1}",lous,Audenge,{},{},{},lous,Béliet,{},{},{}
lous,Joué,lous,Le Barp,{},{},{},lous,Lansac,{},{},{},lous,Tabanac,{},{},{}
lous,Le Barp,ley,Cabara,{},{'s': 1},"{('o', 'e'): 1, ('u', 'y'): 1}",lous,Joué,{},{},{},,,,,
lous,Lugos,lous,Saint-Magne,{},{},{},lous,Salles-bis,{},{},{},,,,,
lous,Saint-Magne,lous,Salles,{},{},{},lous,Lugos,{},{},{},less,Saint-Romain-la-Virvée,{},{},"{('o', 'e'): 1, ('u', 's'): 1}"
lous,Salles-bis,lous,Lugos,{},{},{},les,Génissac,{},{'u': 1},"{('o', 'e'): 1}",és,Osse-en-Aspe,{},"{'o': 1, 'u': 1}","{('l', 'é'): 1}"
lous,Salles,lous,Saint-Sulpice-de-Mareuil,{},{},{},lous,Saint-Magne,{},{},{},ley,Saint-Quentin-de-Baron,{},{'s': 1},"{('o', 'e'): 1, ('u', 'y'): 1}"
lous,Blanquefort-bis,lous,Langoiran,{},{},{},lous,Biganos,{},{},{},lous,Blanquefort,{},{},{}
lous,Blanquefort,lous,Blanquefort-bis,{},{},{},lous,Ychoux,{},{},{},lous,La Réole,{},{},{}
lous,Caychac,lous,Omet,{},{},{},lous,Eysines,{},{},{},lous,Giscos,{},{},{}
lous,Eysines,lous,Caychac,{},{},{},lous,Lacanau-de-Mios,{},{},{},lous,Le Haillan,{},{},{}
lous,Le Haillan,lous,Le Pian-Médoc,{},{},{},lous,Bénesse-Maremne,{},{},{},lous,Eysines,{},{},{}
lous,Le Pian-Médoc,lous,Josse,{},{},{},lous,Le Haillan,{},{},{},lous,Montgaillard,{},{},{}
lous,Le Taillan-Médoc,lous,Sainte-Croix-du-Mont,{},{},{},lous,Bassens,{},{},{},léï,Landerrouat,{},{'s': 1},"{('o', 'é'): 1, ('u', 'ï'): 1}"
lous,Ludon-Médoc,léï,Agnac,{},{'s': 1},"{('o', 'é'): 1, ('u', 'ï'): 1}",lous,Macau,{},{},{},,,,,
lous,Macau,lous,Ludon-Médoc,{},{},{},lous,Lanton,{},{},{},ley,Lauzun,{},{'s': 1},"{('o', 'e'): 1, ('u', 'y'): 1}"
lous,Parempuyre,lous,Arcins,{},{},{},lous,Arsac,{},{},{},,,,,
lous,Saint-Aubin-de-Médoc,lous,Feugarolles,{},{},{},lous,Béquin,{},{},{},lous,Labarde,{},{},{}
lous,Saint-Médard-en-Jalles,lous,Margaux,{},{},{},lous,Castillon-de-Castets,{},{},{},lous,Moulis-en-Médoc-bis,{},{},{}
lous,Bègles,lous,Castelnaud-de-Gratecambe,{},{},{},lés,Lugon-et-l'Île-du-Carnay,{},{'u': 1},"{('o', 'é'): 1}",lous,Moulis-en-Médoc,{},{},{}
lous,Bordeaux,és,Camalès,{},"{'o': 1, 'u': 1}","{('l', 'é'): 1}",lous,Auros,{},{},{},loue,Ansost,{},{},"{('s', 'e'): 1}"
lous,Bruges,lous,Bégadan,{},{},{},lous,Caudéran,{},{},{},lous,Ribarrouy,{},{},{}
lous,Caudéran,lous,Bruges,{},{},{},lous,Sigalens,{},{},{},leus,Bayon-sur-Gironde,{},{},"{('o', 'e'): 1}"
lous,Chartrons,ley,Sainte-Colombe,{},{'s': 1},"{('o', 'e'): 1, ('u', 'y'): 1}",lous,Mont-Disse,{},{},{},lous,Salaunes,{},{},{}
lous,Le Bouscat,lous,Puybarban,{},{},{},ley,Castillon-la-Bataille-bis,{},{'s': 1},"{('o', 'e'): 1, ('u', 'y'): 1}",leus,Bayon-sur-Gironde,{},{},"{('o', 'e'): 1}"
leus,Bayon-sur-Gironde,lous,Caudéran,{},{},"{('e', 'o'): 1}",lous,Sigalens,{},{},"{('e', 'o'): 1}",lous,Le Bouscat,{},{},"{('e', 'o'): 1}"
les,Bourg-bis,lous,Castres-Gironde,{'o': 1},{},"{('e', 'u'): 1}",leys,Castillon-la-Bataille,{'y': 1},{},{},lous,Bahus-Soubiran,{'o': 1},{},"{('e', 'u'): 1}"
lous,Bourg,ls,Comps,{},"{'o': 1, 'u': 1}",{},lous,Rivière-Saas-et-Gourby,{},{},{},leys,Baron,{},{},"{('o', 'e'): 1, ('u', 'y'): 1}"
ls,Comps,leus,Gauriac,"{'e': 1, 'u': 1}",{},{},lous,Os-Marsillon,"{'o': 1, 'u': 1}",{},{},lous,Bourg,"{'o': 1, 'u': 1}",{},{}
leus,Gauriac,lous,Le Nizan,{},{},"{('e', 'o'): 1}",ls,Comps,{},"{'e': 1, 'u': 1}",{},lous,Baurech,{},{},"{('e', 'o'): 1}"
lès,Lansac,lous,Lignan-de-Bazas,{'o': 1},{},"{('è', 'u'): 1}",lès,Marcamps,{},{},{},lous,Saint-Loubouer,{'o': 1},{},"{('è', 'u'): 1}"
lès,Marcamps,less,Prignac-et-Marcamps,{'e': 1},{},"{('è', 's'): 1}",lès,Lansac,{},{},{},,,,,
less,Prignac-et-Marcamps,lès,Marcamps,{},{'s': 1},"{('e', 'è'): 1}",lous,Le Nizan,{},{},"{('e', 'o'): 1, ('s', 'u'): 1}",lous,Renung,{},{},"{('e', 'o'): 1, ('s', 'u'): 1}"
lès,Saint-Seurin-de-Bourg,lous,Saint-Pandelon,{'o': 1},{},"{('è', 'u'): 1}",lès,Samonac,{},{},{},leys,Baron,{'e': 1},{},"{('è', 'y'): 1}"
les,Saint-Trojan,lous,Saint-Côme,{'o': 1},{},"{('e', 'u'): 1}",lé,Tauriac,{},{'s': 1},"{('e', 'é'): 1}",lès,Samonac,{},{},"{('e', 'è'): 1}"
lès,Samonac,lès,Saint-Seurin-de-Bourg,{},{},{},lés,Fronsac,{},{},"{('è', 'é'): 1}",les,Saint-Trojan,{},{},"{('è', 'e'): 1}"
lé,Tauriac,les,Saint-Trojan,{'e': 1},{},"{('é', 's'): 1}",les,Camarsac,{'e': 1},{},"{('é', 's'): 1}",leys,Baron,"{'e': 1, 'y': 1}",{},"{('é', 's'): 1}"
leys,Baron,lous,Bourg,{},{},"{('e', 'o'): 1, ('y', 'u'): 1}",lès,Saint-Seurin-de-Bourg,{},{'y': 1},"{('e', 'è'): 1}",lé,Tauriac,{},"{'y': 1, 's': 1}","{('e', 'é'): 1}"
ley,Branne-bis,lous,Saint-Lon-les-Mines,{'o': 1},{},"{('e', 'u'): 1, ('y', 's'): 1}",lous,Bonnegarde,{'o': 1},{},"{('e', 'u'): 1, ('y', 's'): 1}",lous,Camblanes-et-Meynac,{'o': 1},{},"{('e', 'u'): 1, ('y', 's'): 1}"
ley,Branne,lous,Hure,{'o': 1},{},"{('e', 'u'): 1, ('y', 's'): 1}",les,Gironde-sur-Dropt-bis,{},{},"{('y', 's'): 1}",lous,Carignan-de-Bordeaux,{'o': 1},{},"{('e', 'u'): 1, ('y', 's'): 1}"
ley,Cabara-bis,lous,Le Tourne,{'o': 1},{},"{('e', 'u'): 1, ('y', 's'): 1}",lous,Linxe,{'o': 1},{},"{('e', 'u'): 1, ('y', 's'): 1}",lous,Dax-Saint-Vincent,{'o': 1},{},"{('e', 'u'): 1, ('y', 's'): 1}"
ley,Cabara,les,Saillans,{},{},"{('y', 's'): 1}",lous,Le Barp,{'o': 1},{},"{('e', 'u'): 1, ('y', 's'): 1}",lous,Pujols,{'o': 1},{},"{('e', 'u'): 1, ('y', 's'): 1}"
ley,Daignac,les,Génissac,{},{},"{('y', 's'): 1}",éz,Aramits,{},{'y': 1},"{('l', 'é'): 1, ('e', 'z'): 1}",,,,,
les,Génissac,lous,Salles-bis,{'o': 1},{},"{('e', 'u'): 1}",ley,Daignac,{},{},"{('s', 'y'): 1}",lous,Losse,{'o': 1},{},"{('e', 'u'): 1}"
léi,Grézillac,loû,Douville,{},{},"{('é', 'o'): 1, ('i', 'û'): 1}",lous,Pardies,{'o': 1},{},"{('é', 'u'): 1, ('i', 's'): 1}",leï,Jugazan,{},{},"{('é', 'e'): 1, ('i', 'ï'): 1}"
