Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
énta,Andernos-les-Bains,ta,Bazas-bis,{},"{'é': 1, 'n': 1}",{},ènta,Auros-bis,{},{},"{('é', 'è'): 1}",énta,Audenge-bis,{},{},{}
énta,Arès,énta,Savignac,{},{},{},énté,Ailas,{},{},"{('a', 'é'): 1}",ta,Coimères,{},"{'é': 1, 'n': 1}",{}
énta,Audenge-bis,énta,Andernos-les-Bains,{},{},{},eunta,Le Porge,{'e': 1},{},"{('é', 'u'): 1}",énta,Saint-Étienne-de-Lisse,{},{},{}
énta,Audenge,eunta,Lignan-de-Bazas,{'e': 1},{},"{('é', 'u'): 1}",eun̈ta,Belin-Béliet,"{'e': 1, '̈': 1}",{},"{('é', 'u'): 1}",,,,,
énté,Biganos,éndé,Blanquefort-bis,{},{},"{('t', 'd'): 1}",,,,,,,,,,
énta,Lacanau-de-Mios,éndé,Eysines,{},{},"{('t', 'd'): 1, ('a', 'é'): 1}",eunnta,Carbon-Blanc-bis,"{'e': 1, 'u': 1}",{},"{('é', 'n'): 1}",,,,,
énté,Lanton,éndé,Macau,{},{},"{('t', 'd'): 1}",enta,Castelnau-de-Médoc,{},{},"{('é', 'e'): 1, ('é', 'a'): 1}",énta,Saint-Loubès,{},{},"{('é', 'a'): 1}"
enta,Lège,én,Pompogne,{},"{'t': 1, 'a': 1}","{('e', 'é'): 1}",eunta,Saint-Sulpice-et-Cameyrac,{'u': 1},{},{},,,,,
énta,Mios,énté,Ailas,{},{},"{('a', 'é'): 1}",ta,Saint-Maixant,{},"{'é': 1, 'n': 1}",{},,,,,
énté,Ailas,énta,Arès,{},{},"{('é', 'a'): 1}",énta,Mios,{},{},"{('é', 'a'): 1}",ènta,Auros-bis,{},{},"{('é', 'è'): 1, ('é', 'a'): 1}"
ènta,Auros-bis,énta,Andernos-les-Bains,{},{},"{('è', 'é'): 1}",énté,Ailas,{},{},"{('è', 'é'): 1, ('a', 'é'): 1}",én,Meylan,{},"{'t': 1, 'a': 1}","{('è', 'é'): 1}"
enta,Auros,enda,Bordeaux,{},{},"{('t', 'd'): 1}",énta,Sainte-Foy-la-Grande-bis,{},{},"{('e', 'é'): 1}",énta,Brannens,{},{},"{('e', 'é'): 1}"
ta,Barie,enta,Yvrac,"{'e': 1, 'n': 1}",{},{},,,,,,,,,,
énta,Brannens,enta,Auros,{},{},"{('é', 'e'): 1}",énta,Castillon-de-Castets,{},{},{},,,,,
énta,Castillon-de-Castets,énda,Saint-Médard-en-Jalles,{},{},"{('t', 'd'): 1}",én,Boé,{},"{'t': 1, 'a': 1}",{},énta,Brannens,{},{},{}
ta,Coimères,énta,Arès,"{'é': 1, 'n': 1}",{},{},ta,Cudos,{},{},{},énta,Lados,"{'é': 1, 'n': 1}",{},{}
énta,Lados,eunta,Gans,{'e': 1},{},"{('é', 'u'): 1}",enta,Puybarban,{},{},"{('é', 'e'): 1}",ta,Coimères,{},"{'é': 1, 'n': 1}",{}
eunta,Pondaurat,énta,Blaignan,{},{'u': 1},"{('e', 'é'): 1}",énta,Bescat,{},{'u': 1},"{('e', 'é'): 1}",,,,,
enta,Puybarban,énta,Lados,{},{},"{('e', 'é'): 1}",endaï,Le Bouscat,{'ï': 1},{},"{('t', 'd'): 1}",énta,Savignac,{},{},"{('e', 'é'): 1}"
énta,Savignac,ta,Sigalens,{},"{'é': 1, 'n': 1}",{},énta,Arès,{},{},{},enta,Puybarban,{},{},"{('é', 'e'): 1}"
ta,Sigalens,énta,Caudéran,"{'é': 1, 'n': 1}",{},{},énta,Savignac,"{'é': 1, 'n': 1}",{},{},énta,Bayon-sur-Gironde,"{'é': 1, 'n': 1}",{},{}
ta,Bazas-bis,enta,Bazas,"{'e': 1, 'n': 1}",{},{},énta,Andernos-les-Bains,"{'é': 1, 'n': 1}",{},{},ta,Saint-Aubin,{},{},{}
enta,Bazas,enta,Cazats,{},{},{},ta,Bazas-bis,{},"{'e': 1, 'n': 1}",{},,,,,
ta,Bernos-Beaulac,enta,Birac,"{'e': 1, 'n': 1}",{},{},énta,Saumos,"{'é': 1, 'n': 1}",{},{},énta,Gajac,"{'é': 1, 'n': 1}",{},{}
enta,Birac,eunta,Saint-Magne-de-Castillon,{'u': 1},{},{},ta,Bernos-Beaulac,{},"{'e': 1, 'n': 1}",{},enta,Cazats,{},{},{}
enta,Cazats,ta,Cudos,{},"{'e': 1, 'n': 1}",{},enta,Bazas,{},{},{},enta,Birac,{},{},{}
ta,Cudos,ta,Coimères,{},{},{},enta,Cazats,"{'e': 1, 'n': 1}",{},{},eunta,Gans,"{'e': 1, 'u': 1, 'n': 1}",{},{}
énta,Gajac,enta,Belvès-de-Castillon,{},{},"{('é', 'e'): 1}",eunta,Gans,{'e': 1},{},"{('é', 'u'): 1}",ta,Bernos-Beaulac,{},"{'é': 1, 'n': 1}",{}
eunta,Gans,énta,Gajac,{},{'u': 1},"{('e', 'é'): 1}",énta,Lados,{},{'u': 1},"{('e', 'é'): 1}",ta,Cudos,{},"{'e': 1, 'u': 1, 'n': 1}",{}
eunta,Le Nizan,énta,Prignac-et-Marcamps,{},{'u': 1},"{('e', 'é'): 1}",éntay,Gauriac,{'y': 1},{'u': 1},"{('e', 'é'): 1}",énta,Saint-Antoine-sur-l'Isle,{},{'u': 1},"{('e', 'é'): 1}"
eunta,Lignan-de-Bazas,énta,Audenge,{},{'u': 1},"{('e', 'é'): 1}",énté,Lansac,{},{'u': 1},"{('e', 'é'): 1, ('a', 'é'): 1}",ënta,Béliet,{},{'u': 1},"{('e', 'ë'): 1}"
enta,Saint-Côme,énta,Bonnetan,{},{},"{('e', 'é'): 1}",enté,Saint-Trojan,{},{},"{('a', 'é'): 1}",ënta,Béliet,{},{},"{('e', 'ë'): 1}"
ënta,Béliet,eun̈ta,Belin-Béliet,"{'e': 1, '̈': 1}",{},"{('ë', 'u'): 1}",eunta,Lignan-de-Bazas,{'e': 1},{},"{('ë', 'u'): 1}",enta,Saint-Côme,{},{},"{('ë', 'e'): 1}"
eun̈ta,Belin-Béliet,enta,Cadillac-en-Fronsadais,{},"{'u': 1, '̈': 1}",{},énta,Audenge,{},"{'u': 1, '̈': 1}","{('e', 'é'): 1}",ënta,Béliet,{},"{'u': 1, '̈': 1}","{('e', 'ë'): 1}"
enta,Joué,enta,Le Barp,{},{},{},enta,Tabanac,{},{},{},,,,,
enta,Le Barp,énta,Cabara,{},{},"{('e', 'é'): 1}",enta,Joué,{},{},{},,,,,
eunta,Lugos,enta,Saint-Magne,{},{'u': 1},{},én̈ta,Salles-bis,{},{},"{('e', 'é'): 1, ('u', 'n'): 1, ('n', '̈'): 1}",,,,,
