Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
éntas,Andernos-les-Bains,tas,Bazas-bis,{},"{'é': 1, 'n': 1}",{},éntas,Auros-bis,{},{},{},éntés,Audenge-bis,{},{},"{('a', 'é'): 1}"
éntas,Arès,tas,Savignac,{},"{'é': 1, 'n': 1}",{},éntés,Ailas,{},{},"{('a', 'é'): 1}",tas,Coimères,{},"{'é': 1, 'n': 1}",{}
éntés,Audenge-bis,éntas,Andernos-les-Bains,{},{},"{('é', 'a'): 1}",euntà,Le Porge,{'e': 1},{'s': 1},"{('é', 'u'): 1, ('é', 'à'): 1}",entas,Saint-Étienne-de-Lisse,{},{},"{('é', 'e'): 1, ('é', 'a'): 1}"
éntas,Audenge,eunta,Lignan-de-Bazas,{'e': 1},{'s': 1},"{('é', 'u'): 1}",eun̈tas,Belin-Béliet,"{'e': 1, '̈': 1}",{},"{('é', 'u'): 1}",,,,,
éntés,Biganos,éndés,Blanquefort-bis,{},{},"{('t', 'd'): 1}",,,,,,,,,,
énta,Lacanau-de-Mios,ëndès,Eysines,{'d': 1},{},"{('é', 'ë'): 1, ('t', 'è'): 1, ('a', 's'): 1}",éndés,Carbon-Blanc-bis,{'d': 1},{},"{('t', 'é'): 1, ('a', 's'): 1}",,,,,
éntéss,Lanton,éntas,Macau,{},{'s': 1},"{('é', 'a'): 1}",entas,Castelnau-de-Médoc,{},{'s': 1},"{('é', 'e'): 1, ('é', 'a'): 1}",éntas,Saint-Loubès,{},{'s': 1},"{('é', 'a'): 1}"
éntas,Lège,én dé,Pompogne,{},{},"{('t', ' '): 1, ('a', 'd'): 1, ('s', 'é'): 1}",entas,Saint-Sulpice-et-Cameyrac,{},{},"{('é', 'e'): 1}",,,,,
énta,Mios,éntés,Ailas,{'é': 1},{},"{('a', 's'): 1}",tas,Saint-Maixant,{'s': 1},"{'é': 1, 'n': 1}",{},,,,,
éntés,Ailas,éntas,Arès,{},{},"{('é', 'a'): 1}",énta,Mios,{},{'s': 1},"{('é', 'a'): 1}",éntas,Auros-bis,{},{},"{('é', 'a'): 1}"
