Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
leyt,Andernos-les-Bains,leyt,Bazas-bis,{},{},{},leyt,Auros-bis,{},{},{},léït,Audenge-bis,{},{},"{('e', 'é'): 1, ('y', 'ï'): 1}"
leït,Arès,lit,Savignac,{},{'ï': 1},"{('e', 'i'): 1}",lit,Ailas,{},{'ï': 1},"{('e', 'i'): 1}",leyt,Coimères,{},{},"{('ï', 'y'): 1}"
léït,Audenge-bis,leyt,Andernos-les-Bains,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}",léit,Le Porge,{},{},"{('ï', 'i'): 1}",leyt,Saint-Étienne-de-Lisse,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}"
leyt,Audenge,liè,Saint-Léon-sur-l'Isle,{},{'t': 1},"{('e', 'i'): 1, ('y', 'è'): 1}",leyt,Lignan-de-Bazas,{},{},{},leuit,Belin-Béliet,{'u': 1},{},"{('y', 'i'): 1}"
léÿt,Biganos,lié,Lussas,{'i': 1},"{'ÿ': 1, 't': 1}",{},leyt,Blanquefort-bis,{},{},"{('é', 'e'): 1, ('ÿ', 'y'): 1}",,,,,
léyt,Lacanau-de-Mios,lêït,Eysines,{},{},"{('é', 'ê'): 1, ('y', 'ï'): 1}",ley,Carbon-Blanc-bis,{},{'t': 1},"{('é', 'e'): 1}",,,,,
léït,Lanton,leyt,Macau,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}",leyt,Castelnau-de-Médoc,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}",leyt,Saint-Loubès,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}"
lèyt,Lège,lèït,Pompogne,{},{},"{('y', 'ï'): 1}",leyt,Saint-Sulpice-et-Cameyrac,{},{},"{('è', 'e'): 1}",,,,,
léït,Mios,lit,Ailas,{},{'ï': 1},"{('é', 'i'): 1}",lit,Saint-Maixant,{},{'ï': 1},"{('é', 'i'): 1}",,,,,
lit,Ailas,leït,Arès,{'e': 1},{},"{('i', 'ï'): 1}",léït,Mios,{'é': 1},{},"{('i', 'ï'): 1}",leyt,Auros-bis,{'e': 1},{},"{('i', 'y'): 1}"
leyt,Auros-bis,leyt,Andernos-les-Bains,{},{},{},lit,Ailas,{},{'y': 1},"{('e', 'i'): 1}",ley,Meylan,{},{'t': 1},{}
leyt,Auros,leyt,Bordeaux,{},{},{},llié,Sainte-Foy-la-Grande-bis,{},{},"{('e', 'l'): 1, ('y', 'i'): 1, ('t', 'é'): 1}",leyt,Brannens,{},{},{}
lit,Barie,leyte,Yvrac,{'e': 2},{},"{('i', 'y'): 1}",liè,Atur,{},{},"{('t', 'è'): 1}",,,,,
leyt,Brannens,lié,Bassillac,{},{'t': 1},"{('e', 'i'): 1, ('y', 'é'): 1}",leyt,Auros,{},{},{},lit,Castillon-de-Castets,{},{'y': 1},"{('e', 'i'): 1}"
lit,Castillon-de-Castets,lèyt,Saint-Médard-en-Jalles,{'è': 1},{},"{('i', 'y'): 1}",illey,Boé,"{'i': 1, 'l': 1}",{},"{('i', 'e'): 1, ('t', 'y'): 1}",leyt,Brannens,{'e': 1},{},"{('i', 'y'): 1}"
leyt,Coimères,leït,Arès,{},{},"{('y', 'ï'): 1}",lèyt,Cudos,{},{},"{('e', 'è'): 1}",lèït,Lados,{},{},"{('e', 'è'): 1, ('y', 'ï'): 1}"
lèït,Lados,leyt,Gans,{},{},"{('è', 'e'): 1, ('ï', 'y'): 1}",lit,Puybarban,{},{'ï': 1},"{('è', 'i'): 1}",leyt,Coimères,{},{},"{('è', 'e'): 1, ('ï', 'y'): 1}"
