Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
mais,Andernos-les-Bains,mais,Bazas-bis,{},{},{},mé,Auros-bis,{},"{'i': 1, 's': 1}","{('a', 'é'): 1}",mé,Audenge-bis,{},"{'i': 1, 's': 1}","{('a', 'é'): 1}"
mais,Arès,mais,Savignac,{},{},{},mais,Ailas,{},{},{},mais,Coimères,{},{},{}
mé,Audenge-bis,mais,Andernos-les-Bains,"{'a': 1, 'i': 1}",{},"{('é', 's'): 1}",mais,Le Porge,"{'a': 1, 'i': 1}",{},"{('é', 's'): 1}",mé,Saint-Étienne-de-Lisse,{},{},{}
mais,Audenge,mâ,Saint-Léon-sur-l'Isle,{},"{'i': 1, 's': 1}","{('a', 'â'): 1}",mais,Lignan-de-Bazas,{},{},{},mais,Belin-Béliet,{},{},{}
mais,Biganos,ma,Lussas,{},"{'i': 1, 's': 1}",{},mé,Blanquefort-bis,{},"{'i': 1, 's': 1}","{('a', 'é'): 1}",,,,,
mé,Lacanau-de-Mios,mais,Eysines,"{'a': 1, 'i': 1}",{},"{('é', 's'): 1}",mé,Carbon-Blanc-bis,{},{},{},,,,,
mais,Lanton,mais,Macau,{},{},{},mé,Castelnau-de-Médoc,{},"{'i': 1, 's': 1}","{('a', 'é'): 1}",mé,Saint-Loubès,{},"{'i': 1, 's': 1}","{('a', 'é'): 1}"
mè,Lège,mais,Pompogne,"{'a': 1, 'i': 1}",{},"{('è', 's'): 1}",mé,Saint-Sulpice-et-Cameyrac,{},{},"{('è', 'é'): 1}",,,,,
mé,Mios,mais,Ailas,"{'a': 1, 'i': 1}",{},"{('é', 's'): 1}",mè,Saint-Maixant,{},{},"{('é', 'è'): 1}",,,,,
mais,Ailas,mais,Arès,{},{},{},mé,Mios,{},"{'i': 1, 's': 1}","{('a', 'é'): 1}",mé,Auros-bis,{},"{'i': 1, 's': 1}","{('a', 'é'): 1}"
mé,Auros-bis,mais,Andernos-les-Bains,"{'a': 1, 'i': 1}",{},"{('é', 's'): 1}",mais,Ailas,"{'a': 1, 'i': 1}",{},"{('é', 's'): 1}",mè,Meylan,{},{},"{('é', 'è'): 1}"
mé,Auros,mais,Bordeaux,"{'a': 1, 'i': 1}",{},"{('é', 's'): 1}",mé,Sainte-Foy-la-Grande-bis,{},{},{},mè,Brannens,{},{},"{('é', 'è'): 1}"
mais,Barie,mais,Yvrac,{},{},{},ma,Atur,{},"{'i': 1, 's': 1}",{},,,,,
mè,Brannens,ma,Bassillac,{},{},"{('è', 'a'): 1}",mé,Auros,{},{},"{('è', 'é'): 1}",mé,Castillon-de-Castets,{},{},"{('è', 'é'): 1}"
mé,Castillon-de-Castets,mais,Saint-Médard-en-Jalles,"{'a': 1, 'i': 1}",{},"{('é', 's'): 1}",mèi,Boé,{'è': 1},{},"{('é', 'i'): 1}",mè,Brannens,{},{},"{('é', 'è'): 1}"
mais,Coimères,mais,Arès,{},{},{},mé,Cudos,{},"{'i': 1, 's': 1}","{('a', 'é'): 1}",mè,Lados,{},"{'i': 1, 's': 1}","{('a', 'è'): 1}"
mè,Lados,mè,Gans,{},{},{},mè,Puybarban,{},{},{},mais,Coimères,"{'a': 1, 'i': 1}",{},"{('è', 's'): 1}"
mais,Pondaurat,mais,Blaignan,{},{},{},més,Bescat,{},{'i': 1},"{('a', 'é'): 1}",,,,,
mè,Puybarban,mè,Lados,{},{},{},mais,Le Bouscat,"{'a': 1, 'i': 1}",{},"{('è', 's'): 1}",mais,Savignac,"{'a': 1, 'i': 1}",{},"{('è', 's'): 1}"
mais,Savignac,mais,Sigalens,{},{},{},mais,Arès,{},{},{},mè,Puybarban,{},"{'i': 1, 's': 1}","{('a', 'è'): 1}"
mais,Sigalens,mais,Caudéran,{},{},{},mais,Savignac,{},{},{},mais,Bayon-sur-Gironde,{},{},{}
mais,Bazas-bis,mais,Bazas,{},{},{},mais,Andernos-les-Bains,{},{},{},mè,Saint-Aubin,{},"{'i': 1, 's': 1}","{('a', 'è'): 1}"
mais,Bazas,mais,Cazats,{},{},{},mais,Bazas-bis,{},{},{},mais,Prats-de-Carlux,{},{},{}
mè,Bernos-Beaulac,mè,Birac,{},{},{},mais,Saumos,"{'a': 1, 'i': 1}",{},"{('è', 's'): 1}",mais,Gajac,"{'a': 1, 'i': 1}",{},"{('è', 's'): 1}"
mè,Birac,mé,Saint-Magne-de-Castillon,{},{},"{('è', 'é'): 1}",mè,Bernos-Beaulac,{},{},{},mais,Cazats,"{'a': 1, 'i': 1}",{},"{('è', 's'): 1}"
