Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
mey,Andernos-les-Bains,mèy,Bazas-bis,{},{},"{('e', 'è'): 1}",mey,Auros-bis,{},{},{},meÿ,Audenge-bis,{},{},"{('y', 'ÿ'): 1}"
mey,Arès,méy,Savignac,{},{},"{('e', 'é'): 1}",méï,Ailas,{},{},"{('e', 'é'): 1, ('y', 'ï'): 1}",mèy,Coimères,{},{},"{('e', 'è'): 1}"
meÿ,Audenge-bis,mey,Andernos-les-Bains,{},{},"{('ÿ', 'y'): 1}",mey,Le Porge,{},{},"{('ÿ', 'y'): 1}",mey,Saint-Étienne-de-Lisse,{},{},"{('ÿ', 'y'): 1}"
mey,Audenge,més,Saint-Léon-sur-l'Isle,{},{},"{('e', 'é'): 1, ('y', 's'): 1}",mey,Lignan-de-Bazas,{},{},{},mey,Belin-Béliet,{},{},{}
méy,Biganos,mey,Blanquefort-bis,{},{},"{('é', 'e'): 1}",,,,,,,,,,
mèy,Lacanau-de-Mios,mey,Eysines,{},{},"{('è', 'e'): 1}",mey,Carbon-Blanc-bis,{},{},"{('è', 'e'): 1}",,,,,
méï,Lanton,mey,Macau,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}",mey,Castelnau-de-Médoc,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}",mey,Saint-Loubès,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}"
mèy,Lège,méy,Pompogne,{},{},"{('è', 'é'): 1}",mey,Saint-Sulpice-et-Cameyrac,{},{},"{('è', 'e'): 1}",,,,,
méï,Mios,méï,Ailas,{},{},{},mey,Saint-Maixant,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}",,,,,
méï,Ailas,mey,Arès,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}",méï,Mios,{},{},{},mey,Auros-bis,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}"
mey,Auros-bis,mey,Andernos-les-Bains,{},{},{},méï,Ailas,{},{},"{('e', 'é'): 1, ('y', 'ï'): 1}",més,Meylan,{},{},"{('e', 'é'): 1, ('y', 's'): 1}"
mey,Auros,mey,Bordeaux,{},{},{},mé,Sainte-Foy-la-Grande-bis,{},{'y': 1},"{('e', 'é'): 1}",mey,Brannens,{},{},{}
mey,Barie,mey,Yvrac,{},{},{},més,Atur,{},{},"{('e', 'é'): 1, ('y', 's'): 1}",,,,,
mey,Brannens,més,Bassillac,{},{},"{('e', 'é'): 1, ('y', 's'): 1}",mey,Auros,{},{},{},mèï,Castillon-de-Castets,{},{},"{('e', 'è'): 1, ('y', 'ï'): 1}"
mèï,Castillon-de-Castets,mèi,Saint-Médard-en-Jalles,{},{},"{('ï', 'i'): 1}",méy,Boé,{},{},"{('è', 'é'): 1, ('ï', 'y'): 1}",mey,Brannens,{},{},"{('è', 'e'): 1, ('ï', 'y'): 1}"
mèy,Coimères,mey,Arès,{},{},"{('è', 'e'): 1}",mey,Cudos,{},{},"{('è', 'e'): 1}",mey,Lados,{},{},"{('è', 'e'): 1}"
mey,Lados,méï,Gans,{},{},"{('e', 'é'): 1, ('y', 'ï'): 1}",mey,Puybarban,{},{},{},mèy,Coimères,{},{},"{('e', 'è'): 1}"
mèy,Pondaurat,mey,Blaignan,{},{},"{('è', 'e'): 1}",mèy,Bescat,{},{},{},,,,,
mey,Puybarban,mey,Lados,{},{},{},mèï,Le Bouscat,{},{},"{('e', 'è'): 1, ('y', 'ï'): 1}",méy,Savignac,{},{},"{('e', 'é'): 1}"
méy,Savignac,mèy,Sigalens,{},{},"{('é', 'è'): 1}",mey,Arès,{},{},"{('é', 'e'): 1}",mey,Puybarban,{},{},"{('é', 'e'): 1}"
mèy,Sigalens,may,Caudéran,{},{},"{('è', 'a'): 1}",méy,Savignac,{},{},"{('è', 'é'): 1}",mey,Bayon-sur-Gironde,{},{},"{('è', 'e'): 1}"
mèy,Bazas-bis,méy,Bazas,{},{},"{('è', 'é'): 1}",mey,Andernos-les-Bains,{},{},"{('è', 'e'): 1}",méy,Saint-Aubin,{},{},"{('è', 'é'): 1}"
méy,Bazas,mey,Cazats,{},{},"{('é', 'e'): 1}",mèy,Bazas-bis,{},{},"{('é', 'è'): 1}",més,Prats-de-Carlux,{},{},"{('y', 's'): 1}"
mey,Bernos-Beaulac,mey,Birac,{},{},{},mey,Saumos,{},{},{},mey,Gajac,{},{},{}
mey,Birac,may,Saint-Magne-de-Castillon,{},{},"{('e', 'a'): 1}",mey,Bernos-Beaulac,{},{},{},mey,Cazats,{},{},{}
mey,Cazats,mey,Cudos,{},{},{},méy,Bazas,{},{},"{('e', 'é'): 1}",mey,Birac,{},{},{}
mey,Cudos,mèy,Coimères,{},{},"{('e', 'è'): 1}",mey,Cazats,{},{},{},méï,Gans,{},{},"{('e', 'é'): 1, ('y', 'ï'): 1}"
mey,Gajac,mey,Belvès-de-Castillon,{},{},{},méï,Gans,{},{},"{('e', 'é'): 1, ('y', 'ï'): 1}",mey,Bernos-Beaulac,{},{},{}
méï,Gans,mey,Gajac,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}",mey,Lados,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}",mey,Cudos,{},{},"{('é', 'e'): 1, ('ï', 'y'): 1}"
mey,Le Nizan,mey,Prignac-et-Marcamps,{},{},{},méï,Gauriac,{},{},"{('e', 'é'): 1, ('y', 'ï'): 1}",mey,Saint-Antoine-sur-l'Isle,{},{},{}
mey,Lignan-de-Bazas,mey,Audenge,{},{},{},mey,Lansac,{},{},{},mey,Béliet,{},{},{}
mey,Saint-Côme,mey,Bonnetan,{},{},{},mèye,Saint-Trojan,{'e': 1},{},"{('e', 'è'): 1}",mey,Béliet,{},{},{}
mey,Béliet,mey,Belin-Béliet,{},{},{},mey,Lignan-de-Bazas,{},{},{},mey,Saint-Côme,{},{},{}
mey,Belin-Béliet,mey,Cadillac-en-Fronsadais,{},{},{},mey,Audenge,{},{},{},mey,Béliet,{},{},{}
méi,Joué,mey,Le Barp,{},{},"{('é', 'e'): 1, ('i', 'y'): 1}",mey,Tabanac,{},{},"{('é', 'e'): 1, ('i', 'y'): 1}",,,,,
mey,Le Barp,mey,Cabara,{},{},{},méi,Joué,{},{},"{('e', 'é'): 1, ('y', 'i'): 1}",,,,,
mey,Lugos,mey,Saint-Magne,{},{},{},mêï,Salles-bis,{},{},"{('e', 'ê'): 1, ('y', 'ï'): 1}",,,,,
mey,Saint-Magne,mey,Salles,{},{},{},mey,Lugos,{},{},{},mey,Saint-Romain-la-Virvée,{},{},{}
mêï,Salles-bis,mey,Lugos,{},{},"{('ê', 'e'): 1, ('ï', 'y'): 1}",mey,Génissac,{},{},"{('ê', 'e'): 1, ('ï', 'y'): 1}",més,Osse-en-Aspe,{},{},"{('ê', 'é'): 1, ('ï', 's'): 1}"
mey,Salles,mey,Saint-Magne,{},{},{},mèy,Saint-Quentin-de-Baron,{},{},"{('e', 'è'): 1}",,,,,
mey,Blanquefort-bis,mey,Langoiran,{},{},{},méy,Biganos,{},{},"{('e', 'é'): 1}",mey,Blanquefort,{},{},{}
mey,Blanquefort,mey,Blanquefort-bis,{},{},{},méy,Ychoux,{},{},"{('e', 'é'): 1}",méy,La Réole,{},{},"{('e', 'é'): 1}"
mey,Caychac,mey,Omet,{},{},{},mey,Eysines,{},{},{},mey,Giscos,{},{},{}
mey,Eysines,mey,Caychac,{},{},{},mèy,Lacanau-de-Mios,{},{},"{('e', 'è'): 1}",mey,Le Haillan,{},{},{}
mey,Le Haillan,mèy,Le Pian-Médoc,{},{},"{('e', 'è'): 1}",mèy,Bénesse-Maremne,{},{},"{('e', 'è'): 1}",mey,Eysines,{},{},{}
mèy,Le Pian-Médoc,meè,Josse,{'e': 1},{'y': 1},{},mey,Le Haillan,{},{},"{('è', 'e'): 1}",mèï,Montgaillard,{},{},"{('y', 'ï'): 1}"
meï,Le Taillan-Médoc,mey,Sainte-Croix-du-Mont,{},{},"{('ï', 'y'): 1}",mey,Bassens,{},{},"{('ï', 'y'): 1}",mey,Landerrouat,{},{},"{('ï', 'y'): 1}"
mey,Ludon-Médoc,mey,Agnac,{},{},{},mey,Macau,{},{},{},,,,,
mey,Macau,mey,Ludon-Médoc,{},{},{},méï,Lanton,{},{},"{('e', 'é'): 1, ('y', 'ï'): 1}",méii,Lauzun,{'é': 1},{},"{('e', 'i'): 1, ('y', 'i'): 1}"
mey,Parempuyre,mey,Arcins,{},{},{},mey,Arsac,{},{},{},,,,,
mey,Saint-Aubin-de-Médoc,méï,Feugarolles,{},{},"{('e', 'é'): 1, ('y', 'ï'): 1}",mey,Béquin,{},{},{},mey,Labarde,{},{},{}
mèi,Saint-Médard-en-Jalles,méy,Margaux,{},{},"{('è', 'é'): 1, ('i', 'y'): 1}",mèï,Castillon-de-Castets,{},{},"{('i', 'ï'): 1}",mey,Moulis-en-Médoc-bis,{},{},"{('è', 'e'): 1, ('i', 'y'): 1}"
maï,Bègles,méy,Castelnaud-de-Gratecambe,{},{},"{('a', 'é'): 1, ('ï', 'y'): 1}",mey,Lugon-et-l'Île-du-Carnay,{},{},"{('a', 'e'): 1, ('ï', 'y'): 1}",mey,Moulis-en-Médoc,{},{},"{('a', 'e'): 1, ('ï', 'y'): 1}"
mey,Bordeaux,mey,Auros,{},{},{},,,,,,,,,,
mey,Bruges,meï,Bégadan,{},{},"{('y', 'ï'): 1}",may,Caudéran,{},{},"{('e', 'a'): 1}",més,Ribarrouy,{},{},"{('e', 'é'): 1, ('y', 's'): 1}"
may,Caudéran,mey,Bruges,{},{},"{('a', 'e'): 1}",mèy,Sigalens,{},{},"{('a', 'è'): 1}",mey,Bayon-sur-Gironde,{},{},"{('a', 'e'): 1}"
méi,Chartrons,méy,Sainte-Colombe,{},{},"{('i', 'y'): 1}",mès,Mont-Disse,{},{},"{('é', 'è'): 1, ('i', 's'): 1}",mey,Salaunes,{},{},"{('é', 'e'): 1, ('i', 'y'): 1}"
mèï,Le Bouscat,mey,Puybarban,{},{},"{('è', 'e'): 1, ('ï', 'y'): 1}",mèÿ,Castillon-la-Bataille-bis,{},{},"{('ï', 'ÿ'): 1}",mey,Bayon-sur-Gironde,{},{},"{('è', 'e'): 1, ('ï', 'y'): 1}"
mey,Bayon-sur-Gironde,may,Caudéran,{},{},"{('e', 'a'): 1}",mèy,Sigalens,{},{},"{('e', 'è'): 1}",mèï,Le Bouscat,{},{},"{('e', 'è'): 1, ('y', 'ï'): 1}"
