Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
malherus,Andernos-les-Bains,malhuroux,Bazas-bis,{'o': 1},{},"{('e', 'u'): 1, ('s', 'x'): 1}",malhurous,Auros-bis,{'o': 1},{},"{('e', 'u'): 1}",maleurus,Audenge-bis,{},{},"{('h', 'e'): 1, ('e', 'u'): 1}"
malhurus,Arès,malhuroux,Savignac,{'o': 1},{},"{('s', 'x'): 1}",malurous,Ailas,{'o': 1},{'h': 1},{},malhurous,Coimères,{'o': 1},{},{}
maleurus,Audenge-bis,malherus,Andernos-les-Bains,{'h': 1},{'u': 1},{},malurus,Le Porge,{},{'e': 1},{},malheru,Saint-Étienne-de-Lisse,{'h': 1},"{'u': 1, 's': 1}",{}
malheurus,Audenge,molurou,Saint-Léon-sur-l'Isle,{'o': 1},"{'h': 1, 'e': 1, 's': 1}","{('a', 'o'): 1}",malhurouss,Lignan-de-Bazas,"{'o': 1, 's': 1}",{'e': 1},{},malhurous,Belin-Béliet,{'o': 1},{'e': 1},{}
malherus,Biganos,molhurou,Lussas,{'o': 1},{'s': 1},"{('a', 'o'): 1, ('e', 'u'): 1}",malhérus,Blanquefort-bis,{},{},"{('e', 'é'): 1}",,,,,
malhurus,Lacanau-de-Mios,malhérus,Eysines,{},{},"{('u', 'é'): 1}",maleurus,Carbon-Blanc-bis,{},{},"{('h', 'e'): 1}",,,,,
maleurus,Lanton,malérus,Macau,{},{'u': 1},"{('e', 'é'): 1}",malhurus,Castelnau-de-Médoc,{},{},"{('e', 'h'): 1}",malhurus,Saint-Loubès,{},{},"{('e', 'h'): 1}"
malhurus,Lège,malhuroux,Pompogne,{'o': 1},{},"{('s', 'x'): 1}",malurus,Saint-Sulpice-et-Cameyrac,{},{'h': 1},{},,,,,
malerus,Mios,malurous,Ailas,{'o': 1},{},"{('e', 'u'): 1}",malheurus,Saint-Maixant,"{'h': 1, 'u': 1}",{},{},,,,,
malurous,Ailas,malhurus,Arès,{'h': 1},{'o': 1},{},malerus,Mios,{},{'o': 1},"{('u', 'e'): 1}",malhurous,Auros-bis,{'h': 1},{},{}
malhurous,Auros-bis,malherus,Andernos-les-Bains,{},{'o': 1},"{('u', 'e'): 1}",malurous,Ailas,{},{'h': 1},{},malurous,Meylan,{},{'h': 1},{}
malhurous,Auros,malhurus,Bordeaux,{},{'o': 1},{},malérou,Sainte-Foy-la-Grande-bis,{},"{'u': 1, 's': 1}","{('h', 'é'): 1}",malurous,Brannens,{},{'h': 1},{}
malhurous,Barie,malérus,Yvrac,{},"{'u': 1, 'o': 1}","{('h', 'é'): 1}",moluroux,Atur,{},{'h': 1},"{('a', 'o'): 1, ('s', 'x'): 1}",,,,,
malurous,Brannens,malhuroux,Bassillac,{'h': 1},{},"{('s', 'x'): 1}",malhurous,Auros,{'h': 1},{},{},maluroux,Castillon-de-Castets,{},{},"{('s', 'x'): 1}"
maluroux,Castillon-de-Castets,malhurus,Saint-Médard-en-Jalles,{'h': 1},{'o': 1},"{('x', 's'): 1}",malhurous,Boé,{'h': 1},{},"{('x', 's'): 1}",malurous,Brannens,{},{},"{('x', 's'): 1}"
malhurous,Coimères,malhurus,Arès,{},{'o': 1},{},malurous,Cudos,{},{'h': 1},{},malhuroux,Lados,{},{},"{('s', 'x'): 1}"
malhuroux,Lados,malhuroux,Gans,{},{},{},malurous,Puybarban,{},{'h': 1},"{('x', 's'): 1}",malhurous,Coimères,{},{},"{('x', 's'): 1}"
malhurous,Pondaurat,malhérus,Blaignan,{},{'o': 1},"{('u', 'é'): 1}",malurous,Bescat,{},{'h': 1},{},,,,,
malurous,Puybarban,malhuroux,Lados,{'h': 1},{},"{('s', 'x'): 1}",malhurus,Le Bouscat,{'h': 1},{'o': 1},{},malhuroux,Savignac,{'h': 1},{},"{('s', 'x'): 1}"
