Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
mïntgéoueun,Andernos-les-Bains,mindjent,Bazas-bis,{},"{'é': 1, 'o': 1, 'u': 1}","{('ï', 'i'): 1, ('t', 'd'): 1, ('g', 'j'): 1, ('u', 'n'): 1, ('n', 't'): 1}",mingen,Auros-bis,{},"{'t': 1, 'é': 1, 'o': 1, 'u': 2}","{('ï', 'i'): 1}",minjéoun,Audenge-bis,{},"{'g': 1, 'u': 1, 'e': 1}","{('ï', 'i'): 1, ('t', 'j'): 1}"
mïngnéou,Arès,mïnyèouent,Savignac,"{'e': 1, 'n': 1, 't': 1}",{'é': 1},"{('g', 'y'): 1, ('n', 'è'): 1}",mintjen,Ailas,{},{'u': 1},"{('ï', 'i'): 1, ('g', 't'): 1, ('n', 'j'): 1, ('é', 'e'): 1, ('o', 'n'): 1}",mingén,Coimères,{},"{'n': 1, 'u': 1}","{('ï', 'i'): 1, ('o', 'n'): 1}"
minjéoun,Audenge-bis,mïntgéoueun,Andernos-les-Bains,"{'t': 1, 'u': 1, 'e': 1}",{},"{('i', 'ï'): 1, ('j', 'g'): 1}",minnjhen,Le Porge,{'n': 1},{'u': 1},"{('é', 'h'): 1, ('o', 'e'): 1}",minngennt,Saint-Étienne-de-Lisse,{'t': 1},{},"{('j', 'n'): 1, ('é', 'g'): 1, ('o', 'e'): 1, ('u', 'n'): 1}"
mintjen,Audenge,mindzènt,Saint-Léon-sur-l'Isle,{'t': 1},{},"{('t', 'd'): 1, ('j', 'z'): 1, ('e', 'è'): 1}",miguienn,Lignan-de-Bazas,{'n': 1},{},"{('n', 'g'): 1, ('t', 'u'): 1, ('j', 'i'): 1}",mïngeun,Belin-Béliet,{},{},"{('i', 'ï'): 1, ('t', 'g'): 1, ('j', 'e'): 1, ('e', 'u'): 1}"
minntjenn,Biganos,mindzein,Lussas,{},{'j': 1},"{('n', 'd'): 1, ('t', 'z'): 1, ('n', 'i'): 1}",mingheun,Blanquefort-bis,{},{'j': 1},"{('n', 'g'): 1, ('t', 'h'): 1, ('n', 'u'): 1}",,,,,
mingeun,Lacanau-de-Mios,mïntchêoune,Eysines,"{'t': 1, 'c': 1, 'h': 1, 'e': 1}",{},"{('i', 'ï'): 1, ('g', 'ê'): 1, ('e', 'o'): 1}",mintcheun,Carbon-Blanc-bis,"{'t': 1, 'c': 1}",{},"{('g', 'h'): 1}",,,,,
mindjeun,Lanton,minjeun,Macau,{},{'d': 1},{},mindient,Castelnau-de-Médoc,{},{},"{('j', 'i'): 1, ('u', 'n'): 1, ('n', 't'): 1}",mindgén,Saint-Loubès,{},{'u': 1},"{('j', 'g'): 1, ('e', 'é'): 1}"
mïntchént,Lège,mïngént,Pompogne,{},"{'c': 1, 'h': 1}","{('t', 'g'): 1}",mïnghient,Saint-Sulpice-et-Cameyrac,{},{},"{('t', 'g'): 1, ('c', 'h'): 1, ('h', 'i'): 1, ('é', 'e'): 1}",,,,,
mïngeunn,Mios,mintjen,Ailas,{'t': 1},"{'u': 1, 'n': 1}","{('ï', 'i'): 1, ('g', 'j'): 1}",mignent,Saint-Maixant,{'i': 1},"{'g': 1, 'u': 1}","{('ï', 'g'): 1, ('n', 't'): 1}",,,,,
mintjen,Ailas,mïngnéou,Arès,{'g': 1},{},"{('i', 'ï'): 1, ('t', 'n'): 1, ('j', 'é'): 1, ('e', 'o'): 1, ('n', 'u'): 1}",mïngeunn,Mios,{'g': 1},{},"{('i', 'ï'): 1, ('t', 'e'): 1, ('j', 'u'): 1, ('e', 'n'): 1}",mingen,Auros-bis,{},{'j': 1},"{('t', 'g'): 1}"
mingen,Auros-bis,mïntgéoueun,Andernos-les-Bains,"{'t': 1, 'é': 1, 'o': 1, 'u': 2}",{},"{('i', 'ï'): 1}",mintjen,Ailas,{'t': 1},{},"{('g', 'j'): 1}",mïnÿon,Meylan,{},{},"{('i', 'ï'): 1, ('g', 'ÿ'): 1, ('e', 'o'): 1}"
minngen,Auros,mingen,Bordeaux,{},{'n': 1},{},mingeavén,Sainte-Foy-la-Grande-bis,"{'a': 1, 'v': 1, 'é': 1}",{'n': 1},{},mingien,Brannens,{},{},"{('n', 'g'): 1, ('g', 'i'): 1}"
minnyèoueun,Barie,mignent,Yvrac,{},"{'y': 1, 'è': 1, 'o': 1, 'u': 1}","{('n', 'g'): 1, ('u', 'n'): 1, ('n', 't'): 1}",minzen,Atur,{},"{'y': 1, 'è': 1, 'o': 1, 'u': 2}","{('n', 'z'): 1}",,,,,
mingien,Brannens,min̈dzin,Bassillac,"{'̈': 1, 'd': 1}",{'e': 1},"{('g', 'z'): 1}",minngen,Auros,{'n': 1},{'i': 1},{},mingéouen,Castillon-de-Castets,"{'é': 1, 'o': 1}",{},"{('i', 'u'): 1}"
mingéouen,Castillon-de-Castets,minjen,Saint-Médard-en-Jalles,{},"{'é': 1, 'o': 1, 'u': 1}","{('g', 'j'): 1}",mindhien,Boé,{},{'u': 1},"{('g', 'd'): 1, ('é', 'h'): 1, ('o', 'i'): 1}",mingien,Brannens,{},"{'o': 1, 'u': 1}","{('é', 'i'): 1}"
mingén,Coimères,mïngnéou,Arès,"{'n': 1, 'o': 1}",{},"{('i', 'ï'): 1, ('n', 'u'): 1}",mindjen,Cudos,{'d': 1},{},"{('g', 'j'): 1, ('é', 'e'): 1}",minièoun,Lados,"{'i': 1, 'è': 1}",{},"{('g', 'o'): 1, ('é', 'u'): 1}"
minièoun,Lados,mindgèouen,Gans,"{'d': 1, 'e': 1}",{},"{('i', 'g'): 1}",mingéouén,Puybarban,{'é': 1},{},"{('i', 'g'): 1, ('è', 'é'): 1}",mingén,Coimères,{},"{'o': 1, 'u': 1}","{('i', 'g'): 1, ('è', 'é'): 1}"
minyen,Pondaurat,mïndzennt,Blaignan,"{'d': 1, 'n': 1, 't': 1}",{},"{('i', 'ï'): 1, ('y', 'z'): 1}",minjén,Bescat,{},{},"{('y', 'j'): 1, ('e', 'é'): 1}",,,,,
