Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
mïntgeat,Andernos-les-Bains,mindjat,Bazas-bis,{},{'e': 1},"{('ï', 'i'): 1, ('t', 'd'): 1, ('g', 'j'): 1}",minjat,Auros-bis,{},"{'g': 1, 'e': 1}","{('ï', 'i'): 1, ('t', 'j'): 1}",mintjat,Audenge-bis,{},{'e': 1},"{('ï', 'i'): 1, ('g', 'j'): 1}"
minyat,Arès,mïnyat,Savignac,{},{},"{('i', 'ï'): 1}",mintjat,Ailas,{'t': 1},{},"{('y', 'j'): 1}",mingeat,Coimères,{'g': 1},{},"{('y', 'e'): 1}"
mintjat,Audenge-bis,mïntgeat,Andernos-les-Bains,{'g': 1},{},"{('i', 'ï'): 1, ('j', 'e'): 1}",minnjhat,Le Porge,{'h': 1},{},"{('t', 'n'): 1}",minngea,Saint-Étienne-de-Lisse,{'n': 1},{'t': 1},"{('t', 'g'): 1, ('j', 'e'): 1}"
mintjat,Audenge,minza,Saint-Léon-sur-l'Isle,{},"{'j': 1, 't': 1}","{('t', 'z'): 1}",miguiatt,Lignan-de-Bazas,{'t': 1},{},"{('n', 'g'): 1, ('t', 'u'): 1, ('j', 'i'): 1}",mïngeat,Belin-Béliet,{},{},"{('i', 'ï'): 1, ('t', 'g'): 1, ('j', 'e'): 1}"
mïnntjat,Biganos,minja,Lussas,{},"{'n': 1, 't': 2}","{('ï', 'i'): 1}",mïnghiat,Blanquefort-bis,{},{},"{('n', 'g'): 1, ('t', 'h'): 1, ('j', 'i'): 1}",,,,,
mingeat,Lacanau-de-Mios,mïntiat,Eysines,{},{},"{('i', 'ï'): 1, ('g', 't'): 1, ('e', 'i'): 1}",mintchat,Carbon-Blanc-bis,{'t': 1},{},"{('g', 'c'): 1, ('e', 'h'): 1}",,,,,
mindgeat,Lanton,minyat,Macau,{},"{'g': 1, 'e': 1}","{('d', 'y'): 1}",mindiat,Castelnau-de-Médoc,{},{'e': 1},"{('g', 'i'): 1}",mindgeat,Saint-Loubès,{},{},{}
mïntchat,Lège,mïntjat,Pompogne,{},{'h': 1},"{('c', 'j'): 1}",mïnghiat,Saint-Sulpice-et-Cameyrac,{},{},"{('t', 'g'): 1, ('c', 'h'): 1, ('h', 'i'): 1}",,,,,
mïngeat,Mios,mintjat,Ailas,{},{},"{('ï', 'i'): 1, ('g', 't'): 1, ('e', 'j'): 1}",minyat,Saint-Maixant,{},{'e': 1},"{('ï', 'i'): 1, ('g', 'y'): 1}",,,,,
mintjat,Ailas,minyat,Arès,{},{'j': 1},"{('t', 'y'): 1}",mïngeat,Mios,{},{},"{('i', 'ï'): 1, ('t', 'g'): 1, ('j', 'e'): 1}",minjat,Auros-bis,{},{'t': 1},{}
minjat,Auros-bis,mïntgeat,Andernos-les-Bains,"{'t': 1, 'g': 1}",{},"{('i', 'ï'): 1, ('j', 'e'): 1}",mintjat,Ailas,{'t': 1},{},{},miniat,Meylan,{},{},"{('j', 'i'): 1}"
minjat,Auros,mingea,Bordeaux,{'g': 1},{'t': 1},"{('j', 'e'): 1}",minza,Sainte-Foy-la-Grande-bis,{},{'t': 1},"{('j', 'z'): 1}",miniat,Brannens,{},{},"{('j', 'i'): 1}"
minnyat,Barie,mignediat,Yvrac,"{'g': 1, 'e': 1}",{},"{('n', 'd'): 1, ('y', 'i'): 1}",mingea,Atur,{},{'t': 1},"{('n', 'g'): 1, ('y', 'e'): 1}",,,,,
miniat,Brannens,mintza,Bassillac,{'t': 1},{'t': 1},"{('i', 'z'): 1}",minjat,Auros,{},{},"{('i', 'j'): 1}",mingiát,Castillon-de-Castets,{'g': 1},{},"{('a', 'á'): 1}"
mingiát,Castillon-de-Castets,minjat,Saint-Médard-en-Jalles,{},{'á': 1},"{('g', 'j'): 1, ('i', 'a'): 1}",minjat,Boé,{},{'á': 1},"{('g', 'j'): 1, ('i', 'a'): 1}",miniat,Brannens,{},{'g': 1},"{('á', 'a'): 1}"
mingeat,Coimères,minyat,Arès,{},{'e': 1},"{('g', 'y'): 1}",mindjat,Cudos,{},{},"{('g', 'd'): 1, ('e', 'j'): 1}",minjat,Lados,{},{'e': 1},"{('g', 'j'): 1}"
minjat,Lados,mïndgeat,Gans,"{'d': 1, 'g': 1}",{},"{('i', 'ï'): 1, ('j', 'e'): 1}",mingyat,Puybarban,{'g': 1},{},"{('j', 'y'): 1}",mingeat,Coimères,{'g': 1},{},"{('j', 'e'): 1}"
minyat,Pondaurat,mïndzat,Blaignan,{'d': 1},{},"{('i', 'ï'): 1, ('y', 'z'): 1}",minjat,Bescat,{},{},"{('y', 'j'): 1}",,,,,
mingyat,Puybarban,minjat,Lados,{},{'y': 1},"{('g', 'j'): 1}",mingeat,Le Bouscat,{},{},"{('y', 'e'): 1}",mïnyat,Savignac,{},{'g': 1},"{('i', 'ï'): 1}"
mïnyat,Savignac,mïgnjat,Sigalens,{'g': 1},{},"{('y', 'j'): 1}",minyat,Arès,{},{},"{('ï', 'i'): 1}",mingyat,Puybarban,{'g': 1},{},"{('ï', 'i'): 1}"
mïgnjat,Sigalens,mindiat,Caudéran,{},{},"{('ï', 'i'): 1, ('g', 'n'): 1, ('n', 'd'): 1, ('j', 'i'): 1}",mïnyat,Savignac,{},{'g': 1},"{('j', 'y'): 1}",minyat,Bayon-sur-Gironde,{},{'g': 1},"{('ï', 'i'): 1, ('j', 'y'): 1}"
mindjat,Bazas-bis,mindjat,Bazas,{},{},{},mïntgeat,Andernos-les-Bains,{'t': 1},{},"{('i', 'ï'): 1, ('d', 'g'): 1, ('j', 'e'): 1}",mintzat,Saint-Aubin,{},{},"{('d', 't'): 1, ('j', 'z'): 1}"
mindjat,Bazas,minjeat,Cazats,{},{},"{('d', 'j'): 1, ('j', 'e'): 1}",mindjat,Bazas-bis,{},{},{},mintchat,Prats-de-Carlux,{'t': 1},{},"{('d', 'c'): 1, ('j', 'h'): 1}"
mingeat,Bernos-Beaulac,mingeat,Birac,{},{},{},mintgeat,Saumos,{'t': 1},{},{},minyat,Gajac,{},{'e': 1},"{('g', 'y'): 1}"
mingeat,Birac,mingea,Saint-Magne-de-Castillon,{},{'t': 1},{},mingeat,Bernos-Beaulac,{},{},{},minjeat,Cazats,{},{},"{('g', 'j'): 1}"
minjeat,Cazats,mindjat,Cudos,{'d': 1},{'e': 1},{},mindjat,Bazas,{'d': 1},{'e': 1},{},mingeat,Birac,{},{},"{('j', 'g'): 1}"
mindjat,Cudos,mingeat,Coimères,{},{},"{('d', 'g'): 1, ('j', 'e'): 1}",minjeat,Cazats,{},{},"{('d', 'j'): 1, ('j', 'e'): 1}",mïndgeat,Gans,{'g': 1},{},"{('i', 'ï'): 1, ('j', 'e'): 1}"
minyat,Gajac,minja,Belvès-de-Castillon,{},{'t': 1},"{('y', 'j'): 1}",mïndgeat,Gans,"{'d': 1, 'g': 1}",{},"{('i', 'ï'): 1, ('y', 'e'): 1}",mingeat,Bernos-Beaulac,{'g': 1},{},"{('y', 'e'): 1}"
mïndgeat,Gans,minyat,Gajac,{},"{'g': 1, 'e': 1}","{('ï', 'i'): 1, ('d', 'y'): 1}",minjat,Lados,{},"{'g': 1, 'e': 1}","{('ï', 'i'): 1, ('d', 'j'): 1}",mindjat,Cudos,{},{'e': 1},"{('ï', 'i'): 1, ('g', 'j'): 1}"
