Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
ne li,Andernos-les-Bains,né l y,Bazas-bis,{' ': 1},{},"{('e', 'é'): 1, ('i', 'y'): 1}",ne li,Auros-bis,{},{},{},ne li,Audenge-bis,{},{},{}
ne l y,Arès,ne l y,Savignac,{},{},{},né li,Ailas,{},{'y': 1},"{('e', 'é'): 1, (' ', 'i'): 1}",né li,Coimères,{},{'y': 1},"{('e', 'é'): 1, (' ', 'i'): 1}"
ne li,Audenge-bis,ne li,Andernos-les-Bains,{},{},{},nè li,Le Porge,{},{},"{('e', 'è'): 1}",ne yi,Saint-Étienne-de-Lisse,{},{},"{('l', 'y'): 1}"
ne li,Audenge,li,Saint-Léon-sur-l'Isle,{},"{'n': 1, 'e': 1, ' ': 1}",{},ne l y,Lignan-de-Bazas,{' ': 1},{},"{('i', 'y'): 1}",ne li,Belin-Béliet,{},{},{}
li,Biganos,ne l y,Lussas,"{'n': 1, 'e': 1, ' ': 2}",{},"{('i', 'y'): 1}",né li,Blanquefort-bis,"{'n': 1, 'é': 1, ' ': 1}",{},{},,,,,
l y,Lacanau-de-Mios,né li,Eysines,"{'n': 1, 'l': 1}",{},"{('l', 'é'): 1, ('y', 'i'): 1}",ne li,Carbon-Blanc-bis,"{'n': 1, 'l': 1}",{},"{('l', 'e'): 1, ('y', 'i'): 1}",,,,,
ne li,Lanton,ne l y,Macau,{' ': 1},{},"{('i', 'y'): 1}",né li,Castelnau-de-Médoc,{},{},"{('e', 'é'): 1}",ne li,Saint-Loubès,{},{},{}
li,Lège,li,Pompogne,{},{},{},ne l y,Saint-Sulpice-et-Cameyrac,"{'n': 1, 'e': 1, ' ': 2}",{},"{('i', 'y'): 1}",,,,,
li,Mios,né li,Ailas,"{'n': 1, 'é': 1, ' ': 1}",{},{},né li,Saint-Maixant,"{'n': 1, 'é': 1, ' ': 1}",{},{},,,,,
né li,Ailas,ne l y,Arès,{' ': 1},{},"{('é', 'e'): 1, ('i', 'y'): 1}",li,Mios,{},"{'n': 1, 'é': 1, ' ': 1}",{},ne li,Auros-bis,{},{},"{('é', 'e'): 1}"
ne li,Auros-bis,ne li,Andernos-les-Bains,{},{},{},né li,Ailas,{},{},"{('e', 'é'): 1}",nou lou,Meylan,{'o': 2},{},"{('e', 'u'): 1, ('i', 'u'): 1}"
ne li,Auros,li,Bordeaux,{},"{'n': 1, 'e': 1, ' ': 1}",{},y,Sainte-Foy-la-Grande-bis,{},"{'e': 1, ' ': 1, 'l': 1, 'i': 1}","{('n', 'y'): 1}",né l y,Brannens,{' ': 1},{},"{('e', 'é'): 1, ('i', 'y'): 1}"
ne li,Barie,ne l y,Yvrac,{' ': 1},{},"{('i', 'y'): 1}",li,Atur,{},"{'n': 1, 'e': 1, ' ': 1}",{},,,,,
né l y,Brannens,li,Bassillac,{},"{'n': 1, 'é': 1, ' ': 1, 'y': 1}","{(' ', 'i'): 1}",ne li,Auros,{},{'y': 1},"{('é', 'e'): 1, (' ', 'i'): 1}",ne li,Castillon-de-Castets,{},{'y': 1},"{('é', 'e'): 1, (' ', 'i'): 1}"
ne li,Castillon-de-Castets,né li,Saint-Médard-en-Jalles,{},{},"{('e', 'é'): 1}",l y,Boé,{},"{'e': 1, 'i': 1}","{('n', 'l'): 1, ('l', 'y'): 1}",né l y,Brannens,{' ': 1},{},"{('e', 'é'): 1, ('i', 'y'): 1}"
né li,Coimères,ne l y,Arès,{' ': 1},{},"{('é', 'e'): 1, ('i', 'y'): 1}",né li,Cudos,{},{},{},ne li,Lados,{},{},"{('é', 'e'): 1}"
ne li,Lados,né li,Gans,{},{},"{('e', 'é'): 1}",ne l y,Puybarban,{' ': 1},{},"{('i', 'y'): 1}",né li,Coimères,{},{},"{('e', 'é'): 1}"
né li,Pondaurat,né ié,Blaignan,{},{},"{('l', 'i'): 1, ('i', 'é'): 1}",nou,Bescat,{},"{'l': 1, 'i': 1}","{('é', 'o'): 1, (' ', 'u'): 1}",,,,,
ne l y,Puybarban,ne li,Lados,{},{'y': 1},"{(' ', 'i'): 1}",ne l y,Le Bouscat,{},{},{},ne l y,Savignac,{},{},{}
ne l y,Savignac,né li,Sigalens,{},{'y': 1},"{('e', 'é'): 1, (' ', 'i'): 1}",ne l y,Arès,{},{},{},ne l y,Puybarban,{},{},{}
né li,Sigalens,ne li,Caudéran,{},{},"{('é', 'e'): 1}",ne l y,Savignac,{' ': 1},{},"{('é', 'e'): 1, ('i', 'y'): 1}",ne l y,Bayon-sur-Gironde,{' ': 1},{},"{('é', 'e'): 1, ('i', 'y'): 1}"
né l y,Bazas-bis,né l y,Bazas,{},{},{},ne li,Andernos-les-Bains,{},{'y': 1},"{('é', 'e'): 1, (' ', 'i'): 1}",y,Saint-Aubin,{},"{'n': 1, 'é': 1, ' ': 2, 'l': 1}",{}
né l y,Bazas,ne li,Cazats,{},{'y': 1},"{('é', 'e'): 1, (' ', 'i'): 1}",né l y,Bazas-bis,{},{},{},né l y,Prats-de-Carlux,{},{},{}
né li,Bernos-Beaulac,né li,Birac,{},{},{},né li,Saumos,{},{},{},ne li,Gajac,{},{},"{('é', 'e'): 1}"
né li,Birac,ni,Saint-Magne-de-Castillon,{},"{'é': 1, ' ': 1, 'l': 1}",{},né li,Bernos-Beaulac,{},{},{},ne li,Cazats,{},{},"{('é', 'e'): 1}"
ne li,Cazats,né li,Cudos,{},{},"{('e', 'é'): 1}",né l y,Bazas,{' ': 1},{},"{('e', 'é'): 1, ('i', 'y'): 1}",né li,Birac,{},{},"{('e', 'é'): 1}"
né li,Cudos,né li,Coimères,{},{},{},ne li,Cazats,{},{},"{('é', 'e'): 1}",né li,Gans,{},{},{}
ne li,Gajac,ne yo,Belvès-de-Castillon,{},{},"{('l', 'y'): 1, ('i', 'o'): 1}",né li,Gans,{},{},"{('e', 'é'): 1}",né li,Bernos-Beaulac,{},{},"{('e', 'é'): 1}"
né li,Gans,ne li,Gajac,{},{},"{('é', 'e'): 1}",ne li,Lados,{},{},"{('é', 'e'): 1}",né li,Cudos,{},{},{}
né l y,Le Nizan,ne li,Prignac-et-Marcamps,{},{'y': 1},"{('é', 'e'): 1, (' ', 'i'): 1}",ne l y,Gauriac,{},{},"{('é', 'e'): 1}",nè zy,Saint-Antoine-sur-l'Isle,{},{' ': 1},"{('é', 'è'): 1, ('l', 'z'): 1}"
ne l y,Lignan-de-Bazas,ne li,Audenge,{},{'y': 1},"{(' ', 'i'): 1}",ne li,Lansac,{},{'y': 1},"{(' ', 'i'): 1}",ne li,Béliet,{},{'y': 1},"{(' ', 'i'): 1}"
né l y,Saint-Côme,ne li,Bonnetan,{},{'y': 1},"{('é', 'e'): 1, (' ', 'i'): 1}",ne li,Saint-Trojan,{},{'y': 1},"{('é', 'e'): 1, (' ', 'i'): 1}",ne li,Béliet,{},{'y': 1},"{('é', 'e'): 1, (' ', 'i'): 1}"
ne li,Béliet,ne li,Belin-Béliet,{},{},{},ne l y,Lignan-de-Bazas,{' ': 1},{},"{('i', 'y'): 1}",né l y,Saint-Côme,{' ': 1},{},"{('e', 'é'): 1, ('i', 'y'): 1}"
ne li,Belin-Béliet,ne li,Cadillac-en-Fronsadais,{},{},{},ne li,Audenge,{},{},{},ne li,Béliet,{},{},{}
ne li,Joué,ne l y,Le Barp,{' ': 1},{},"{('i', 'y'): 1}",nou lou,Lansac,{'o': 2},{},"{('e', 'u'): 1, ('i', 'u'): 1}",né li,Tabanac,{},{},"{('e', 'é'): 1}"
ne l y,Le Barp,né li,Cabara,{},{'y': 1},"{('e', 'é'): 1, (' ', 'i'): 1}",ne li,Joué,{},{'y': 1},"{(' ', 'i'): 1}",,,,,
li,Lugos,ne li,Saint-Magne,"{'n': 1, 'e': 1, ' ': 1}",{},{},li,Salles-bis,{},{},{},,,,,
ne li,Saint-Magne,ne li,Salles,{},{},{},li,Lugos,{},"{'n': 1, 'e': 1, ' ': 1}",{},ne ly,Saint-Romain-la-Virvée,{},{},"{('i', 'y'): 1}"
li,Salles-bis,li,Lugos,{},{},{},né l y,Génissac,"{'n': 1, 'é': 1, ' ': 2}",{},"{('i', 'y'): 1}",nouy,Osse-en-Aspe,"{'n': 1, 'o': 1}",{},"{('l', 'u'): 1, ('i', 'y'): 1}"
ne li,Salles,né li,Saint-Sulpice-de-Mareuil,{},{},"{('e', 'é'): 1}",ne li,Saint-Magne,{},{},{},ne l y,Saint-Quentin-de-Baron,{' ': 1},{},"{('i', 'y'): 1}"
né li,Blanquefort-bis,ne li,Langoiran,{},{},"{('é', 'e'): 1}",li,Biganos,{},"{'n': 1, 'é': 1, ' ': 1}",{},né li,Blanquefort,{},{},{}
né li,Blanquefort,né li,Blanquefort-bis,{},{},{},n ou,Ychoux,{},{'é': 1},"{('l', 'o'): 1, ('i', 'u'): 1}",ne li,La Réole,{},{},"{('é', 'e'): 1}"
né li,Caychac,ne ly,Omet,{},{},"{('é', 'e'): 1, ('i', 'y'): 1}",né li,Eysines,{},{},{},né l y,Giscos,{' ': 1},{},"{('i', 'y'): 1}"
né li,Eysines,né li,Caychac,{},{},{},l y,Lacanau-de-Mios,{},"{'é': 1, 'i': 1}","{('n', 'l'): 1, ('l', 'y'): 1}",ne li,Le Haillan,{},{},"{('é', 'e'): 1}"
ne li,Le Haillan,nè li,Le Pian-Médoc,{},{},"{('e', 'è'): 1}",lou,Bénesse-Maremne,{},"{'l': 1, 'i': 1}","{('n', 'l'): 1, ('e', 'o'): 1, (' ', 'u'): 1}",né li,Eysines,{},{},"{('e', 'é'): 1}"
nè li,Le Pian-Médoc,n ou,Josse,{},{'è': 1},"{('l', 'o'): 1, ('i', 'u'): 1}",ne li,Le Haillan,{},{},"{('è', 'e'): 1}",n ou,Montgaillard,{},{'è': 1},"{('l', 'o'): 1, ('i', 'u'): 1}"
né li,Le Taillan-Médoc,né ly,Sainte-Croix-du-Mont,{},{},"{('i', 'y'): 1}",ne ly,Bassens,{},{},"{('é', 'e'): 1, ('i', 'y'): 1}",ne y,Landerrouat,{},{'i': 1},"{('é', 'e'): 1, ('l', 'y'): 1}"
né li,Ludon-Médoc,ni,Agnac,{},"{'é': 1, ' ': 1, 'l': 1}",{},ne l y,Macau,{' ': 1},{},"{('é', 'e'): 1, ('i', 'y'): 1}",,,,,
