Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
n,Andernos-les-Bains,n,Bazas-bis,{},{},{},n,Auros-bis,{},{},{},n,Audenge-bis,{},{},{}
n,Arès,n,Savignac,{},{},{},n,Ailas,{},{},{},n,Coimères,{},{},{}
n,Audenge-bis,n,Andernos-les-Bains,{},{},{},n,Le Porge,{},{},{},n,Saint-Étienne-de-Lisse,{},{},{}
n,Audenge,n,Saint-Léon-sur-l'Isle,{},{},{},n,Lignan-de-Bazas,{},{},{},n,Belin-Béliet,{},{},{}
n,Biganos,n,Lussas,{},{},{},n,Blanquefort-bis,{},{},{},,,,,
n,Lacanau-de-Mios,n,Eysines,{},{},{},n,Carbon-Blanc-bis,{},{},{},,,,,
n,Lanton,n,Macau,{},{},{},n,Castelnau-de-Médoc,{},{},{},n,Saint-Loubès,{},{},{}
n,Lège,n,Pompogne,{},{},{},n,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
n,Mios,n,Ailas,{},{},{},n,Saint-Maixant,{},{},{},,,,,
n,Ailas,n,Arès,{},{},{},n,Mios,{},{},{},n,Auros-bis,{},{},{}
n,Auros-bis,n,Andernos-les-Bains,{},{},{},n,Ailas,{},{},{},n,Meylan,{},{},{}
n,Auros,n,Bordeaux,{},{},{},n,Sainte-Foy-la-Grande-bis,{},{},{},n,Brannens,{},{},{}
n,Barie,n,Yvrac,{},{},{},n,Atur,{},{},{},,,,,
n,Brannens,n,Bassillac,{},{},{},n,Auros,{},{},{},n,Castillon-de-Castets,{},{},{}
n,Castillon-de-Castets,n,Saint-Médard-en-Jalles,{},{},{},n,Boé,{},{},{},n,Brannens,{},{},{}
n,Coimères,n,Arès,{},{},{},n,Cudos,{},{},{},n,Lados,{},{},{}
n,Lados,n,Gans,{},{},{},n,Puybarban,{},{},{},n,Coimères,{},{},{}
n,Pondaurat,n,Blaignan,{},{},{},n,Bescat,{},{},{},,,,,
n,Puybarban,n,Lados,{},{},{},n,Le Bouscat,{},{},{},n,Savignac,{},{},{}
n,Savignac,n,Sigalens,{},{},{},n,Arès,{},{},{},n,Puybarban,{},{},{}
