Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
digün,Andernos-les-Bains,digun,Bazas-bis,{},{},"{('ü', 'u'): 1}",digün,Auros-bis,{},{},{},digun̈,Audenge-bis,{'̈': 1},{},"{('ü', 'u'): 1}"
digün,Arès,digün,Savignac,{},{},{},digun,Ailas,{},{},"{('ü', 'u'): 1}",digun,Coimères,{},{},"{('ü', 'u'): 1}"
digun̈,Audenge-bis,digün,Andernos-les-Bains,{},{'̈': 1},"{('u', 'ü'): 1}",digún,Le Porge,{},{'̈': 1},"{('u', 'ú'): 1}",digun,Saint-Étienne-de-Lisse,{},{'̈': 1},{}
digün,Audenge,digün,Saint-Léon-sur-l'Isle,{},{},{},digung,Lignan-de-Bazas,{'g': 1},{},"{('ü', 'u'): 1}",digün,Belin-Béliet,{},{},{}
digüns,Biganos,digün,Blanquefort-bis,{},{'s': 1},{},,,,,,,,,,
diguns,Lacanau-de-Mios,digüng,Eysines,{},{},"{('u', 'ü'): 1, ('s', 'g'): 1}",digün,Carbon-Blanc-bis,{},{'s': 1},"{('u', 'ü'): 1}",,,,,
digün,Lanton,digun,Macau,{},{},"{('ü', 'u'): 1}",digun,Castelnau-de-Médoc,{},{},"{('ü', 'u'): 1}",digün,Saint-Loubès,{},{},{}
digün,Lège,digus,Pompogne,{},{},"{('ü', 'u'): 1, ('n', 's'): 1}",diguen,Saint-Sulpice-et-Cameyrac,{'u': 1},{},"{('ü', 'e'): 1}",,,,,
digüns,Mios,digun,Ailas,{},{'s': 1},"{('ü', 'u'): 1}",digün,Saint-Maixant,{},{'s': 1},{},,,,,
digun,Ailas,digün,Arès,{},{},"{('u', 'ü'): 1}",digüns,Mios,{'s': 1},{},"{('u', 'ü'): 1}",digün,Auros-bis,{},{},"{('u', 'ü'): 1}"
digün,Auros-bis,digün,Andernos-les-Bains,{},{},{},digun,Ailas,{},{},"{('ü', 'u'): 1}",digun,Meylan,{},{},"{('ü', 'u'): 1}"
digün,Auros,digun,Bordeaux,{},{},"{('ü', 'u'): 1}",digün,Sainte-Foy-la-Grande-bis,{},{},{},dihun,Brannens,{},{},"{('g', 'h'): 1, ('ü', 'u'): 1}"
digun,Barie,digün,Yvrac,{},{},"{('u', 'ü'): 1}",dégun,Atur,{},{},"{('i', 'é'): 1}",,,,,
dihun,Brannens,digun,Bassillac,{},{},"{('h', 'g'): 1}",digün,Auros,{},{},"{('h', 'g'): 1, ('u', 'ü'): 1}",digun,Castillon-de-Castets,{},{},"{('h', 'g'): 1}"
digun,Castillon-de-Castets,digun,Saint-Médard-en-Jalles,{},{},{},digus,Boé,{},{},"{('n', 's'): 1}",dihun,Brannens,{},{},"{('g', 'h'): 1}"
digun,Coimères,digün,Arès,{},{},"{('u', 'ü'): 1}",digun,Cudos,{},{},{},digun,Lados,{},{},{}
digun,Lados,digun,Gans,{},{},{},digun,Puybarban,{},{},{},digun,Coimères,{},{},{}
digun,Pondaurat,diguns,Blaignan,{'s': 1},{},{},dégün,Bescat,{},{},"{('i', 'é'): 1, ('u', 'ü'): 1}",,,,,
digun,Puybarban,digun,Lados,{},{},{},digün,Le Bouscat,{},{},"{('u', 'ü'): 1}",digün,Savignac,{},{},"{('u', 'ü'): 1}"
digün,Savignac,digüng,Sigalens,{'g': 1},{},{},digün,Arès,{},{},{},digun,Puybarban,{},{},"{('ü', 'u'): 1}"
digüng,Sigalens,digun,Caudéran,{},{'g': 1},"{('ü', 'u'): 1}",digün,Savignac,{},{'g': 1},{},digun,Bayon-sur-Gironde,{},{'g': 1},"{('ü', 'u'): 1}"
