Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
ni,Andernos-les-Bains,ni,Bazas-bis,{},{},{},ni,Auros-bis,{},{},{},ni,Audenge-bis,{},{},{}
ni,Arès,ni,Savignac,{},{},{},ni,Ailas,{},{},{},ni,Coimères,{},{},{}
ni,Audenge-bis,ni,Andernos-les-Bains,{},{},{},ni,Le Porge,{},{},{},ni,Saint-Étienne-de-Lisse,{},{},{}
ni,Audenge,ni,Saint-Léon-sur-l'Isle,{},{},{},ni,Lignan-de-Bazas,{},{},{},ni,Belin-Béliet,{},{},{}
ni,Biganos,ni,Lussas,{},{},{},ni,Blanquefort-bis,{},{},{},,,,,
ni,Lacanau-de-Mios,ni,Eysines,{},{},{},ni,Carbon-Blanc-bis,{},{},{},,,,,
ni méy,Lanton,ni,Macau,{},"{' ': 1, 'm': 1, 'é': 1, 'y': 1}",{},ni,Castelnau-de-Médoc,{},"{' ': 1, 'm': 1, 'é': 1, 'y': 1}",{},ni,Saint-Loubès,{},"{' ': 1, 'm': 1, 'é': 1, 'y': 1}",{}
ni,Lège,ni,Pompogne,{},{},{},ni,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
ni,Mios,ni,Ailas,{},{},{},ni,Saint-Maixant,{},{},{},,,,,
ni,Ailas,ni,Arès,{},{},{},ni,Mios,{},{},{},ni,Auros-bis,{},{},{}
ni,Auros-bis,ni,Andernos-les-Bains,{},{},{},ni,Ailas,{},{},{},ni,Meylan,{},{},{}
ni,Auros,ni,Bordeaux,{},{},{},ni,Sainte-Foy-la-Grande-bis,{},{},{},ni,Brannens,{},{},{}
ni,Barie,ni,Yvrac,{},{},{},ni,Atur,{},{},{},,,,,
ni,Brannens,ni,Bassillac,{},{},{},ni,Auros,{},{},{},ni,Castillon-de-Castets,{},{},{}
ni,Castillon-de-Castets,ni,Saint-Médard-en-Jalles,{},{},{},ni,Boé,{},{},{},ni,Brannens,{},{},{}
ni,Coimères,ni,Arès,{},{},{},ni,Cudos,{},{},{},ni,Lados,{},{},{}
ni,Lados,ni,Gans,{},{},{},ni,Puybarban,{},{},{},ni,Coimères,{},{},{}
ni,Pondaurat,ni,Blaignan,{},{},{},ni,Bescat,{},{},{},,,,,
ni,Puybarban,ni,Lados,{},{},{},nei,Le Bouscat,{'e': 1},{},{},ni,Savignac,{},{},{}
ni,Savignac,ni,Sigalens,{},{},{},ni,Arès,{},{},{},ni,Puybarban,{},{},{}
ni,Sigalens,nei,Caudéran,{'e': 1},{},{},ni,Savignac,{},{},{},ne,Bayon-sur-Gironde,{},{},"{('i', 'e'): 1}"
ni,Bazas-bis,ni,Bazas,{},{},{},ni,Andernos-les-Bains,{},{},{},ni,Saint-Aubin,{},{},{}
ni,Bazas,ni,Cazats,{},{},{},ni,Bazas-bis,{},{},{},ni,Prats-de-Carlux,{},{},{}
ni,Bernos-Beaulac,ni,Birac,{},{},{},ni,Saumos,{},{},{},ni,Gajac,{},{},{}
ni,Birac,ni,Saint-Magne-de-Castillon,{},{},{},ni,Bernos-Beaulac,{},{},{},ni,Cazats,{},{},{}
ni,Cazats,ni,Cudos,{},{},{},ni,Bazas,{},{},{},ni,Birac,{},{},{}
ni,Cudos,ni,Coimères,{},{},{},ni,Cazats,{},{},{},ni,Gans,{},{},{}
ni,Gajac,ni,Belvès-de-Castillon,{},{},{},ni,Gans,{},{},{},ni,Bernos-Beaulac,{},{},{}
ni,Gans,ni,Gajac,{},{},{},ni,Lados,{},{},{},ni,Cudos,{},{},{}
ni,Le Nizan,ni,Prignac-et-Marcamps,{},{},{},ni,Gauriac,{},{},{},ni,Saint-Antoine-sur-l'Isle,{},{},{}
ni,Lignan-de-Bazas,ni,Audenge,{},{},{},ni,Lansac,{},{},{},ni,Béliet,{},{},{}
ni,Saint-Côme,ni,Bonnetan,{},{},{},ni,Saint-Trojan,{},{},{},ni,Béliet,{},{},{}
ni,Béliet,ni,Belin-Béliet,{},{},{},ni,Lignan-de-Bazas,{},{},{},ni,Saint-Côme,{},{},{}
ni,Belin-Béliet,ni,Cadillac-en-Fronsadais,{},{},{},ni,Audenge,{},{},{},ni,Béliet,{},{},{}
ni,Joué,ni,Le Barp,{},{},{},né,Lansac,{},{},"{('i', 'é'): 1}",ni,Tabanac,{},{},{}
ni,Le Barp,ni mey,Cabara,"{' ': 1, 'm': 1, 'e': 1, 'y': 1}",{},{},ni,Joué,{},{},{},,,,,
ni,Lugos,ni,Saint-Magne,{},{},{},ni,Salles-bis,{},{},{},,,,,
ni,Saint-Magne,ni,Salles,{},{},{},ni,Lugos,{},{},{},ni,Saint-Romain-la-Virvée,{},{},{}
ni,Salles-bis,ni,Lugos,{},{},{},ni,Génissac,{},{},{},ni,Osse-en-Aspe,{},{},{}
ni,Salles,ni,Saint-Sulpice-de-Mareuil,{},{},{},ni,Saint-Magne,{},{},{},ni,Saint-Quentin-de-Baron,{},{},{}
ni,Blanquefort-bis,ni,Langoiran,{},{},{},ni,Biganos,{},{},{},ni,Blanquefort,{},{},{}
ni,Blanquefort,ni,Blanquefort-bis,{},{},{},ni,Ychoux,{},{},{},ni,La Réole,{},{},{}
ni,Caychac,ni,Omet,{},{},{},ni,Eysines,{},{},{},ni,Giscos,{},{},{}
ni,Eysines,ni,Caychac,{},{},{},ni,Lacanau-de-Mios,{},{},{},ni,Le Haillan,{},{},{}
ni,Le Haillan,ni,Le Pian-Médoc,{},{},{},ni,Bénesse-Maremne,{},{},{},ni,Eysines,{},{},{}
ni,Le Pian-Médoc,ni,Josse,{},{},{},ni,Le Haillan,{},{},{},ni brigue,Montgaillard,"{' ': 1, 'b': 1, 'r': 1, 'i': 1, 'g': 1, 'u': 1, 'e': 1}",{},{}
ni,Le Taillan-Médoc,ni,Sainte-Croix-du-Mont,{},{},{},ni,Bassens,{},{},{},ni,Landerrouat,{},{},{}
ni,Ludon-Médoc,ni,Agnac,{},{},{},ni,Macau,{},{},{},,,,,
ni,Macau,ni,Ludon-Médoc,{},{},{},ni méy,Lanton,"{' ': 1, 'm': 1, 'é': 1, 'y': 1}",{},{},nimey,Lauzun,"{'m': 1, 'e': 1, 'y': 1}",{},{}
ni,Parempuyre,ni,Arcins,{},{},{},ni,Arsac,{},{},{},,,,,
ni,Saint-Aubin-de-Médoc,ni,Feugarolles,{},{},{},ni,Béquin,{},{},{},ni mey,Labarde,"{' ': 1, 'm': 1, 'e': 1, 'y': 1}",{},{}
ni,Saint-Médard-en-Jalles,ni,Margaux,{},{},{},ni,Castillon-de-Castets,{},{},{},ni,Moulis-en-Médoc-bis,{},{},{}
ni,Bègles,ni,Castelnaud-de-Gratecambe,{},{},{},ni,Lugon-et-l'Île-du-Carnay,{},{},{},ni,Moulis-en-Médoc,{},{},{}
ni,Bordeaux,né briqua,Camalès,"{'é': 1, ' ': 1, 'b': 1, 'r': 1, 'q': 1, 'u': 1, 'a': 1}",{},{},ni,Auros,{},{},{},né,Ansost,{},{},"{('i', 'é'): 1}"
ni,Bruges,ni,Bégadan,{},{},{},nei,Caudéran,{'e': 1},{},{},ni,Ribarrouy,{},{},{}
nei,Caudéran,ni,Bruges,{},{'e': 1},{},ni,Sigalens,{},{'e': 1},{},ne,Bayon-sur-Gironde,{},{'i': 1},{}
ni,Chartrons,ni,Sainte-Colombe,{},{},{},ni brigo,Mont-Disse,"{' ': 1, 'b': 1, 'r': 1, 'i': 1, 'g': 1, 'o': 1}",{},{},ni,Salaunes,{},{},{}
nei,Le Bouscat,ni,Puybarban,{},{'e': 1},{},ni,Castillon-la-Bataille-bis,{},{'e': 1},{},ne,Bayon-sur-Gironde,{},{'i': 1},{}
ne,Bayon-sur-Gironde,nei,Caudéran,{'i': 1},{},{},ni,Sigalens,{},{},"{('e', 'i'): 1}",nei,Le Bouscat,{'i': 1},{},{}
ni,Bourg-bis,pa,Castres-Gironde,{},{},"{('n', 'p'): 1, ('i', 'a'): 1}",ni,Castillon-la-Bataille,{},{},{},ni,Bahus-Soubiran,{},{},{}
ni,Bourg,ni,Comps,{},{},{},ni,Rivière-Saas-et-Gourby,{},{},{},ni,Baron,{},{},{}
ni,Comps,ni,Gauriac,{},{},{},ni,Os-Marsillon,{},{},{},ni,Bourg,{},{},{}
ni,Gauriac,ni,Le Nizan,{},{},{},ni,Comps,{},{},{},ni,Baurech,{},{},{}
ni,Lansac,ni,Lignan-de-Bazas,{},{},{},ni,Marcamps,{},{},{},né,Saint-Loubouer,{},{},"{('i', 'é'): 1}"
ni,Marcamps,ni,Prignac-et-Marcamps,{},{},{},ni,Lansac,{},{},{},,,,,
ni,Prignac-et-Marcamps,ni,Marcamps,{},{},{},ni,Le Nizan,{},{},{},ni,Renung,{},{},{}
ni,Saint-Seurin-de-Bourg,ni,Saint-Pandelon,{},{},{},ni,Samonac,{},{},{},ni,Baron,{},{},{}
ni,Saint-Trojan,ni,Saint-Côme,{},{},{},ni,Tauriac,{},{},{},ni,Samonac,{},{},{}
