Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
nuït,Andernos-les-Bains,neyt,Bazas-bis,{},{},"{('u', 'e'): 1, ('ï', 'y'): 1}",neyt,Auros-bis,{},{},"{('u', 'e'): 1, ('ï', 'y'): 1}",nuit,Audenge-bis,{},{},"{('ï', 'i'): 1}"
neuït,Arès,neyt,Savignac,{},{'ï': 1},"{('u', 'y'): 1}",neyt,Ailas,{},{'ï': 1},"{('u', 'y'): 1}",neyt,Coimères,{},{'ï': 1},"{('u', 'y'): 1}"
nuit,Audenge-bis,nuït,Andernos-les-Bains,{},{},"{('i', 'ï'): 1}",neuyt,Le Porge,{'e': 1},{},"{('i', 'y'): 1}",nuy,Saint-Étienne-de-Lisse,{},{'t': 1},"{('i', 'y'): 1}"
nüyt,Audenge,nè,Saint-Léon-sur-l'Isle,{},"{'y': 1, 't': 1}","{('ü', 'è'): 1}",ney,Lignan-de-Bazas,{},{'t': 1},"{('ü', 'e'): 1}",nueuit,Belin-Béliet,"{'u': 1, 'e': 1}",{},"{('ü', 'u'): 1, ('y', 'i'): 1}"
nuÿt,Biganos,néït,Lussas,{},{},"{('u', 'é'): 1, ('ÿ', 'ï'): 1}",nuyt,Blanquefort-bis,{},{},"{('ÿ', 'y'): 1}",,,,,
nuÿt,Lacanau-de-Mios,nuït,Eysines,{},{},"{('ÿ', 'ï'): 1}",nuÿt,Carbon-Blanc-bis,{},{},{},,,,,
nüit,Lanton,nuyt,Macau,{},{},"{('ü', 'u'): 1, ('i', 'y'): 1}",neuït,Castelnau-de-Médoc,{'e': 1},{},"{('ü', 'u'): 1, ('i', 'ï'): 1}",nueyt,Saint-Loubès,{'u': 1},{},"{('ü', 'e'): 1, ('i', 'y'): 1}"
nuyt,Lège,né,Pompogne,{},"{'y': 1, 't': 1}","{('u', 'é'): 1}",nuyt,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
nuït,Mios,neyt,Ailas,{},{},"{('u', 'e'): 1, ('ï', 'y'): 1}",nuyt,Saint-Maixant,{},{},"{('ï', 'y'): 1}",,,,,
neyt,Ailas,neuït,Arès,{'u': 1},{},"{('y', 'ï'): 1}",nuït,Mios,{},{},"{('e', 'u'): 1, ('y', 'ï'): 1}",neyt,Auros-bis,{},{},{}
