Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
pas,Andernos-les-Bains,p ,Bazas-bis,{},{'s': 1},"{('a', ' '): 1}",pas,Auros-bis,{},{},{},pa ,Audenge-bis,{},{},"{('s', ' '): 1}"
pas,Arès,pa ,Savignac,{},{},"{('s', ' '): 1}",pas,Ailas,{},{},{},pas,Coimères,{},{},{}
pa ,Audenge-bis,pas,Andernos-les-Bains,{},{},"{(' ', 's'): 1}",pa ,Le Porge,{},{},{},pas,Saint-Étienne-de-Lisse,{},{},"{(' ', 's'): 1}"
pas,Audenge,pa ,Lignan-de-Bazas,{},{},"{('s', ' '): 1}",pas,Belin-Béliet,{},{},{},,,,,
pas,Biganos,pas,Blanquefort-bis,{},{},{},,,,,,,,,,
pas,Lacanau-de-Mios,pas,Eysines,{},{},{},pas,Carbon-Blanc-bis,{},{},{},,,,,
pa ,Lanton,pas,Macau,{},{},"{(' ', 's'): 1}",pa ,Castelnau-de-Médoc,{},{},{},pa ,Saint-Loubès,{},{},{}
pa ,Lège,pa ,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,,,,,,
pas,Mios,pas,Ailas,{},{},{},pas,Saint-Maixant,{},{},{},,,,,
pas,Ailas,pas,Arès,{},{},{},pas,Mios,{},{},{},pas,Auros-bis,{},{},{}
pas,Auros-bis,pas,Andernos-les-Bains,{},{},{},pas,Ailas,{},{},{},,,,,
pas,Auros,p ,Bordeaux,{},{'s': 1},"{('a', ' '): 1}",pas,Sainte-Foy-la-Grande-bis,{},{},{},pas,Brannens,{},{},{}
pas,Barie,pas,Yvrac,{},{},{},,,,,,,,,,
pas,Brannens,pas,Auros,{},{},{},pas,Castillon-de-Castets,{},{},{},,,,,
pas,Castillon-de-Castets,pas,Saint-Médard-en-Jalles,{},{},{},pas,Brannens,{},{},{},,,,,
pas,Coimères,pas,Arès,{},{},{},pas,Cudos,{},{},{},pas,Lados,{},{},{}
pas,Lados,pas,Gans,{},{},{},pas,Puybarban,{},{},{},pas,Coimères,{},{},{}
pas,Pondaurat,pas,Blaignan,{},{},{},,,,,,,,,,
pas,Puybarban,pas,Lados,{},{},{},pas,Le Bouscat,{},{},{},pa ,Savignac,{},{},"{('s', ' '): 1}"
pa ,Savignac,pr ,Sigalens,{},{},"{('a', 'r'): 1}",pas,Arès,{},{},"{(' ', 's'): 1}",pas,Puybarban,{},{},"{(' ', 's'): 1}"
pr ,Sigalens,pa ,Caudéran,{},{},"{('r', 'a'): 1}",pa ,Savignac,{},{},"{('r', 'a'): 1}",pa ,Bayon-sur-Gironde,{},{},"{('r', 'a'): 1}"
p ,Bazas-bis,pas,Bazas,{'a': 1},{},"{(' ', 's'): 1}",pas,Andernos-les-Bains,{'a': 1},{},"{(' ', 's'): 1}",,,,,
pas,Bazas,pas,Cazats,{},{},{},p ,Bazas-bis,{},{'s': 1},"{('a', ' '): 1}",,,,,
pas,Bernos-Beaulac,pas,Birac,{},{},{},pas,Saumos,{},{},{},pas,Gajac,{},{},{}
pas,Birac,pas,Saint-Magne-de-Castillon,{},{},{},pas,Bernos-Beaulac,{},{},{},pas,Cazats,{},{},{}
pas,Cazats,pas,Cudos,{},{},{},pas,Bazas,{},{},{},pas,Birac,{},{},{}
pas,Cudos,pas,Coimères,{},{},{},pas,Cazats,{},{},{},pas,Gans,{},{},{}
