Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
pas,Andernos-les-Bains,pas,Bazas-bis,{},{},{},pas,Auros-bis,{},{},{},pa,Audenge-bis,{},{'s': 1},{}
pas,Arès,pas,Savignac,{},{},{},pas,Ailas,{},{},{},pas,Coimères,{},{},{}
pa,Audenge-bis,pas,Andernos-les-Bains,{'s': 1},{},{},pa,Le Porge,{},{},{},pa,Saint-Étienne-de-Lisse,{},{},{}
pa,Audenge,pas,Saint-Léon-sur-l'Isle,{'s': 1},{},{},pas,Lignan-de-Bazas,{'s': 1},{},{},pas,Belin-Béliet,{'s': 1},{},{}
pas,Biganos,pa,Blanquefort-bis,{},{'s': 1},{},,,,,,,,,,
pas,Lacanau-de-Mios,pas,Eysines,{},{},{},pas,Carbon-Blanc-bis,{},{},{},,,,,
pas,Lanton,pas,Macau,{},{},{},pas,Castelnau-de-Médoc,{},{},{},pa,Saint-Loubès,{},{'s': 1},{}
pa,Lège,pa,Pompogne,{},{},{},pas,Saint-Sulpice-et-Cameyrac,{'s': 1},{},{},,,,,
pa,Mios,pas,Ailas,{'s': 1},{},{},pas,Saint-Maixant,{'s': 1},{},{},,,,,
pas,Ailas,pas,Arès,{},{},{},pa,Mios,{},{'s': 1},{},pas,Auros-bis,{},{},{}
pas,Auros-bis,pas,Andernos-les-Bains,{},{},{},pas,Ailas,{},{},{},pa,Meylan,{},{'s': 1},{}
pa,Auros,pa,Bordeaux,{},{},{},pas,Sainte-Foy-la-Grande-bis,{'s': 1},{},{},pas,Brannens,{'s': 1},{},{}
pas,Barie,pa,Yvrac,{},{'s': 1},{},pas,Atur,{},{},{},,,,,
pas,Brannens,pah,Bassillac,{},{},"{('s', 'h'): 1}",pa,Auros,{},{'s': 1},{},pas,Castillon-de-Castets,{},{},{}
pas,Castillon-de-Castets,pas,Saint-Médard-en-Jalles,{},{},{},pas,Boé,{},{},{},pas,Brannens,{},{},{}
pas,Coimères,pas,Arès,{},{},{},pa,Cudos,{},{'s': 1},{},pa,Lados,{},{'s': 1},{}
pa,Lados,pas,Gans,{'s': 1},{},{},pa,Puybarban,{},{},{},pas,Coimères,{'s': 1},{},{}
pas,Pondaurat,pas,Blaignan,{},{},{},pas,Bescat,{},{},{},,,,,
pa,Puybarban,pa,Lados,{},{},{},pas,Le Bouscat,{'s': 1},{},{},pas,Savignac,{'s': 1},{},{}
pas,Savignac,pa,Sigalens,{},{'s': 1},{},pas,Arès,{},{},{},pa,Puybarban,{},{'s': 1},{}
pa,Sigalens,pas,Caudéran,{'s': 1},{},{},pas,Savignac,{'s': 1},{},{},pas,Bayon-sur-Gironde,{'s': 1},{},{}
pas,Bazas-bis,pas,Bazas,{},{},{},pas,Andernos-les-Bains,{},{},{},pas,Saint-Aubin,{},{},{}
pas,Bazas,pas,Cazats,{},{},{},pas,Bazas-bis,{},{},{},pas,Prats-de-Carlux,{},{},{}
pa,Bernos-Beaulac,pa,Birac,{},{},{},pas,Saumos,{'s': 1},{},{},pas,Gajac,{'s': 1},{},{}
pa,Birac,pas,Saint-Magne-de-Castillon,{'s': 1},{},{},pa,Bernos-Beaulac,{},{},{},pas,Cazats,{'s': 1},{},{}
pas,Cazats,pa,Cudos,{},{'s': 1},{},pas,Bazas,{},{},{},pa,Birac,{},{'s': 1},{}
pa,Cudos,pas,Coimères,{'s': 1},{},{},pas,Cazats,{'s': 1},{},{},pas,Gans,{'s': 1},{},{}
pas,Gajac,pas,Belvès-de-Castillon,{},{},{},pas,Gans,{},{},{},pa,Bernos-Beaulac,{},{'s': 1},{}
pas,Gans,pas,Gajac,{},{},{},pa,Lados,{},{'s': 1},{},pa,Cudos,{},{'s': 1},{}
pas,Le Nizan,pas,Prignac-et-Marcamps,{},{},{},pas,Gauriac,{},{},{},pas,Saint-Antoine-sur-l'Isle,{},{},{}
