Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
per lors,Andernos-les-Bains,pél lors,Auros-bis,{},{},"{('e', 'é'): 1, ('r', 'l'): 1}",pélor,Audenge-bis,{},"{'r': 1, ' ': 1, 's': 1}","{('e', 'é'): 1}",,,,,
peur lor,Arès,per lor,Ailas,{},{'u': 1},{},pélor,Coimères,{},"{'u': 1, 'r': 1, ' ': 1}","{('e', 'é'): 1}",,,,,
pélor,Audenge-bis,per lors,Andernos-les-Bains,"{'e': 1, 'r': 1, 's': 1}",{},"{('é', ' '): 1}",,,,,,,,,,
pélor,Audenge,,,,,,,,,,,,,,,
per lors,Biganos,,,,,,,,,,,,,,,
pèlors,Lacanau-de-Mios,,,,,,,,,,,,,,,
pér lors,Lanton,,,,,,,,,,,,,,,
pél lors,Lège,,,,,,,,,,,,,,,
pèl lor,Mios,per lor,Ailas,{},{},"{('è', 'e'): 1, ('l', 'r'): 1}",,,,,,,,,,
per lor,Ailas,peur lor,Arès,{'u': 1},{},{},pèl lor,Mios,{},{},"{('e', 'è'): 1, ('r', 'l'): 1}",pél lors,Auros-bis,{'s': 1},{},"{('e', 'é'): 1, ('r', 'l'): 1}"
pél lors,Auros-bis,per lors,Andernos-les-Bains,{},{},"{('é', 'e'): 1, ('l', 'r'): 1}",per lor,Ailas,{},{'s': 1},"{('é', 'e'): 1, ('l', 'r'): 1}",,,,,
pelor,Auros,pellors,Brannens,"{'l': 1, 's': 1}",{},{},,,,,,,,,,
pélors,Barie,,,,,,,,,,,,,,,
pellors,Brannens,pelor,Auros,{},"{'l': 1, 's': 1}",{},pélors,Castillon-de-Castets,{},{'l': 1},"{('e', 'é'): 1}",,,,,
pélors,Castillon-de-Castets,pellors,Brannens,{'e': 1},{},"{('é', 'l'): 1}",,,,,,,,,,
pélor,Coimères,peur lor,Arès,"{'e': 1, 'u': 1, 'r': 1}",{},"{('é', ' '): 1}",pélor,Lados,{},{},{},,,,,
pélor,Lados,pélor,Coimères,{},{},{},,,,,,,,,,
péllors,Pondaurat,,,,,,,,,,,,,,,
