Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
pér,Andernos-les-Bains,per,Bazas-bis,{},{},"{('é', 'e'): 1}",per,Auros-bis,{},{},"{('é', 'e'): 1}",per,Audenge-bis,{},{},"{('é', 'e'): 1}"
pre,Arès,pér,Savignac,{'é': 1},{'e': 1},{},pér,Ailas,{'é': 1},{'e': 1},{},père,Coimères,{'è': 1},{},{}
per,Audenge-bis,pér,Andernos-les-Bains,{},{},"{('e', 'é'): 1}",pér,Le Porge,{},{},"{('e', 'é'): 1}",peur,Saint-Étienne-de-Lisse,{'u': 1},{},{}
pér,Audenge,per,Lignan-de-Bazas,{},{},"{('é', 'e'): 1}",peur,Belin-Béliet,{'e': 1},{},"{('é', 'u'): 1}",,,,,
per,Biganos,per,Blanquefort-bis,{},{},{},,,,,,,,,,
peur,Lacanau-de-Mios,per,Eysines,{},{'u': 1},{},peur,Carbon-Blanc-bis,{},{},{},,,,,
peur,Lanton,per,Macau,{},{'u': 1},{},per,Castelnau-de-Médoc,{},{'u': 1},{},per,Saint-Loubès,{},{'u': 1},{}
per,Lège,pér,Pompogne,{},{},"{('e', 'é'): 1}",pré,Saint-Sulpice-et-Cameyrac,{},{},"{('e', 'r'): 1, ('r', 'é'): 1}",,,,,
peur,Mios,pér,Ailas,{},{'u': 1},"{('e', 'é'): 1}",pér,Saint-Maixant,{},{'u': 1},"{('e', 'é'): 1}",,,,,
pér,Ailas,pre,Arès,{},{},"{('é', 'r'): 1, ('r', 'e'): 1}",peur,Mios,{'e': 1},{},"{('é', 'u'): 1}",per,Auros-bis,{},{},"{('é', 'e'): 1}"
per,Auros-bis,pér,Andernos-les-Bains,{},{},"{('e', 'é'): 1}",pér,Ailas,{},{},"{('e', 'é'): 1}",pér,Meylan,{},{},"{('e', 'é'): 1}"
per,Auros,per,Bordeaux,{},{},{},per,Sainte-Foy-la-Grande-bis,{},{},{},pér,Brannens,{},{},"{('e', 'é'): 1}"
per,Barie,pre,Yvrac,{'r': 1},{'r': 1},{},,,,,,,,,,
pér,Brannens,per,Auros,{},{},"{('é', 'e'): 1}",per,Castillon-de-Castets,{},{},"{('é', 'e'): 1}",,,,,
per,Castillon-de-Castets,pér,Saint-Médard-en-Jalles,{},{},"{('e', 'é'): 1}",pér,Boé,{},{},"{('e', 'é'): 1}",pér,Brannens,{},{},"{('e', 'é'): 1}"
père,Coimères,pre,Arès,{},{'è': 1},{},pér,Cudos,{},{'e': 1},"{('è', 'é'): 1}",pér,Lados,{},{'e': 1},"{('è', 'é'): 1}"
pér,Lados,pér,Gans,{},{},{},pér,Puybarban,{},{},{},père,Coimères,{'e': 1},{},"{('é', 'è'): 1}"
per,Pondaurat,pré,Blaignan,{},{},"{('e', 'r'): 1, ('r', 'é'): 1}",per,Bescat,{},{},{},,,,,
pér,Puybarban,pér,Lados,{},{},{},pér,Le Bouscat,{},{},{},pér,Savignac,{},{},{}
