Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
presoune,Andernos-les-Bains,persoune,Bazas-bis,{'e': 1},{'e': 1},{},peursoune,Auros-bis,"{'e': 1, 'u': 1}",{'e': 1},{},persoune,Audenge-bis,{'e': 1},{'e': 1},{}
persoune,Arès,persoune,Savignac,{},{},{},pressoune,Ailas,{'r': 1},{},"{('r', 's'): 1}",persoune,Coimères,{},{},{}
persoune,Audenge-bis,presoune,Andernos-les-Bains,{'r': 1},{'r': 1},{},peursounne,Le Porge,"{'u': 1, 'n': 1}",{},{},peursoune,Saint-Étienne-de-Lisse,{'u': 1},{},{}
presoune,Audenge,persoune,Lignan-de-Bazas,{'e': 1},{'e': 1},{},peursoune,Belin-Béliet,"{'e': 1, 'u': 1}",{'e': 1},{},,,,,
presoune,Biganos,persounne,Blanquefort-bis,"{'e': 1, 'n': 1}",{'e': 1},{},,,,,,,,,,
pressoune,Lacanau-de-Mios,peursoune,Eysines,{},{},"{('r', 'e'): 1, ('e', 'u'): 1, ('s', 'r'): 1}",pérsoune,Carbon-Blanc-bis,{'é': 1},"{'e': 1, 's': 1}",{},,,,,
persoune,Lanton,persoune,Macau,{},{},{},peursoune,Castelnau-de-Médoc,{'u': 1},{},{},persoune,Saint-Loubès,{},{},{}
persoune,Lège,peursoune,Saint-Sulpice-et-Cameyrac,{'u': 1},{},{},,,,,,,,,,
pèrsoune,Mios,pressoune,Ailas,{'r': 1},{},"{('è', 'e'): 1, ('r', 's'): 1}",pérsouno,Saint-Maixant,{},{},"{('è', 'é'): 1, ('e', 'o'): 1}",,,,,
pressoune,Ailas,persoune,Arès,{},{'r': 1},"{('s', 'r'): 1}",pèrsoune,Mios,{'è': 1},"{'e': 1, 's': 1}",{},peursoune,Auros-bis,{},{},"{('r', 'e'): 1, ('e', 'u'): 1, ('s', 'r'): 1}"
peursoune,Auros-bis,presoune,Andernos-les-Bains,{'r': 1},"{'u': 1, 'r': 1}",{},pressoune,Ailas,{'r': 1},{'r': 1},"{('u', 's'): 1}",,,,,
peursoune,Auros,presoune,Bordeaux,{'r': 1},"{'u': 1, 'r': 1}",{},pérsoune,Sainte-Foy-la-Grande-bis,{},{'u': 1},"{('e', 'é'): 1}",persoune,Brannens,{},{'u': 1},{}
persoune,Barie,persouna,Yvrac,{},{},"{('e', 'a'): 1}",,,,,,,,,,
persoune,Brannens,peursoune,Auros,{'u': 1},{},{},persoune,Castillon-de-Castets,{},{},{},,,,,
persoune,Castillon-de-Castets,peursoune,Saint-Médard-en-Jalles,{'u': 1},{},{},persoune,Brannens,{},{},{},,,,,
persoune,Coimères,persoune,Arès,{},{},{},peursoune,Cudos,{'u': 1},{},{},persoune,Lados,{},{},{}
persoune,Lados,persoune,Gans,{},{},{},peursoune,Puybarban,{'u': 1},{},{},persoune,Coimères,{},{},{}
persoune,Pondaurat,persouna,Blaignan,{},{},"{('e', 'a'): 1}",,,,,,,,,,
peursoune,Puybarban,persoune,Lados,{},{'u': 1},{},persounne,Le Bouscat,{'n': 1},{'u': 1},{},persoune,Savignac,{},{'u': 1},{}
persoune,Savignac,persoune,Sigalens,{},{},{},persoune,Arès,{},{},{},peursoune,Puybarban,{'u': 1},{},{}
persoune,Sigalens,soune,Caudéran,{},"{'p': 1, 'e': 1, 'r': 1}",{},persoune,Savignac,{},{},{},peursounne,Bayon-sur-Gironde,"{'u': 1, 'n': 1}",{},{}
persoune,Bazas-bis,persoune,Bazas,{},{},{},presoune,Andernos-les-Bains,{'r': 1},{'r': 1},{},,,,,
persoune,Bazas,persounne,Cazats,{'n': 1},{},{},persoune,Bazas-bis,{},{},{},,,,,
persoune,Bernos-Beaulac,persoune,Birac,{},{},{},peursounne,Saumos,"{'u': 1, 'n': 1}",{},{},persoune,Gajac,{},{},{}
persoune,Birac,peursoune,Saint-Magne-de-Castillon,{'u': 1},{},{},persoune,Bernos-Beaulac,{},{},{},persounne,Cazats,{'n': 1},{},{}
persounne,Cazats,peursoune,Cudos,{'u': 1},{'n': 1},{},persoune,Bazas,{},{'n': 1},{},persoune,Birac,{},{'n': 1},{}
peursoune,Cudos,persoune,Coimères,{},{'u': 1},{},persounne,Cazats,{'n': 1},{'u': 1},{},persoune,Gans,{},{'u': 1},{}
persoune,Gajac,peursoune,Belvès-de-Castillon,{'u': 1},{},{},persoune,Gans,{},{},{},persoune,Bernos-Beaulac,{},{},{}
persoune,Gans,persoune,Gajac,{},{},{},persoune,Lados,{},{},{},peursoune,Cudos,{'u': 1},{},{}
persoune,Le Nizan,persoune,Prignac-et-Marcamps,{},{},{},peursounne,Gauriac,"{'u': 1, 'n': 1}",{},{},persoune,Saint-Antoine-sur-l'Isle,{},{},{}
persoune,Lignan-de-Bazas,presoune,Audenge,{'r': 1},{'r': 1},{},peursoune,Lansac,{'u': 1},{},{},persoune,Béliet,{},{},{}
persoune,Saint-Côme,pressoune,Bonnetan,{'r': 1},{},"{('r', 's'): 1}",persoune,Saint-Trojan,{},{},{},persoune,Béliet,{},{},{}
persoune,Béliet,peursoune,Belin-Béliet,{'u': 1},{},{},persoune,Lignan-de-Bazas,{},{},{},persoune,Saint-Côme,{},{},{}
peursoune,Belin-Béliet,persounne,Cadillac-en-Fronsadais,{'n': 1},{'u': 1},{},presoune,Audenge,{'r': 1},"{'u': 1, 'r': 1}",{},persoune,Béliet,{},{'u': 1},{}
peursoune,Joué,presoune,Le Barp,{'r': 1},"{'u': 1, 'r': 1}",{},persouno,Tabanac,{},{'u': 1},"{('e', 'o'): 1}",,,,,
presoune,Le Barp,peursoune,Cabara,"{'e': 1, 'u': 1}",{'e': 1},{},peursoune,Joué,"{'e': 1, 'u': 1}",{'e': 1},{},,,,,
pérsoune,Lugos,presoune,Saint-Magne,{},{},"{('é', 'r'): 1, ('r', 'e'): 1}",pérsounne,Salles-bis,{'n': 1},{},{},,,,,
presoune,Saint-Magne,persoune,Salles,{'e': 1},{'e': 1},{},pérsoune,Lugos,{'é': 1},{'e': 1},{},persoune,Saint-Romain-la-Virvée,{'e': 1},{'e': 1},{}
pérsounne,Salles-bis,pérsoune,Lugos,{},{'n': 1},{},peursoune,Génissac,{'e': 1},{'n': 1},"{('é', 'u'): 1}",,,,,
persoune,Salles,presoune,Saint-Magne,{'r': 1},{'r': 1},{},persoune,Saint-Quentin-de-Baron,{},{},{},,,,,
persounne,Blanquefort-bis,pérsoune,Langoiran,{},{'n': 1},"{('e', 'é'): 1}",presoune,Biganos,{'r': 1},"{'r': 1, 'n': 1}",{},persounou,Blanquefort,{},{},"{('n', 'o'): 1, ('e', 'u'): 1}"
persounou,Blanquefort,persounne,Blanquefort-bis,{},{},"{('o', 'n'): 1, ('u', 'e'): 1}",persouno,La Réole,{},{'u': 1},{},,,,,
persoune,Caychac,persoune,Omet,{},{},{},peursoune,Eysines,{'u': 1},{},{},peursounne,Giscos,"{'u': 1, 'n': 1}",{},{}
peursoune,Eysines,persoune,Caychac,{},{'u': 1},{},pressoune,Lacanau-de-Mios,{'r': 1},{'r': 1},"{('u', 's'): 1}",peursoune,Le Haillan,{},{},{}
peursoune,Le Haillan,persoune,Le Pian-Médoc,{},{'u': 1},{},peursoune,Eysines,{},{},{},,,,,
persoune,Le Pian-Médoc,peursoune,Le Haillan,{'u': 1},{},{},,,,,,,,,,
persounou,Le Taillan-Médoc,persoune,Sainte-Croix-du-Mont,{},{'u': 1},"{('o', 'e'): 1}",peursoune,Bassens,{'u': 1},{'u': 1},"{('o', 'e'): 1}",pérsouno,Landerrouat,{},{'u': 1},"{('e', 'é'): 1}"
persoune,Ludon-Médoc,persoune,Macau,{},{},{},,,,,,,,,,
persoune,Macau,persoune,Ludon-Médoc,{},{},{},persoune,Lanton,{},{},{},,,,,
persounne,Parempuyre,persoune,Arcins,{},{'n': 1},{},peursoune,Arsac,{'u': 1},{'n': 1},{},,,,,
persoune,Saint-Aubin-de-Médoc,persoune,Labarde,{},{},{},,,,,,,,,,
peursoune,Saint-Médard-en-Jalles,persoune,Margaux,{},{'u': 1},{},persoune,Castillon-de-Castets,{},{'u': 1},{},persoune,Moulis-en-Médoc-bis,{},{'u': 1},{}
persounne,Bègles,pérsouno,Lugon-et-l'Île-du-Carnay,{},{'e': 1},"{('e', 'é'): 1, ('n', 'o'): 1}",peursoune,Moulis-en-Médoc,{'u': 1},{'n': 1},{},,,,,
presoune,Bordeaux,peursoune,Auros,"{'e': 1, 'u': 1}",{'e': 1},{},,,,,,,,,,
persoune,Bruges,persouna,Bégadan,{},{},"{('e', 'a'): 1}",soune,Caudéran,{},"{'p': 1, 'e': 1, 'r': 1}",{},,,,,
soune,Caudéran,persoune,Bruges,"{'p': 1, 'e': 1, 'r': 1}",{},{},persoune,Sigalens,"{'p': 1, 'e': 1, 'r': 1}",{},{},peursounne,Bayon-sur-Gironde,"{'p': 1, 'e': 1, 'u': 1, 'r': 1, 'n': 1}",{},{}
persoune,Chartrons,peursoune,Sainte-Colombe,{'u': 1},{},{},peursoune,Salaunes,{'u': 1},{},{},,,,,
persounne,Le Bouscat,peursoune,Puybarban,{'u': 1},{'n': 1},{},persoune,Castillon-la-Bataille-bis,{},{'n': 1},{},peursounne,Bayon-sur-Gironde,{'u': 1},{},{}
peursounne,Bayon-sur-Gironde,soune,Caudéran,{},"{'p': 1, 'e': 1, 'u': 1, 'r': 1, 'n': 1}",{},persoune,Sigalens,{},"{'u': 1, 'n': 1}",{},persounne,Le Bouscat,{},{'u': 1},{}
persoune,Bourg-bis,persoune,Castres-Gironde,{},{},{},pérsoune,Castillon-la-Bataille,{},{},"{('e', 'é'): 1}",persouna,Bahus-Soubiran,{},{},"{('e', 'a'): 1}"
peursoune,Bourg,persoune,Comps,{},{'u': 1},{},pérsouno,Rivière-Saas-et-Gourby,{},{'u': 1},"{('e', 'é'): 1, ('e', 'o'): 1}",persoune,Baron,{},{'u': 1},{}
persoune,Comps,peursounne,Gauriac,"{'u': 1, 'n': 1}",{},{},peursoune,Bourg,{'u': 1},{},{},,,,,
peursounne,Gauriac,persoune,Le Nizan,{},"{'u': 1, 'n': 1}",{},persoune,Comps,{},"{'u': 1, 'n': 1}",{},persoune,Baurech,{},"{'u': 1, 'n': 1}",{}
peursoune,Lansac,persoune,Lignan-de-Bazas,{},{'u': 1},{},persounne,Marcamps,{'n': 1},{'u': 1},{},persoune,Saint-Loubouer,{},{'u': 1},{}
persounne,Marcamps,persoune,Prignac-et-Marcamps,{},{'n': 1},{},peursoune,Lansac,{'u': 1},{'n': 1},{},,,,,
persoune,Prignac-et-Marcamps,persounne,Marcamps,{'n': 1},{},{},persoune,Le Nizan,{},{},{},pérsouno,Renung,{},{},"{('e', 'é'): 1, ('e', 'o'): 1}"
peursoune,Saint-Seurin-de-Bourg,persounna,Saint-Pandelon,{'n': 1},{'u': 1},"{('e', 'a'): 1}",persoune,Samonac,{},{'u': 1},{},persoune,Baron,{},{'u': 1},{}
persoune,Saint-Trojan,persoune,Saint-Côme,{},{},{},persoune,Tauriac,{},{},{},persoune,Samonac,{},{},{}
persoune,Samonac,peursoune,Saint-Seurin-de-Bourg,{'u': 1},{},{},persouno,Fronsac,{},{},"{('e', 'o'): 1}",persoune,Saint-Trojan,{},{},{}
persoune,Tauriac,persoune,Saint-Trojan,{},{},{},persouno,Camarsac,{},{},"{('e', 'o'): 1}",persoune,Baron,{},{},{}
