Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
pla,Andernos-les-Bains,pla,Bazas-bis,{},{},{},pla,Auros-bis,{},{},{},pla,Audenge-bis,{},{},{}
pla,Arès,pla,Savignac,{},{},{},pla,Ailas,{},{},{},pla,Coimères,{},{},{}
pla,Audenge-bis,pla,Andernos-les-Bains,{},{},{},pla,Le Porge,{},{},{},pla,Saint-Étienne-de-Lisse,{},{},{}
pla,Audenge,pla,Lignan-de-Bazas,{},{},{},pla,Belin-Béliet,{},{},{},,,,,
pla,Biganos,pla,Blanquefort-bis,{},{},{},,,,,,,,,,
pla,Lacanau-de-Mios,pla,Eysines,{},{},{},pla,Carbon-Blanc-bis,{},{},{},,,,,
pla,Lanton,pla,Macau,{},{},{},pla,Castelnau-de-Médoc,{},{},{},pla,Saint-Loubès,{},{},{}
pla,Lège,pla,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,,,,,,
pla,Mios,pla,Ailas,{},{},{},pla,Saint-Maixant,{},{},{},,,,,
pla,Ailas,pla,Arès,{},{},{},pla,Mios,{},{},{},pla,Auros-bis,{},{},{}
pla,Auros-bis,pla,Andernos-les-Bains,{},{},{},pla,Ailas,{},{},{},,,,,
pla,Auros,pla,Bordeaux,{},{},{},plan,Sainte-Foy-la-Grande-bis,{'n': 1},{},{},pla,Brannens,{},{},{}
pla,Barie,pla,Yvrac,{},{},{},,,,,,,,,,
pla,Brannens,pla,Auros,{},{},{},pla,Castillon-de-Castets,{},{},{},,,,,
pla,Castillon-de-Castets,pla,Saint-Médard-en-Jalles,{},{},{},pla,Brannens,{},{},{},,,,,
pla,Coimères,pla,Arès,{},{},{},pla,Cudos,{},{},{},pla,Lados,{},{},{}
pla,Lados,pla,Gans,{},{},{},pla,Puybarban,{},{},{},pla,Coimères,{},{},{}
plan,Pondaurat,pla,Blaignan,{},{'n': 1},{},,,,,,,,,,
pla,Puybarban,pla,Lados,{},{},{},pla,Le Bouscat,{},{},{},pla,Savignac,{},{},{}
pla,Savignac,pla,Sigalens,{},{},{},pla,Arès,{},{},{},pla,Puybarban,{},{},{}
pla,Sigalens,pla,Caudéran,{},{},{},pla,Savignac,{},{},{},pla,Bayon-sur-Gironde,{},{},{}
