Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
plus,Andernos-les-Bains,pu,Bazas-bis,{},"{'l': 1, 's': 1}",{},pu,Auros-bis,{},"{'l': 1, 's': 1}",{},pu,Audenge-bis,{},"{'l': 1, 's': 1}",{}
pu,Arès,plus,Savignac,"{'l': 1, 's': 1}",{},{},pu,Ailas,{},{},{},pu,Coimères,{},{},{}
pu,Audenge-bis,plus,Andernos-les-Bains,"{'l': 1, 's': 1}",{},{},plus,Le Porge,"{'l': 1, 's': 1}",{},{},pu,Saint-Étienne-de-Lisse,{},{},{}
pu,Audenge,pu,Lignan-de-Bazas,{},{},{},pu,Belin-Béliet,{},{},{},,,,,
pus,Biganos,pus,Blanquefort-bis,{},{},{},,,,,,,,,,
pu,Lacanau-de-Mios,pus,Eysines,{'s': 1},{},{},plus,Carbon-Blanc-bis,"{'l': 1, 's': 1}",{},{},,,,,
pu,Lanton,plus,Macau,"{'l': 1, 's': 1}",{},{},plus,Castelnau-de-Médoc,"{'l': 1, 's': 1}",{},{},plus,Saint-Loubès,"{'l': 1, 's': 1}",{},{}
pu,Lège,pu,Pompogne,{},{},{},plus,Saint-Sulpice-et-Cameyrac,"{'l': 1, 's': 1}",{},{},,,,,
pur,Mios,pu,Ailas,{},{'r': 1},{},plus,Saint-Maixant,{'l': 1},{},"{('r', 's'): 1}",,,,,
pu,Ailas,pu,Arès,{},{},{},pur,Mios,{'r': 1},{},{},pu,Auros-bis,{},{},{}
pu,Auros-bis,plus,Andernos-les-Bains,"{'l': 1, 's': 1}",{},{},pu,Ailas,{},{},{},pû,Meylan,{},{},"{('u', 'û'): 1}"
pu,Auros,pu,Bordeaux,{},{},{},plus,Sainte-Foy-la-Grande-bis,"{'l': 1, 's': 1}",{},{},pu,Brannens,{},{},{}
pus,Barie,plus,Yvrac,{'l': 1},{},{},,,,,,,,,,
pu,Brannens,pu,Auros,{},{},{},pu,Castillon-de-Castets,{},{},{},,,,,
pu,Castillon-de-Castets,pu,Saint-Médard-en-Jalles,{},{},{},püs,Boé,{'ü': 1},{},"{('u', 's'): 1}",pu,Brannens,{},{},{}
pu,Coimères,pu,Arès,{},{},{},pu,Cudos,{},{},{},pu,Lados,{},{},{}
pu,Lados,pu,Gans,{},{},{},plus,Puybarban,"{'l': 1, 's': 1}",{},{},pu,Coimères,{},{},{}
pu,Pondaurat,pus,Blaignan,{'s': 1},{},{},,,,,,,,,,
plus,Puybarban,pu,Lados,{},"{'l': 1, 's': 1}",{},pu,Le Bouscat,{},"{'l': 1, 's': 1}",{},plus,Savignac,{},{},{}
