Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
porcs,Andernos-les-Bains,porcs,Bazas-bis,{},{},{},porcs,Auros-bis,{},{},{},porcs,Audenge-bis,{},{},{}
porcs,Arès,porcs,Savignac,{},{},{},porcs,Ailas,{},{},{},porcs,Coimères,{},{},{}
porcs,Audenge-bis,porcs,Andernos-les-Bains,{},{},{},por,Le Porge,{},"{'c': 1, 's': 1}",{},porcs,Saint-Étienne-de-Lisse,{},{},{}
porcs,Audenge,por,Saint-Léon-sur-l'Isle,{},"{'c': 1, 's': 1}",{},porcss,Lignan-de-Bazas,{'s': 1},{},{},porcs,Belin-Béliet,{},{},{}
porcs,Biganos,porcs,Lussas,{},{},{},porcs,Blanquefort-bis,{},{},{},,,,,
porcs,Lacanau-de-Mios,porcs,Eysines,{},{},{},porcs,Carbon-Blanc-bis,{},{},{},,,,,
porcs,Lanton,porcs,Macau,{},{},{},pórcs,Castelnau-de-Médoc,{},{},"{('o', 'ó'): 1}",porcs,Saint-Loubès,{},{},{}
porcs,Lège,porcs,Pompogne,{},{},{},porcs,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
porcs,Mios,porcs,Ailas,{},{},{},por,Saint-Maixant,{},"{'c': 1, 's': 1}",{},,,,,
porcs,Ailas,porcs,Arès,{},{},{},porcs,Mios,{},{},{},porcs,Auros-bis,{},{},{}
porcs,Auros-bis,porcs,Andernos-les-Bains,{},{},{},porcs,Ailas,{},{},{},porcs,Meylan,{},{},{}
porcs,Auros,porcs,Bordeaux,{},{},{},porcs,Sainte-Foy-la-Grande-bis,{},{},{},porcs,Brannens,{},{},{}
porcs,Barie,porcs,Yvrac,{},{},{},por,Atur,{},"{'c': 1, 's': 1}",{},,,,,
porcs,Brannens,pors,Bassillac,{},{'c': 1},{},porcs,Auros,{},{},{},porcs,Castillon-de-Castets,{},{},{}
porcs,Castillon-de-Castets,porcs,Saint-Médard-en-Jalles,{},{},{},pors,Boé,{},{'c': 1},{},porcs,Brannens,{},{},{}
porcs,Coimères,porcs,Arès,{},{},{},porcs,Cudos,{},{},{},porcs,Lados,{},{},{}
porcs,Lados,porcs,Gans,{},{},{},porcs,Puybarban,{},{},{},porcs,Coimères,{},{},{}
porcs,Pondaurat,porcs,Blaignan,{},{},{},porcs,Bescat,{},{},{},,,,,
porcs,Puybarban,porcs,Lados,{},{},{},porcs,Le Bouscat,{},{},{},porcs,Savignac,{},{},{}
porcs,Savignac,porcs,Sigalens,{},{},{},porcs,Arès,{},{},{},porcs,Puybarban,{},{},{}
porcs,Sigalens,porcs,Caudéran,{},{},{},porcs,Savignac,{},{},{},porcs,Bayon-sur-Gironde,{},{},{}
porcs,Bazas-bis,porcs,Bazas,{},{},{},porcs,Andernos-les-Bains,{},{},{},porcs,Saint-Aubin,{},{},{}
porcs,Bazas,porcs,Cazats,{},{},{},porcs,Bazas-bis,{},{},{},porcs,Prats-de-Carlux,{},{},{}
porcs,Bernos-Beaulac,porcs,Birac,{},{},{},por,Saumos,{},"{'c': 1, 's': 1}",{},porcs,Gajac,{},{},{}
porcs,Birac,porcs,Saint-Magne-de-Castillon,{},{},{},porcs,Bernos-Beaulac,{},{},{},porcs,Cazats,{},{},{}
porcs,Cazats,porcs,Cudos,{},{},{},porcs,Bazas,{},{},{},porcs,Birac,{},{},{}
porcs,Cudos,porcs,Coimères,{},{},{},porcs,Cazats,{},{},{},porcs,Gans,{},{},{}
porcs,Gajac,porcs,Belvès-de-Castillon,{},{},{},porcs,Gans,{},{},{},porcs,Bernos-Beaulac,{},{},{}
porcs,Gans,porcs,Gajac,{},{},{},porcs,Lados,{},{},{},porcs,Cudos,{},{},{}
procs,Le Nizan,porcs,Prignac-et-Marcamps,{'o': 1},{'o': 1},{},porcs,Gauriac,{'o': 1},{'o': 1},{},porcs,Saint-Antoine-sur-l'Isle,{'o': 1},{'o': 1},{}
porcss,Lignan-de-Bazas,porcs,Audenge,{},{'s': 1},{},porcs,Lansac,{},{'s': 1},{},pocs,Béliet,{},"{'r': 1, 's': 1}",{}
porcs,Saint-Côme,porcs,Bonnetan,{},{},{},porcs,Saint-Trojan,{},{},{},pocs,Béliet,{},{'r': 1},{}
