Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
pourrits,Andernos-les-Bains,pourrits,Bazas-bis,{},{},{},pourrits,Auros-bis,{},{},{},pourrits,Audenge-bis,{},{},{}
pourrits,Arès,pourrits,Savignac,{},{},{},pourrits,Ailas,{},{},{},pourrits,Coimères,{},{},{}
pourrits,Audenge-bis,pourrits,Andernos-les-Bains,{},{},{},pourits,Le Porge,{},{'r': 1},{},pourris,Saint-Étienne-de-Lisse,{},{'t': 1},{}
pourrits,Audenge,po͞uirido,Saint-Léon-sur-l'Isle,{'͞': 1},{},"{('r', 'i'): 1, ('t', 'd'): 1, ('s', 'o'): 1}",pourritts,Lignan-de-Bazas,{'t': 1},{},{},pourrits,Belin-Béliet,{},{},{}
pourrits,Biganos,pouyrits,Lussas,{},{},"{('r', 'y'): 1}",pourrits,Blanquefort-bis,{},{},{},,,,,
pourrits,Lacanau-de-Mios,pourrits,Eysines,{},{},{},pourrits,Carbon-Blanc-bis,{},{},{},,,,,
pourrits,Lanton,pourrits,Macau,{},{},{},pourrits,Castelnau-de-Médoc,{},{},{},pourrits,Saint-Loubès,{},{},{}
pourrits,Lège,pourrido,Pompogne,{},{},"{('t', 'd'): 1, ('s', 'o'): 1}",pourris,Saint-Sulpice-et-Cameyrac,{},{'t': 1},{},,,,,
pourrits,Mios,pourrits,Ailas,{},{},{},pourrits,Saint-Maixant,{},{},{},,,,,
pourrits,Ailas,pourrits,Arès,{},{},{},pourrits,Mios,{},{},{},pourrits,Auros-bis,{},{},{}
pourrits,Auros-bis,pourrits,Andernos-les-Bains,{},{},{},pourrits,Ailas,{},{},{},pourrides,Meylan,{'d': 1},{},"{('t', 'e'): 1}"
pourrits,Auros,pourrits,Bordeaux,{},{},{},pourrits,Sainte-Foy-la-Grande-bis,{},{},{},pourritz,Brannens,{},{},"{('s', 'z'): 1}"
pourritz,Barie,pourrits,Yvrac,{},{},"{('z', 's'): 1}",pouïrido,Atur,{},{},"{('r', 'ï'): 1, ('t', 'd'): 1, ('z', 'o'): 1}",,,,,
pourritz,Brannens,pouïrîdo,Bassillac,{},{},"{('r', 'ï'): 1, ('i', 'î'): 1, ('t', 'd'): 1, ('z', 'o'): 1}",pourrits,Auros,{},{},"{('z', 's'): 1}",pourritz,Castillon-de-Castets,{},{},{}
pourritz,Castillon-de-Castets,pourrits,Saint-Médard-en-Jalles,{},{},"{('z', 's'): 1}",pourrits,Boé,{},{},"{('z', 's'): 1}",pourritz,Brannens,{},{},{}
pourrits,Coimères,pourrits,Arès,{},{},{},pourrits,Cudos,{},{},{},pourrits,Lados,{},{},{}
pourrits,Lados,pourrits,Gans,{},{},{},pourrits,Puybarban,{},{},{},pourrits,Coimères,{},{},{}
pourrits,Pondaurat,pourride,Blaignan,{},{},"{('t', 'd'): 1, ('s', 'e'): 1}",pouirits,Bescat,{},{},"{('r', 'i'): 1}",,,,,
pourrits,Puybarban,pourrits,Lados,{},{},{},pourits,Le Bouscat,{},{'r': 1},{},pourrits,Savignac,{},{},{}
pourrits,Savignac,pourrits,Sigalens,{},{},{},pourrits,Arès,{},{},{},pourrits,Puybarban,{},{},{}
pourrits,Sigalens,pourrits,Caudéran,{},{},{},pourrits,Savignac,{},{},{},pourrits,Bayon-sur-Gironde,{},{},{}
pourrits,Bazas-bis,pourrits,Bazas,{},{},{},pourrits,Andernos-les-Bains,{},{},{},pourrits,Saint-Aubin,{},{},{}
pourrits,Bazas,pourrits,Cazats,{},{},{},pourrits,Bazas-bis,{},{},{},pouyri,Prats-de-Carlux,{},"{'t': 1, 's': 1}","{('r', 'y'): 1}"
pourrits,Bernos-Beaulac,pourrits,Birac,{},{},{},pourris,Saumos,{},{'t': 1},{},pourrits,Gajac,{},{},{}
pourrits,Birac,pourri,Saint-Magne-de-Castillon,{},"{'t': 1, 's': 1}",{},pourrits,Bernos-Beaulac,{},{},{},pourrits,Cazats,{},{},{}
pourrits,Cazats,pourrits,Cudos,{},{},{},pourrits,Bazas,{},{},{},pourrits,Birac,{},{},{}
pourrits,Cudos,pourrits,Coimères,{},{},{},pourrits,Cazats,{},{},{},pourrits,Gans,{},{},{}
pourrits,Gajac,pourris,Belvès-de-Castillon,{},{'t': 1},{},pourrits,Gans,{},{},{},pourrits,Bernos-Beaulac,{},{},{}
pourrits,Gans,pourrits,Gajac,{},{},{},pourrits,Lados,{},{},{},pourrits,Cudos,{},{},{}
pourrits,Le Nizan,pourrïs,Prignac-et-Marcamps,{},{'t': 1},"{('i', 'ï'): 1}",pourrits,Gauriac,{},{},{},pourris,Saint-Antoine-sur-l'Isle,{},{'t': 1},{}
pourritts,Lignan-de-Bazas,pourrits,Audenge,{},{'t': 1},{},pourrit,Lansac,{},"{'t': 1, 's': 1}",{},pourrits,Béliet,{},{'t': 1},{}
pourrits,Saint-Côme,pourrits,Bonnetan,{},{},{},pourrits,Saint-Trojan,{},{},{},pourrits,Béliet,{},{},{}
pourrits,Béliet,pourrits,Belin-Béliet,{},{},{},pourritts,Lignan-de-Bazas,{'t': 1},{},{},pourrits,Saint-Côme,{},{},{}
pourrits,Belin-Béliet,pourriss,Cadillac-en-Fronsadais,{},{},"{('t', 's'): 1}",pourrits,Audenge,{},{},{},pourrits,Béliet,{},{},{}
pourrits,Joué,pourrits,Le Barp,{},{},{},pouyrits,Lansac,{},{},"{('r', 'y'): 1}",pourris,Tabanac,{},{'t': 1},{}
pourrits,Le Barp,pouyrits,Cabara,{},{},"{('r', 'y'): 1}",pourrits,Joué,{},{},{},,,,,
pourrits,Lugos,pourrits,Saint-Magne,{},{},{},pourrits,Salles-bis,{},{},{},,,,,
pourrits,Saint-Magne,pourrits,Salles,{},{},{},pourrits,Lugos,{},{},{},pourrits,Saint-Romain-la-Virvée,{},{},{}
pourrits,Salles-bis,pourrits,Lugos,{},{},{},pourrits,Génissac,{},{},{},pouyrits,Osse-en-Aspe,{},{},"{('r', 'y'): 1}"
pourrits,Salles,pouyrits,Saint-Sulpice-de-Mareuil,{},{},"{('r', 'y'): 1}",pourrits,Saint-Magne,{},{},{},pourrits,Saint-Quentin-de-Baron,{},{},{}
pourrits,Blanquefort-bis,pourris,Langoiran,{},{'t': 1},{},pourrits,Biganos,{},{},{},pourrits,Blanquefort,{},{},{}
pourrits,Blanquefort,pourrits,Blanquefort-bis,{},{},{},pouyrits,Ychoux,{},{},"{('r', 'y'): 1}",pourrits,La Réole,{},{},{}
pourrits,Caychac,pourrits,Omet,{},{},{},pourrits,Eysines,{},{},{},pourrits,Giscos,{},{},{}
pourrits,Eysines,pourrits,Caychac,{},{},{},pourrits,Lacanau-de-Mios,{},{},{},pourrits,Le Haillan,{},{},{}
pourrits,Le Haillan,pourrits,Le Pian-Médoc,{},{},{},pouïrits,Bénesse-Maremne,{},{},"{('r', 'ï'): 1}",pourrits,Eysines,{},{},{}
pourrits,Le Pian-Médoc,pouyrits,Josse,{},{},"{('r', 'y'): 1}",pourrits,Le Haillan,{},{},{},pouyrits,Montgaillard,{},{},"{('r', 'y'): 1}"
pourrits,Le Taillan-Médoc,pourrits,Sainte-Croix-du-Mont,{},{},{},pourrits,Bassens,{},{},{},pourris,Landerrouat,{},{'t': 1},{}
pourrits,Ludon-Médoc,pourrits,Agnac,{},{},{},pourrits,Macau,{},{},{},,,,,
pourrits,Macau,pourrits,Ludon-Médoc,{},{},{},pourrits,Lanton,{},{},{},pourrits,Lauzun,{},{},{}
pourrits,Parempuyre,pourrit,Arcins,{},{'s': 1},{},pourrits,Arsac,{},{},{},,,,,
pourrits,Saint-Aubin-de-Médoc,pourrits,Feugarolles,{},{},{},pourrits,Béquin,{},{},{},pourrits,Labarde,{},{},{}
pourrits,Saint-Médard-en-Jalles,pourrits,Margaux,{},{},{},pourritz,Castillon-de-Castets,{},{},"{('s', 'z'): 1}",pourrits,Moulis-en-Médoc-bis,{},{},{}
pouyrits,Bègles,pourrits,Castelnaud-de-Gratecambe,{},{},"{('y', 'r'): 1}",pourrits,Lugon-et-l'Île-du-Carnay,{},{},"{('y', 'r'): 1}",pourrits,Moulis-en-Médoc,{},{},"{('y', 'r'): 1}"
pourrits,Bordeaux,pouyrits,Camalès,{},{},"{('r', 'y'): 1}",pourrits,Auros,{},{},{},pouyrits,Ansost,{},{},"{('r', 'y'): 1}"
pourrits,Bruges,pourrides,Bégadan,{'d': 1},{},"{('t', 'e'): 1}",pourrits,Caudéran,{},{},{},poüyritz,Ribarrouy,{},{},"{('u', 'ü'): 1, ('r', 'y'): 1, ('s', 'z'): 1}"
pourrits,Caudéran,pourrits,Bruges,{},{},{},pourrits,Sigalens,{},{},{},pourrits,Bayon-sur-Gironde,{},{},{}
pourrits,Chartrons,pourris,Sainte-Colombe,{},{'t': 1},{},pouèyrits,Mont-Disse,{'è': 1},{},"{('r', 'y'): 1}",pourri,Salaunes,{},"{'t': 1, 's': 1}",{}
pourits,Le Bouscat,pourrits,Puybarban,{'r': 1},{},{},pourrits,Castillon-la-Bataille-bis,{'r': 1},{},{},pourrits,Bayon-sur-Gironde,{'r': 1},{},{}
pourrits,Bayon-sur-Gironde,pourrits,Caudéran,{},{},{},pourrits,Sigalens,{},{},{},pourits,Le Bouscat,{},{'r': 1},{}
pourrits,Bourg-bis,pourrits,Castres-Gironde,{},{},{},pourris,Castillon-la-Bataille,{},{'t': 1},{},pouyritss,Bahus-Soubiran,{'s': 1},{},"{('r', 'y'): 1}"
pourrit,Bourg,pourrits,Comps,{'s': 1},{},{},pouyrits,Rivière-Saas-et-Gourby,{'s': 1},{},"{('r', 'y'): 1}",pourrit,Baron,{},{},{}
pourrits,Comps,pourrits,Gauriac,{},{},{},pouyrits,Os-Marsillon,{},{},"{('r', 'y'): 1}",pourrit,Bourg,{},{'s': 1},{}
pourrits,Gauriac,pourrits,Le Nizan,{},{},{},pourrits,Comps,{},{},{},pourrits,Baurech,{},{},{}
pourrit,Lansac,pourritts,Lignan-de-Bazas,"{'t': 1, 's': 1}",{},{},pourrits,Marcamps,{'s': 1},{},{},pouyrits,Saint-Loubouer,{'s': 1},{},"{('r', 'y'): 1}"
