Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
quouan,Andernos-les-Bains,quouan,Bazas-bis,{},{},{},qouan,Auros-bis,{},{'u': 1},{},couan̈,Audenge-bis,{'̈': 1},{'u': 1},"{('q', 'c'): 1}"
quan,Arès,can,Savignac,{},{'u': 1},"{('q', 'c'): 1}",couan,Ailas,{'c': 1},{},"{('q', 'o'): 1}",quouand,Coimères,"{'o': 1, 'u': 1, 'd': 1}",{},{}
couan̈,Audenge-bis,quouan,Andernos-les-Bains,{'q': 1},{'̈': 1},"{('c', 'u'): 1}",quand,Le Porge,{},{'o': 1},"{('c', 'q'): 1, ('̈', 'd'): 1}",quan,Saint-Étienne-de-Lisse,{},"{'o': 1, '̈': 1}","{('c', 'q'): 1}"
couan,Audenge,quand,Saint-Léon-sur-l'Isle,{'d': 1},{'o': 1},"{('c', 'q'): 1}",quouan,Lignan-de-Bazas,{'q': 1},{},"{('c', 'u'): 1}",quouan,Belin-Béliet,{'q': 1},{},"{('c', 'u'): 1}"
couann,Biganos,quan,Lussas,{},"{'o': 1, 'n': 1}","{('c', 'q'): 1}",quand,Blanquefort-bis,{},{'o': 1},"{('c', 'q'): 1, ('n', 'd'): 1}",,,,,
couan,Lacanau-de-Mios,quann,Eysines,{'n': 1},{'o': 1},"{('c', 'q'): 1}",quand,Carbon-Blanc-bis,{'d': 1},{'o': 1},"{('c', 'q'): 1}",,,,,
couan,Lanton,quand,Macau,{'d': 1},{'o': 1},"{('c', 'q'): 1}",quand,Castelnau-de-Médoc,{'d': 1},{'o': 1},"{('c', 'q'): 1}",quan,Saint-Loubès,{},{'o': 1},"{('c', 'q'): 1}"
quan,Lège,can,Pompogne,{},{'u': 1},"{('q', 'c'): 1}",quand,Saint-Sulpice-et-Cameyrac,{'d': 1},{},{},,,,,
couann,Mios,couan,Ailas,{},{'n': 1},{},quann,Saint-Maixant,{},{'o': 1},"{('c', 'q'): 1}",,,,,
couan,Ailas,quan,Arès,{},{'o': 1},"{('c', 'q'): 1}",couann,Mios,{'n': 1},{},{},qouan,Auros-bis,{},{},"{('c', 'q'): 1}"
qouan,Auros-bis,quouan,Andernos-les-Bains,{'u': 1},{},{},couan,Ailas,{},{},"{('q', 'c'): 1}",can,Meylan,{},"{'o': 1, 'u': 1}","{('q', 'c'): 1}"
quouan,Auros,quand,Bordeaux,{'d': 1},"{'o': 1, 'u': 1}",{},couann,Sainte-Foy-la-Grande-bis,{'n': 1},{'u': 1},"{('q', 'c'): 1}",couan,Brannens,{},{'u': 1},"{('q', 'c'): 1}"
quand,Barie,can,Yvrac,{},"{'u': 1, 'd': 1}","{('q', 'c'): 1}",quand,Atur,{},{},{},,,,,
couan,Brannens,quand,Bassillac,{'d': 1},{'o': 1},"{('c', 'q'): 1}",quouan,Auros,{'q': 1},{},"{('c', 'u'): 1}",quan,Castillon-de-Castets,{},{'o': 1},"{('c', 'q'): 1}"
quan,Castillon-de-Castets,quan,Saint-Médard-en-Jalles,{},{},{},quouan,Boé,"{'o': 1, 'u': 1}",{},{},couan,Brannens,{'c': 1},{},"{('q', 'o'): 1}"
quouand,Coimères,quan,Arès,{},"{'o': 1, 'u': 1, 'd': 1}",{},couan,Cudos,{},"{'u': 1, 'd': 1}","{('q', 'c'): 1}",quouan,Lados,{},{'d': 1},{}
quouan,Lados,couann,Gans,{'n': 1},{'u': 1},"{('q', 'c'): 1}",quan,Puybarban,{},"{'o': 1, 'u': 1}",{},quouand,Coimères,{'d': 1},{},{}
quand,Pondaurat,quand,Blaignan,{},{},{},quouan,Bescat,"{'o': 1, 'u': 1}",{'d': 1},{},,,,,
quan,Puybarban,quouan,Lados,"{'o': 1, 'u': 1}",{},{},quand,Le Bouscat,{'d': 1},{},{},can,Savignac,{},{'u': 1},"{('q', 'c'): 1}"
