Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
quaouque,Andernos-les-Bains,quaouqué,Bazas-bis,{},{},"{('e', 'é'): 1}",quaouque,Auros-bis,{},{},{},quaouque,Audenge-bis,{},{},{}
quaouque,Arès,quaouque,Savignac,{},{},{},quaouque,Ailas,{},{},{},quaouqué,Coimères,{},{},"{('e', 'é'): 1}"
quaouque,Audenge-bis,quaouque,Andernos-les-Bains,{},{},{},quaouque,Le Porge,{},{},{},quaouque,Saint-Étienne-de-Lisse,{},{},{}
caouque,Audenge,qualquéco,Saint-Léon-sur-l'Isle,"{'q': 1, 'l': 1}",{},"{('c', 'u'): 1, ('o', 'q'): 1, ('q', 'é'): 1, ('u', 'c'): 1, ('e', 'o'): 1}",quaouqué,Lignan-de-Bazas,{'q': 1},{},"{('c', 'u'): 1, ('e', 'é'): 1}",quaouque,Belin-Béliet,{'q': 1},{},"{('c', 'u'): 1}"
caouque,Biganos,caouquécoq,Lussas,"{'é': 1, 'c': 1, 'o': 1}",{},"{('e', 'q'): 1}",quaouque,Blanquefort-bis,{'q': 1},{},"{('c', 'u'): 1}",,,,,
caouque,Lacanau-de-Mios,quaouques,Eysines,"{'q': 1, 's': 1}",{},"{('c', 'u'): 1}",quaouqués,Carbon-Blanc-bis,"{'q': 1, 'é': 1}",{},"{('c', 'u'): 1, ('e', 's'): 1}",,,,,
caouque,Lanton,quaouque,Macau,{'q': 1},{},"{('c', 'u'): 1}",quaouqui,Castelnau-de-Médoc,{'q': 1},{},"{('c', 'u'): 1, ('e', 'i'): 1}",quaouques,Saint-Loubès,"{'q': 1, 's': 1}",{},"{('c', 'u'): 1}"
quaouque,Lège,caouque,Pompogne,{},{'u': 1},"{('q', 'c'): 1}",quaouque,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
caouque,Mios,quaouque,Ailas,{'q': 1},{},"{('c', 'u'): 1}",quaouqué,Saint-Maixant,{'q': 1},{},"{('c', 'u'): 1, ('e', 'é'): 1}",,,,,
quaouque,Ailas,quaouque,Arès,{},{},{},caouque,Mios,{},{'u': 1},"{('q', 'c'): 1}",quaouque,Auros-bis,{},{},{}
quaouque,Auros-bis,quaouque,Andernos-les-Bains,{},{},{},quaouque,Ailas,{},{},{},quaouqué,Meylan,{},{},"{('e', 'é'): 1}"
quaouque,Auros,caouques,Bordeaux,{'s': 1},{'u': 1},"{('q', 'c'): 1}",quauouque,Sainte-Foy-la-Grande-bis,{'u': 1},{},{},quaouque,Brannens,{},{},{}
quaouqueus,Barie,quaouqué,Yvrac,{},"{'u': 1, 's': 1}","{('e', 'é'): 1}",calqué,Atur,{},"{'u': 3, 's': 1}","{('q', 'c'): 1, ('o', 'l'): 1, ('e', 'é'): 1}",,,,,
quaouque,Brannens,quaouqué,Bassillac,{},{},"{('e', 'é'): 1}",quaouque,Auros,{},{},{},quaouque,Castillon-de-Castets,{},{},{}
quaouque,Castillon-de-Castets,caouques,Saint-Médard-en-Jalles,{'s': 1},{'u': 1},"{('q', 'c'): 1}",quaouqué,Boé,{},{},"{('e', 'é'): 1}",quaouque,Brannens,{},{},{}
quaouqué,Coimères,quaouque,Arès,{},{},"{('é', 'e'): 1}",caouque,Cudos,{},{'u': 1},"{('q', 'c'): 1, ('é', 'e'): 1}",quaouque,Lados,{},{},"{('é', 'e'): 1}"
quaouque,Lados,quaouque,Gans,{},{},{},quaouque,Puybarban,{},{},{},quaouqué,Coimères,{},{},"{('e', 'é'): 1}"
quaouque,Pondaurat,quaouque,Blaignan,{},{},{},caouque,Bescat,{},{'u': 1},"{('q', 'c'): 1}",,,,,
quaouque,Puybarban,quaouque,Lados,{},{},{},caouque,Le Bouscat,{},{'u': 1},"{('q', 'c'): 1}",quaouque,Savignac,{},{},{}
quaouque,Savignac,quaouque,Sigalens,{},{},{},quaouque,Arès,{},{},{},quaouque,Puybarban,{},{},{}
quaouque,Sigalens,quaouques,Caudéran,{'s': 1},{},{},quaouque,Savignac,{},{},{},quaouque,Bayon-sur-Gironde,{},{},{}
quaouqué,Bazas-bis,quaouque,Bazas,{},{},"{('é', 'e'): 1}",quaouque,Andernos-les-Bains,{},{},"{('é', 'e'): 1}",caùques,Saint-Aubin,{'e': 1},{'u': 2},"{('q', 'c'): 1, ('o', 'ù'): 1, ('é', 's'): 1}"
