Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
core,Andernos-les-Bains,quoure,Bazas-bis,"{'q': 1, 'u': 1}",{},"{('c', 'u'): 1}",coure,Auros-bis,{'u': 1},{},{},coun,Audenge-bis,{},{},"{('r', 'u'): 1, ('e', 'n'): 1}"
coure,Arès,coure,Savignac,{},{},{},coure,Ailas,{},{},{},coure,Coimères,{},{},{}
coun,Audenge-bis,core,Andernos-les-Bains,{},{},"{('u', 'r'): 1, ('n', 'e'): 1}",core,Le Porge,{},{},"{('u', 'r'): 1, ('n', 'e'): 1}",corou,Saint-Étienne-de-Lisse,"{'r': 1, 'o': 1}",{'n': 1},{}
court,Audenge,coure,Lignan-de-Bazas,{},{},"{('t', 'e'): 1}",courre,Belin-Béliet,{'r': 1},{},"{('t', 'e'): 1}",,,,,
oure,Biganos,coure,Blanquefort-bis,{'c': 1},{},{},,,,,,,,,,
coure,Lacanau-de-Mios,coure,Eysines,{},{},{},cour,Carbon-Blanc-bis,{},{'e': 1},{},,,,,
quoure,Lanton,coure,Macau,{},{'u': 1},"{('q', 'c'): 1}",core,Castelnau-de-Médoc,{},{'u': 2},"{('q', 'c'): 1}",cour,Saint-Loubès,{},"{'u': 1, 'e': 1}","{('q', 'c'): 1}"
coure,Lège,coure,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,,,,,,
coure,Mios,coure,Ailas,{},{},{},,,,,,,,,,
coure,Ailas,coure,Arès,{},{},{},coure,Mios,{},{},{},coure,Auros-bis,{},{},{}
coure,Auros-bis,core,Andernos-les-Bains,{},{'u': 1},{},coure,Ailas,{},{},{},,,,,
coure,Auros,coure,Bordeaux,{},{},{},coure,Brannens,{},{},{},,,,,
coure,Barie,coure,Yvrac,{},{},{},,,,,,,,,,
coure,Brannens,coure,Auros,{},{},{},coure,Castillon-de-Castets,{},{},{},,,,,
coure,Castillon-de-Castets,coure,Saint-Médard-en-Jalles,{},{},{},coure,Brannens,{},{},{},,,,,
coure,Coimères,coure,Arès,{},{},{},coure,Cudos,{},{},{},coure,Lados,{},{},{}
coure,Lados,coure,Gans,{},{},{},coure,Puybarban,{},{},{},coure,Coimères,{},{},{}
