Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
rédé,Andernos-les-Bains,rédé,Bazas-bis,{},{},{},rédé,Auros-bis,{},{},{},rédé,Audenge-bis,{},{},{}
réde,Arès,rédé,Savignac,{},{},"{('e', 'é'): 1}",réddé,Ailas,{'d': 1},{},"{('e', 'é'): 1}",rédé,Coimères,{},{},"{('e', 'é'): 1}"
rédé,Audenge-bis,rédé,Andernos-les-Bains,{},{},{},rédé,Le Porge,{},{},{},rédé,Saint-Étienne-de-Lisse,{},{},{}
rédé,Audenge,rédé,Lignan-de-Bazas,{},{},{},rédé,Belin-Béliet,{},{},{},,,,,
réde,Biganos,rédé,Blanquefort-bis,{},{},"{('e', 'é'): 1}",,,,,,,,,,
rédé,Lacanau-de-Mios,rédé,Eysines,{},{},{},rédé,Carbon-Blanc-bis,{},{},{},,,,,
rédde,Lanton,rédé,Macau,{},{'e': 1},"{('d', 'é'): 1}",rédé,Castelnau-de-Médoc,{},{'e': 1},"{('d', 'é'): 1}",rédé,Saint-Loubès,{},{'e': 1},"{('d', 'é'): 1}"
rédde,Lège,rédé,Saint-Sulpice-et-Cameyrac,{},{'e': 1},"{('d', 'é'): 1}",,,,,,,,,,
rédé,Mios,réddé,Ailas,{'d': 1},{},{},,,,,,,,,,
réddé,Ailas,réde,Arès,{},{'é': 1},"{('d', 'e'): 1}",rédé,Mios,{},{'d': 1},{},rédé,Auros-bis,{},{'d': 1},{}
rédé,Auros-bis,rédé,Andernos-les-Bains,{},{},{},réddé,Ailas,{'d': 1},{},{},,,,,
rédé,Auros,rédé,Bordeaux,{},{},{},rédé,Brannens,{},{},{},,,,,
rédé,Barie,rédé,Yvrac,{},{},{},,,,,,,,,,
rédé,Brannens,rédé,Auros,{},{},{},rédé,Castillon-de-Castets,{},{},{},,,,,
rédé,Castillon-de-Castets,rédé,Saint-Médard-en-Jalles,{},{},{},rédé,Brannens,{},{},{},,,,,
rédé,Coimères,réde,Arès,{},{},"{('é', 'e'): 1}",rédé,Cudos,{},{},{},rédé,Lados,{},{},{}
rédé,Lados,rédé,Gans,{},{},{},rédé,Puybarban,{},{},{},rédé,Coimères,{},{},{}
réde,Pondaurat,rédé,Blaignan,{},{},"{('e', 'é'): 1}",,,,,,,,,,
rédé,Puybarban,rédé,Lados,{},{},{},rédé,Le Bouscat,{},{},{},rédé,Savignac,{},{},{}
rédé,Savignac,rédé,Sigalens,{},{},{},réde,Arès,{},{},"{('é', 'e'): 1}",rédé,Puybarban,{},{},{}
rédé,Sigalens,rédé,Caudéran,{},{},{},rédé,Savignac,{},{},{},rédé,Bayon-sur-Gironde,{},{},{}
rédé,Bazas-bis,rédé,Bazas,{},{},{},rédé,Andernos-les-Bains,{},{},{},,,,,
rédé,Bazas,rédé,Cazats,{},{},{},rédé,Bazas-bis,{},{},{},,,,,
rédé,Bernos-Beaulac,rédé,Birac,{},{},{},rédé,Saumos,{},{},{},rédé,Gajac,{},{},{}
rédé,Birac,rédé,Saint-Magne-de-Castillon,{},{},{},rédé,Bernos-Beaulac,{},{},{},rédé,Cazats,{},{},{}
rédé,Cazats,rédé,Cudos,{},{},{},rédé,Bazas,{},{},{},rédé,Birac,{},{},{}
rédé,Cudos,rédé,Coimères,{},{},{},rédé,Cazats,{},{},{},rédé,Gans,{},{},{}
rédé,Gajac,rédé,Belvès-de-Castillon,{},{},{},rédé,Gans,{},{},{},rédé,Bernos-Beaulac,{},{},{}
rédé,Gans,rédé,Gajac,{},{},{},rédé,Lados,{},{},{},rédé,Cudos,{},{},{}
rédé,Le Nizan,rédé,Prignac-et-Marcamps,{},{},{},rédé,Gauriac,{},{},{},rédé,Saint-Antoine-sur-l'Isle,{},{},{}
rédé,Lignan-de-Bazas,rédé,Audenge,{},{},{},rédé,Lansac,{},{},{},rédé,Béliet,{},{},{}
rédé,Saint-Côme,rédé,Bonnetan,{},{},{},rédé,Saint-Trojan,{},{},{},rédé,Béliet,{},{},{}
rédé,Béliet,rédé,Belin-Béliet,{},{},{},rédé,Lignan-de-Bazas,{},{},{},rédé,Saint-Côme,{},{},{}
rédé,Belin-Béliet,redé,Cadillac-en-Fronsadais,{},{},"{('é', 'e'): 1}",rédé,Audenge,{},{},{},rédé,Béliet,{},{},{}
rédé,Joué,rédé,Le Barp,{},{},{},rédé,Tabanac,{},{},{},,,,,
rédé,Le Barp,rédé,Cabara,{},{},{},rédé,Joué,{},{},{},,,,,
rédé,Lugos,rédé,Saint-Magne,{},{},{},rédé,Salles-bis,{},{},{},,,,,
rédé,Saint-Magne,rédé,Salles,{},{},{},rédé,Lugos,{},{},{},rédé,Saint-Romain-la-Virvée,{},{},{}
rédé,Salles-bis,rédé,Lugos,{},{},{},rédé,Génissac,{},{},{},,,,,
rédé,Salles,rédé,Saint-Magne,{},{},{},rédé,Saint-Quentin-de-Baron,{},{},{},,,,,
rédé,Blanquefort-bis,rédé,Langoiran,{},{},{},réde,Biganos,{},{},"{('é', 'e'): 1}",rédé,Blanquefort,{},{},{}
rédé,Blanquefort,rédé,Blanquefort-bis,{},{},{},,,,,,,,,,
réde,Caychac,rédé,Omet,{},{},"{('e', 'é'): 1}",rédé,Eysines,{},{},"{('e', 'é'): 1}",rédé,Giscos,{},{},"{('e', 'é'): 1}"
rédé,Eysines,réde,Caychac,{},{},"{('é', 'e'): 1}",rédé,Lacanau-de-Mios,{},{},{},rédé,Le Haillan,{},{},{}
rédé,Le Haillan,rédé,Le Pian-Médoc,{},{},{},rédé,Eysines,{},{},{},,,,,
rédé,Le Pian-Médoc,rédé,Le Haillan,{},{},{},,,,,,,,,,
rédé,Le Taillan-Médoc,rédé,Sainte-Croix-du-Mont,{},{},{},rédé,Bassens,{},{},{},,,,,
ré̱dé,Ludon-Médoc,rédé,Macau,{},{'̱': 1},{},,,,,,,,,,
rédé,Macau,ré̱dé,Ludon-Médoc,{'̱': 1},{},{},rédde,Lanton,{'d': 1},{},"{('é', 'e'): 1}",,,,,
rédé,Parempuyre,rédé,Arcins,{},{},{},rédé,Arsac,{},{},{},,,,,
rédé,Saint-Aubin-de-Médoc,rédé,Labarde,{},{},{},,,,,,,,,,
rédé,Saint-Médard-en-Jalles,rédé,Margaux,{},{},{},rédé,Castillon-de-Castets,{},{},{},rédé,Moulis-en-Médoc-bis,{},{},{}
rédé,Bègles,rédé,Lugon-et-l'Île-du-Carnay,{},{},{},rédé,Moulis-en-Médoc,{},{},{},,,,,
rédé,Bordeaux,rédé,Auros,{},{},{},,,,,,,,,,
