Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
arrés,Andernos-les-Bains,arreus,Bazas-bis,{'e': 1},{},"{('é', 'u'): 1}",arréch,Auros-bis,{'c': 1},{},"{('s', 'h'): 1}",arrès,Audenge-bis,{},{},"{('é', 'è'): 1}"
arés,Arès,arrès,Savignac,{'r': 1},{},"{('é', 'è'): 1}",arrés,Ailas,{'r': 1},{},{},arrés,Coimères,{'r': 1},{},{}
arrès,Audenge-bis,arrés,Andernos-les-Bains,{},{},"{('è', 'é'): 1}",arrés,Le Porge,{},{},"{('è', 'é'): 1}",arrés,Saint-Étienne-de-Lisse,{},{},"{('è', 'é'): 1}"
arrès,Audenge,arreus,Lignan-de-Bazas,{'e': 1},{},"{('è', 'u'): 1}",aréch,Belin-Béliet,{},{},"{('r', 'é'): 1, ('è', 'c'): 1, ('s', 'h'): 1}",,,,,
arrès,Biganos,arrés,Blanquefort-bis,{},{},"{('è', 'é'): 1}",,,,,,,,,,
arrés,Lacanau-de-Mios,arréch,Eysines,{'c': 1},{},"{('s', 'h'): 1}",arrés,Carbon-Blanc-bis,{},{},{},,,,,
arréch,Lanton,arrès,Macau,{},{'h': 1},"{('é', 'è'): 1, ('c', 's'): 1}",arrés,Castelnau-de-Médoc,{},{'h': 1},"{('c', 's'): 1}",arréch,Saint-Loubès,{},{},{}
aréch,Lège,arréch,Saint-Sulpice-et-Cameyrac,{'r': 1},{},{},,,,,,,,,,
arech,Mios,arrés,Ailas,{},{},"{('e', 'r'): 1, ('c', 'é'): 1, ('h', 's'): 1}",arrés,Saint-Maixant,{},{},"{('e', 'r'): 1, ('c', 'é'): 1, ('h', 's'): 1}",,,,,
arrés,Ailas,arés,Arès,{},{'r': 1},{},arech,Mios,{},{},"{('r', 'e'): 1, ('é', 'c'): 1, ('s', 'h'): 1}",arréch,Auros-bis,{'c': 1},{},"{('s', 'h'): 1}"
arréch,Auros-bis,arrés,Andernos-les-Bains,{},{'h': 1},"{('c', 's'): 1}",arrés,Ailas,{},{'h': 1},"{('c', 's'): 1}",,,,,
arrés,Auros,arrés,Bordeaux,{},{},{},arrés,Sainte-Foy-la-Grande-bis,{},{},{},arréch,Brannens,{'c': 1},{},"{('s', 'h'): 1}"
arrès,Barie,arrés,Yvrac,{},{},"{('è', 'é'): 1}",,,,,,,,,,
arréch,Brannens,arrés,Auros,{},{'h': 1},"{('c', 's'): 1}",arrés,Castillon-de-Castets,{},{'h': 1},"{('c', 's'): 1}",,,,,
arrés,Castillon-de-Castets,arrés,Saint-Médard-en-Jalles,{},{},{},arréch,Brannens,{'c': 1},{},"{('s', 'h'): 1}",,,,,
arrés,Coimères,arés,Arès,{},{'r': 1},{},arreus,Cudos,{'e': 1},{},"{('é', 'u'): 1}",arrés,Lados,{},{},{}
