Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
se,Andernos-les-Bains,sé,Bazas-bis,{},{},"{('e', 'é'): 1}",sé,Auros-bis,{},{},"{('e', 'é'): 1}",se,Audenge-bis,{},{},{}
se,Arès,sé,Savignac,{},{},"{('e', 'é'): 1}",sé,Ailas,{},{},"{('e', 'é'): 1}",sé,Coimères,{},{},"{('e', 'é'): 1}"
se,Audenge-bis,se,Andernos-les-Bains,{},{},{},sé,Le Porge,{},{},"{('e', 'é'): 1}",se,Saint-Étienne-de-Lisse,{},{},{}
se,Audenge,sé,Saint-Léon-sur-l'Isle,{},{},"{('e', 'é'): 1}",se,Lignan-de-Bazas,{},{},{},se,Belin-Béliet,{},{},{}
se,Biganos,tad,Lussas,{'t': 1},{},"{('s', 'a'): 1, ('e', 'd'): 1}",sé,Blanquefort-bis,{},{},"{('e', 'é'): 1}",,,,,
se,Lacanau-de-Mios,sé,Eysines,{},{},"{('e', 'é'): 1}",se,Carbon-Blanc-bis,{},{},{},,,,,
se,Lanton,se,Macau,{},{},{},se,Castelnau-de-Médoc,{},{},{},se,Saint-Loubès,{},{},{}
sé,Lège,sé,Pompogne,{},{},{},sé,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,
se,Mios,sé,Ailas,{},{},"{('e', 'é'): 1}",sé,Saint-Maixant,{},{},"{('e', 'é'): 1}",,,,,
sé,Ailas,se,Arès,{},{},"{('é', 'e'): 1}",se,Mios,{},{},"{('é', 'e'): 1}",sé,Auros-bis,{},{},{}
sé,Auros-bis,se,Andernos-les-Bains,{},{},"{('é', 'e'): 1}",sé,Ailas,{},{},{},sé,Meylan,{},{},{}
sé,Auros,se,Bordeaux,{},{},"{('é', 'e'): 1}",se,Sainte-Foy-la-Grande-bis,{},{},"{('é', 'e'): 1}",sé,Brannens,{},{},{}
se,Barie,se,Yvrac,{},{},{},sé,Atur,{},{},"{('e', 'é'): 1}",,,,,
sé,Brannens,sé,Bassillac,{},{},{},sé,Auros,{},{},{},se,Castillon-de-Castets,{},{},"{('é', 'e'): 1}"
se,Castillon-de-Castets,sé,Saint-Médard-en-Jalles,{},{},"{('e', 'é'): 1}",sé,Boé,{},{},"{('e', 'é'): 1}",sé,Brannens,{},{},"{('e', 'é'): 1}"
sé,Coimères,se,Arès,{},{},"{('é', 'e'): 1}",sé,Cudos,{},{},{},se,Lados,{},{},"{('é', 'e'): 1}"
se,Lados,sa,Gans,{},{},"{('e', 'a'): 1}",se,Puybarban,{},{},{},sé,Coimères,{},{},"{('e', 'é'): 1}"
sé,Pondaurat,sé,Blaignan,{},{},{},éntas,Bescat,"{'é': 1, 'n': 1, 't': 1, 'a': 1}",{'é': 1},{},,,,,
se,Puybarban,se,Lados,{},{},{},se,Le Bouscat,{},{},{},sé,Savignac,{},{},"{('e', 'é'): 1}"
sé,Savignac,sé,Sigalens,{},{},{},se,Arès,{},{},"{('é', 'e'): 1}",se,Puybarban,{},{},"{('é', 'e'): 1}"
sé,Sigalens,se,Caudéran,{},{},"{('é', 'e'): 1}",sé,Savignac,{},{},{},se,Bayon-sur-Gironde,{},{},"{('é', 'e'): 1}"
sé,Bazas-bis,sé,Bazas,{},{},{},se,Andernos-les-Bains,{},{},"{('é', 'e'): 1}",tas,Saint-Aubin,"{'t': 1, 'a': 1}",{'é': 1},{}
sé,Bazas,sé,Cazats,{},{},{},sé,Bazas-bis,{},{},{},sé,Prats-de-Carlux,{},{},{}
sé,Bernos-Beaulac,sé,Birac,{},{},{},sé,Saumos,{},{},{},sé,Gajac,{},{},{}
sé,Birac,se,Saint-Magne-de-Castillon,{},{},"{('é', 'e'): 1}",sé,Bernos-Beaulac,{},{},{},sé,Cazats,{},{},{}
sé,Cazats,sé,Cudos,{},{},{},sé,Bazas,{},{},{},sé,Birac,{},{},{}
sé,Cudos,sé,Coimères,{},{},{},sé,Cazats,{},{},{},sa,Gans,{},{},"{('é', 'a'): 1}"
