Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
siscu,Andernos-les-Bains,siousquet,Bazas-bis,"{'o': 1, 'u': 1, 'e': 1, 't': 1}",{},"{('c', 'q'): 1}",chichqué,Auros-bis,"{'c': 2, 'é': 1}",{},"{('s', 'h'): 2, ('c', 'q'): 1}",chichqué,Audenge-bis,"{'c': 2, 'é': 1}",{},"{('s', 'h'): 2, ('c', 'q'): 1}"
sisqu,Arès,siét,Savignac,{},{'u': 1},"{('s', 'é'): 1, ('q', 't'): 1}",sisquè,Ailas,{'è': 1},{},{},sisqué,Coimères,{'é': 1},{},{}
chichqué,Audenge-bis,siscu,Andernos-les-Bains,{},"{'h': 1, 'q': 1, 'é': 1}","{('c', 's'): 1, ('h', 'i'): 1, ('i', 's'): 1}",sièt,Le Porge,{},"{'h': 1, 'q': 1, 'u': 1, 'é': 1}","{('c', 's'): 1, ('c', 'è'): 1, ('h', 't'): 1}",sousquet,Saint-Étienne-de-Lisse,{'e': 1},{'h': 1},"{('c', 's'): 2, ('h', 'o'): 1, ('i', 'u'): 1, ('é', 't'): 1}"
chousquèt,Audenge,siguet,Lignan-de-Bazas,{},"{'q': 1, 'u': 1, 'è': 1}","{('c', 's'): 1, ('h', 'i'): 1, ('o', 'g'): 1, ('s', 'e'): 1}",segué,Belin-Béliet,{},"{'q': 1, 'u': 1, 'è': 1, 't': 1}","{('c', 's'): 1, ('h', 'e'): 1, ('o', 'g'): 1, ('s', 'é'): 1}",,,,,
chousquèt,Biganos,sisquèt,Blanquefort-bis,{},"{'o': 1, 'u': 1}","{('c', 's'): 1, ('h', 'i'): 1}",,,,,,,,,,
sisquet,Lacanau-de-Mios,siguet,Eysines,{},{'q': 1},"{('s', 'g'): 1}",chouguèt,Carbon-Blanc-bis,{'c': 1},{},"{('s', 'h'): 1, ('i', 'o'): 1, ('s', 'u'): 1, ('q', 'g'): 1, ('e', 'è'): 1}",,,,,
sisquèt,Lanton,siguèt,Macau,{},{'q': 1},"{('s', 'g'): 1}",siousquait,Castelnau-de-Médoc,"{'o': 1, 'u': 1, 'a': 1}",{},"{('è', 'i'): 1}",siguè,Saint-Loubès,{},"{'q': 1, 't': 1}","{('s', 'g'): 1}"
chiesquè,Lège,siet,Saint-Sulpice-et-Cameyrac,{},"{'h': 1, 'q': 1, 'u': 1, 'è': 1}","{('c', 's'): 1, ('s', 't'): 1}",,,,,,,,,,
sisqué,Mios,sisquè,Ailas,{},{},"{('é', 'è'): 1}",,,,,,,,,,
sisquè,Ailas,sisqu,Arès,{},{'è': 1},{},sisqué,Mios,{},{},"{('è', 'é'): 1}",chichqué,Auros-bis,{'c': 2},{},"{('s', 'h'): 2, ('è', 'é'): 1}"
chichqué,Auros-bis,siscu,Andernos-les-Bains,{},"{'h': 1, 'q': 1, 'é': 1}","{('c', 's'): 1, ('h', 'i'): 1, ('i', 's'): 1}",sisquè,Ailas,{},{'h': 2},"{('c', 's'): 2, ('é', 'è'): 1}",,,,,
souguèt,Auros,chouguèt,Bordeaux,{'c': 1},{},"{('s', 'h'): 1}",sigué,Brannens,{},"{'u': 1, 't': 1}","{('o', 'i'): 1, ('è', 'é'): 1}",,,,,
sisqué,Barie,sièt,Yvrac,{},"{'u': 1, 'é': 1}","{('s', 'è'): 1, ('q', 't'): 1}",,,,,,,,,,
sigué,Brannens,souguèt,Auros,"{'o': 1, 'è': 1}",{},"{('i', 'u'): 1, ('é', 't'): 1}",sigué,Castillon-de-Castets,{},{},{},,,,,
sigué,Castillon-de-Castets,chousquèt,Saint-Médard-en-Jalles,"{'c': 1, 'h': 1, 'o': 1, 'u': 1}",{},"{('i', 'q'): 1, ('g', 'u'): 1, ('u', 'è'): 1, ('é', 't'): 1}",sigué,Brannens,{},{},{},,,,,
sisqué,Coimères,sisqu,Arès,{},{'é': 1},{},siguét,Cudos,{'t': 1},{'q': 1},"{('s', 'g'): 1}",sisquè,Lados,{},{},"{('é', 'è'): 1}"
sisquè,Lados,sisquait,Gans,"{'a': 1, 'i': 1}",{},"{('è', 't'): 1}",chouscout,Puybarban,"{'c': 2, 'h': 1}",{},"{('s', 'o'): 1, ('i', 'u'): 1, ('q', 'o'): 1, ('è', 't'): 1}",sisqué,Coimères,{},{},"{('è', 'é'): 1}"
chouscout,Pondaurat,siet,Blaignan,{},"{'c': 1, 'h': 1, 'o': 1, 'u': 2}","{('c', 'i'): 1, ('o', 'e'): 1}",,,,,,,,,,
chouscout,Puybarban,sisquè,Lados,{},"{'o': 2, 'u': 1}","{('c', 's'): 1, ('h', 'i'): 1, ('c', 'q'): 1, ('t', 'è'): 1}",chousquèt,Le Bouscat,{},{},"{('c', 'q'): 1, ('o', 'u'): 1, ('u', 'è'): 1}",siét,Savignac,{},"{'c': 1, 'h': 1, 'o': 1, 'u': 2}","{('c', 'i'): 1, ('o', 'é'): 1}"
siét,Savignac,sièt,Sigalens,{},{},"{('é', 'è'): 1}",sisqu,Arès,{'s': 1},{},"{('é', 'q'): 1, ('t', 'u'): 1}",chouscout,Puybarban,"{'c': 2, 'h': 1, 'o': 1, 'u': 1}",{},"{('i', 'o'): 1, ('é', 'u'): 1}"
sièt,Sigalens,chousquait,Caudéran,"{'c': 1, 'h': 1, 'o': 1, 'u': 2, 'q': 1, 'a': 1}",{'è': 1},{},siét,Savignac,{},{},"{('è', 'é'): 1}",sièt,Bayon-sur-Gironde,{},{},{}
siousquet,Bazas-bis,sièt,Bazas,{},"{'u': 2, 's': 1, 'q': 1, 'e': 1}","{('o', 'è'): 1}",siscu,Andernos-les-Bains,{},"{'o': 1, 'u': 1, 'e': 1, 't': 1}","{('q', 'c'): 1}",,,,,
sièt,Bazas,sièt,Cazats,{},{},{},siousquet,Bazas-bis,"{'o': 1, 'u': 2, 's': 1, 'q': 1}",{},"{('è', 'e'): 1}",,,,,
