Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
taléñ,Andernos-les-Bains,talan,Bazas-bis,{},{},"{('é', 'a'): 1, ('ñ', 'n'): 1}",talen,Auros-bis,{},{},"{('é', 'e'): 1, ('ñ', 'n'): 1}",taleénn,Audenge-bis,"{'e': 1, 'n': 1}",{},"{('ñ', 'n'): 1}"
talent,Arès,talant,Savignac,{},{},"{('e', 'a'): 1}",talén,Ailas,{},{'t': 1},"{('e', 'é'): 1}",talen,Coimères,{},{'t': 1},{}
taleénn,Audenge-bis,taléñ,Andernos-les-Bains,{},"{'e': 1, 'n': 1}","{('n', 'ñ'): 1}",talan,Le Porge,{},"{'é': 1, 'n': 1}","{('e', 'a'): 1}",talen,Saint-Étienne-de-Lisse,{},"{'é': 1, 'n': 1}",{}
talen,Audenge,talan,Lignan-de-Bazas,{},{},"{('e', 'a'): 1}",talén,Belin-Béliet,{},{},"{('e', 'é'): 1}",,,,,
talén,Biganos,talén,Blanquefort-bis,{},{},{},,,,,,,,,,
talan,Lacanau-de-Mios,talén,Eysines,{},{},"{('a', 'é'): 1}",talan,Carbon-Blanc-bis,{},{},{},,,,,
talan,Lanton,talén,Macau,{},{},"{('a', 'é'): 1}",talan,Castelnau-de-Médoc,{},{},{},talan,Saint-Loubès,{},{},{}
talan,Lège,talan,Saint-Sulpice-et-Cameyrac,{},{},{},,,,,,,,,,
talan,Mios,talén,Ailas,{},{},"{('a', 'é'): 1}",talént,Saint-Maixant,{'t': 1},{},"{('a', 'é'): 1}",,,,,
talén,Ailas,talent,Arès,{'t': 1},{},"{('é', 'e'): 1}",talan,Mios,{},{},"{('é', 'a'): 1}",talen,Auros-bis,{},{},"{('é', 'e'): 1}"
talen,Auros-bis,taléñ,Andernos-les-Bains,{},{},"{('e', 'é'): 1, ('n', 'ñ'): 1}",talén,Ailas,{},{},"{('e', 'é'): 1}",,,,,
talén,Auros,talén,Bordeaux,{},{},{},tolan,Sainte-Foy-la-Grande-bis,{},{},"{('a', 'o'): 1, ('é', 'a'): 1}",talent,Brannens,{'t': 1},{},"{('é', 'e'): 1}"
talén,Barie,talan,Yvrac,{},{},"{('é', 'a'): 1}",,,,,,,,,,
talent,Brannens,talén,Auros,{},{'t': 1},"{('e', 'é'): 1}",tallén,Castillon-de-Castets,{'l': 1},{'t': 1},"{('e', 'é'): 1}",,,,,
tallén,Castillon-de-Castets,talen,Saint-Médard-en-Jalles,{},{'é': 1},"{('l', 'e'): 1}",talent,Brannens,{},{},"{('l', 'e'): 1, ('é', 'n'): 1, ('n', 't'): 1}",,,,,
talen,Coimères,talent,Arès,{'t': 1},{},{},talén,Cudos,{},{},"{('e', 'é'): 1}",talan,Lados,{},{},"{('e', 'a'): 1}"
talan,Lados,talén,Gans,{},{},"{('a', 'é'): 1}",talan,Puybarban,{},{},{},talen,Coimères,{},{},"{('a', 'e'): 1}"
talan,Pondaurat,talan,Blaignan,{},{},{},,,,,,,,,,
talan,Puybarban,talan,Lados,{},{},{},talén,Le Bouscat,{},{},"{('a', 'é'): 1}",talant,Savignac,{'t': 1},{},{}
talant,Savignac,talan,Sigalens,{},{'t': 1},{},talent,Arès,{},{},"{('a', 'e'): 1}",talan,Puybarban,{},{'t': 1},{}
talan,Sigalens,talén,Caudéran,{},{},"{('a', 'é'): 1}",talant,Savignac,{'t': 1},{},{},talén,Bayon-sur-Gironde,{},{},"{('a', 'é'): 1}"
talan,Bazas-bis,talén,Bazas,{},{},"{('a', 'é'): 1}",taléñ,Andernos-les-Bains,{},{},"{('a', 'é'): 1, ('n', 'ñ'): 1}",,,,,
talén,Bazas,talan,Cazats,{},{},"{('é', 'a'): 1}",talan,Bazas-bis,{},{},"{('é', 'a'): 1}",,,,,
talént,Bernos-Beaulac,talan,Birac,{},{'t': 1},"{('é', 'a'): 1}",talén,Saumos,{},{'t': 1},{},talenn,Gajac,{},{},"{('é', 'e'): 1, ('t', 'n'): 1}"
talan,Birac,talen,Saint-Magne-de-Castillon,{},{},"{('a', 'e'): 1}",talént,Bernos-Beaulac,{'t': 1},{},"{('a', 'é'): 1}",talan,Cazats,{},{},{}
talan,Cazats,talén,Cudos,{},{},"{('a', 'é'): 1}",talén,Bazas,{},{},"{('a', 'é'): 1}",talan,Birac,{},{},{}
talén,Cudos,talen,Coimères,{},{},"{('é', 'e'): 1}",talan,Cazats,{},{},"{('é', 'a'): 1}",talén,Gans,{},{},{}
talenn,Gajac,talent,Belvès-de-Castillon,{},{},"{('n', 't'): 1}",talén,Gans,{},{'n': 1},"{('e', 'é'): 1}",talént,Bernos-Beaulac,{},{},"{('e', 'é'): 1, ('n', 't'): 1}"
talén,Gans,talenn,Gajac,{'e': 1},{},"{('é', 'n'): 1}",talan,Lados,{},{},"{('é', 'a'): 1}",talén,Cudos,{},{},{}
