Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
tan,Andernos-les-Bains,tan,Bazas-bis,{},{},{},tant,Auros-bis,{'t': 1},{},{},tan̈,Audenge-bis,{'̈': 1},{},{}
tant,Arès,ta,Savignac,{},"{'n': 1, 't': 1}",{},tant,Ailas,{},{},{},tan,Coimères,{},{'t': 1},{}
tan̈,Audenge-bis,tan,Andernos-les-Bains,{},{'̈': 1},{},tan,Le Porge,{},{'̈': 1},{},tant,Saint-Étienne-de-Lisse,{},{},"{('̈', 't'): 1}"
tan,Audenge,ta,Saint-Léon-sur-l'Isle,{},{'n': 1},{},ta,Lignan-de-Bazas,{},{'n': 1},{},tan,Belin-Béliet,{},{},{}
tann,Biganos,tan,Lussas,{},{'n': 1},{},ta,Blanquefort-bis,{},{'n': 2},{},,,,,
tant,Lacanau-de-Mios,ta,Eysines,{},"{'n': 1, 't': 1}",{},tan,Carbon-Blanc-bis,{},{'t': 1},{},,,,,
tan,Lanton,tant,Macau,{'t': 1},{},{},tant,Castelnau-de-Médoc,{'t': 1},{},{},tant,Saint-Loubès,{'t': 1},{},{}
tann,Lège,tant,Pompogne,{},{},"{('n', 't'): 1}",tant,Saint-Sulpice-et-Cameyrac,{},{},"{('n', 't'): 1}",,,,,
ta,Mios,tant,Ailas,"{'n': 1, 't': 1}",{},{},tan,Saint-Maixant,{'n': 1},{},{},,,,,
tant,Ailas,tant,Arès,{},{},{},ta,Mios,{},"{'n': 1, 't': 1}",{},tant,Auros-bis,{},{},{}
tant,Auros-bis,tan,Andernos-les-Bains,{},{'t': 1},{},tant,Ailas,{},{},{},ta,Meylan,{},"{'n': 1, 't': 1}",{}
tant,Auros,tant,Bordeaux,{},{},{},tann,Sainte-Foy-la-Grande-bis,{},{},"{('t', 'n'): 1}",tan,Brannens,{},{'t': 1},{}
tan,Barie,tant,Yvrac,{'t': 1},{},{},tant,Atur,{'t': 1},{},{},,,,,
