Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
tessouns,Andernos-les-Bains,téssous,Bazas-bis,{},{'n': 1},"{('e', 'é'): 1}",tessouns,Auros-bis,{},{},{},tessouns,Audenge-bis,{},{},{}
tessouns,Arès,téssou,Savignac,{},"{'n': 1, 's': 1}","{('e', 'é'): 1}",tessouns,Ailas,{},{},{},téssous,Coimères,{},{'n': 1},"{('e', 'é'): 1}"
tessouns,Audenge-bis,tessouns,Andernos-les-Bains,{},{},{},téssous,Le Porge,{},{'n': 1},"{('e', 'é'): 1}",tessous,Saint-Étienne-de-Lisse,{},{'n': 1},{}
tessouns,Audenge,tessous,Lignan-de-Bazas,{},{'n': 1},{},ressous,Belin-Béliet,{},{'n': 1},"{('t', 'r'): 1}",,,,,
téssouns,Biganos,téssous,Blanquefort-bis,{},{'n': 1},{},,,,,,,,,,
réssouns,Lacanau-de-Mios,tessous,Eysines,{},{'n': 1},"{('r', 't'): 1, ('é', 'e'): 1}",téssous,Carbon-Blanc-bis,{},{'n': 1},"{('r', 't'): 1}",,,,,
téssouns,Lanton,téssous,Macau,{},{'n': 1},{},tessous,Castelnau-de-Médoc,{},{'n': 1},"{('é', 'e'): 1}",téçous,Saint-Loubès,{},"{'s': 1, 'n': 1}","{('s', 'ç'): 1}"
tessouns,Lège,téssous,Saint-Sulpice-et-Cameyrac,{},{'n': 1},"{('e', 'é'): 1}",,,,,,,,,,
téssouns,Mios,tessouns,Ailas,{},{},"{('é', 'e'): 1}",téssous,Saint-Maixant,{},{'n': 1},{},,,,,
tessouns,Ailas,tessouns,Arès,{},{},{},téssouns,Mios,{},{},"{('e', 'é'): 1}",tessouns,Auros-bis,{},{},{}
tessouns,Auros-bis,tessouns,Andernos-les-Bains,{},{},{},tessouns,Ailas,{},{},{},,,,,
tessouns,Auros,téssous,Bordeaux,{},{'n': 1},"{('e', 'é'): 1}",téssous,Sainte-Foy-la-Grande-bis,{},{'n': 1},"{('e', 'é'): 1}",tessouns,Brannens,{},{},{}
tessouns,Barie,téssous,Yvrac,{},{'n': 1},"{('e', 'é'): 1}",,,,,,,,,,
tessouns,Brannens,tessouns,Auros,{},{},{},téssous,Castillon-de-Castets,{},{'n': 1},"{('e', 'é'): 1}",,,,,
téssous,Castillon-de-Castets,téchous,Saint-Médard-en-Jalles,{},{},"{('s', 'c'): 1, ('s', 'h'): 1}",tessouns,Brannens,{'n': 1},{},"{('é', 'e'): 1}",,,,,
téssous,Coimères,tessouns,Arès,{'n': 1},{},"{('é', 'e'): 1}",tessous,Cudos,{},{},"{('é', 'e'): 1}",téssous,Lados,{},{},{}
téssous,Lados,tessous,Gans,{},{},"{('é', 'e'): 1}",téssou,Puybarban,{},{'s': 1},{},téssous,Coimères,{},{},{}
téssous,Pondaurat,téssous,Blaignan,{},{},{},,,,,,,,,,
téssou,Puybarban,téssous,Lados,{'s': 1},{},{},téssous,Le Bouscat,{'s': 1},{},{},téssou,Savignac,{},{},{}
téssou,Savignac,téssous,Sigalens,{'s': 1},{},{},tessouns,Arès,"{'n': 1, 's': 1}",{},"{('é', 'e'): 1}",téssou,Puybarban,{},{},{}
téssous,Sigalens,téchous,Caudéran,{},{},"{('s', 'c'): 1, ('s', 'h'): 1}",téssou,Savignac,{},{'s': 1},{},téssous,Bayon-sur-Gironde,{},{},{}
téssous,Bazas-bis,tessous,Bazas,{},{},"{('é', 'e'): 1}",tessouns,Andernos-les-Bains,{'n': 1},{},"{('é', 'e'): 1}",,,,,
tessous,Bazas,tessous,Cazats,{},{},{},téssous,Bazas-bis,{},{},"{('e', 'é'): 1}",,,,,
tessouns,Bernos-Beaulac,tessouns,Birac,{},{},{},tessous,Saumos,{},{'n': 1},{},tessous,Gajac,{},{'n': 1},{}
tessouns,Birac,tessous,Saint-Magne-de-Castillon,{},{'n': 1},{},tessouns,Bernos-Beaulac,{},{},{},tessous,Cazats,{},{'n': 1},{}
tessous,Cazats,tessous,Cudos,{},{},{},tessous,Bazas,{},{},{},tessouns,Birac,{'n': 1},{},{}
tessous,Cudos,téssous,Coimères,{},{},"{('e', 'é'): 1}",tessous,Cazats,{},{},{},tessous,Gans,{},{},{}
tessous,Gajac,tessous,Belvès-de-Castillon,{},{},{},tessous,Gans,{},{},{},tessouns,Bernos-Beaulac,{'n': 1},{},{}
tessous,Gans,tessous,Gajac,{},{},{},téssous,Lados,{},{},"{('e', 'é'): 1}",tessous,Cudos,{},{},{}
tessous,Le Nizan,téssous,Prignac-et-Marcamps,{},{},"{('e', 'é'): 1}",téssous,Gauriac,{},{},"{('e', 'é'): 1}",téssous,Saint-Antoine-sur-l'Isle,{},{},"{('e', 'é'): 1}"
tessous,Lignan-de-Bazas,tessouns,Audenge,{'n': 1},{},{},tessous,Lansac,{},{},{},téssous,Béliet,{},{},"{('e', 'é'): 1}"
tessous,Saint-Côme,tessous,Bonnetan,{},{},{},tessous,Saint-Trojan,{},{},{},téssous,Béliet,{},{},"{('e', 'é'): 1}"
téssous,Béliet,ressous,Belin-Béliet,{},{},"{('t', 'r'): 1, ('é', 'e'): 1}",tessous,Lignan-de-Bazas,{},{},"{('é', 'e'): 1}",tessous,Saint-Côme,{},{},"{('é', 'e'): 1}"
ressous,Belin-Béliet,tessous,Cadillac-en-Fronsadais,{},{},"{('r', 't'): 1}",tessouns,Audenge,{'n': 1},{},"{('r', 't'): 1}",téssous,Béliet,{},{},"{('r', 't'): 1, ('e', 'é'): 1}"
téssous,Joué,téssous,Le Barp,{},{},{},téssous,Tabanac,{},{},{},,,,,
téssous,Le Barp,téssous,Cabara,{},{},{},téssous,Joué,{},{},{},,,,,
tessōūs,Lugos,tessous,Saint-Magne,{},{'̄': 2},{},tessous,Salles-bis,{},{'̄': 2},{},,,,,
tessous,Saint-Magne,téssous,Salles,{},{},"{('e', 'é'): 1}",tessōūs,Lugos,{'̄': 2},{},{},tessous,Saint-Romain-la-Virvée,{},{},{}
tessous,Salles-bis,tessōūs,Lugos,{'̄': 2},{},{},téssous,Génissac,{},{},"{('e', 'é'): 1}",,,,,
téssous,Salles,tessous,Saint-Magne,{},{},"{('é', 'e'): 1}",téssous,Saint-Quentin-de-Baron,{},{},{},,,,,
téssous,Blanquefort-bis,téssous,Langoiran,{},{},{},téssouns,Biganos,{'n': 1},{},{},téssous,Blanquefort,{},{},{}
téssous,Blanquefort,téssous,Blanquefort-bis,{},{},{},tessous,La Réole,{},{},"{('é', 'e'): 1}",,,,,
tessous,Caychac,téssous,Omet,{},{},"{('e', 'é'): 1}",tessous,Eysines,{},{},{},téssous,Giscos,{},{},"{('e', 'é'): 1}"
tessous,Eysines,tessous,Caychac,{},{},{},réssouns,Lacanau-de-Mios,{'n': 1},{},"{('t', 'r'): 1, ('e', 'é'): 1}",tessous,Le Haillan,{},{},{}
tessous,Le Haillan,tessous,Le Pian-Médoc,{},{},{},tessous,Eysines,{},{},{},,,,,
tessous,Le Pian-Médoc,tessous,Le Haillan,{},{},{},,,,,,,,,,
téssou,Le Taillan-Médoc,tessous,Sainte-Croix-du-Mont,{'s': 1},{},"{('é', 'e'): 1}",tessous,Bassens,{'s': 1},{},"{('é', 'e'): 1}",téchous,Landerrouat,{'s': 1},{},"{('s', 'c'): 1, ('s', 'h'): 1}"
tessous,Ludon-Médoc,téssous,Macau,{},{},"{('e', 'é'): 1}",,,,,,,,,,
téssous,Macau,tessous,Ludon-Médoc,{},{},"{('é', 'e'): 1}",téssouns,Lanton,{'n': 1},{},{},,,,,
tessous,Parempuyre,téssous,Arcins,{},{},"{('e', 'é'): 1}",tessous,Arsac,{},{},{},,,,,
tessous,Saint-Aubin-de-Médoc,tessous,Labarde,{},{},{},,,,,,,,,,
téchous,Saint-Médard-en-Jalles,téssous,Margaux,{},{},"{('c', 's'): 1, ('h', 's'): 1}",téssous,Castillon-de-Castets,{},{},"{('c', 's'): 1, ('h', 's'): 1}",téssous,Moulis-en-Médoc-bis,{},{},"{('c', 's'): 1, ('h', 's'): 1}"
téssou,Bègles,téssouns,Lugon-et-l'Île-du-Carnay,"{'n': 1, 's': 1}",{},{},tessous,Moulis-en-Médoc,{'s': 1},{},"{('é', 'e'): 1}",,,,,
téssous,Bordeaux,tessouns,Auros,{'n': 1},{},"{('é', 'e'): 1}",,,,,,,,,,
téssous,Bruges,téssous,Bégadan,{},{},{},téchous,Caudéran,{},{},"{('s', 'c'): 1, ('s', 'h'): 1}",,,,,
