Mot,Commune,Voisin_1,Commune_1,Insertions_1,Suppressions_1,Substitutions_1,Voisin_2,Commune_2,Insertions_2,Suppressions_2,Substitutions_2,Voisin_3,Commune_3,Insertions_3,Suppressions_3,Substitutions_3
trè,Andernos-les-Bains,tré,Bazas-bis,{},{},"{('è', 'é'): 1}",très,Auros-bis,{'s': 1},{},{},très,Audenge-bis,{'s': 1},{},{}
très,Arès,tré,Savignac,{},{'s': 1},"{('è', 'é'): 1}",trè,Ailas,{},{'s': 1},{},très,Coimères,{},{},{}
très,Audenge-bis,trè,Andernos-les-Bains,{},{'s': 1},{},trés,Le Porge,{},{},"{('è', 'é'): 1}",très,Saint-Étienne-de-Lisse,{},{},{}
très,Audenge,très,Lignan-de-Bazas,{},{},{},tré,Belin-Béliet,{},{'s': 1},"{('è', 'é'): 1}",,,,,
très,Biganos,très,Blanquefort-bis,{},{},{},,,,,,,,,,
très,Lacanau-de-Mios,très,Eysines,{},{},{},très,Carbon-Blanc-bis,{},{},{},,,,,
très,Lanton,tré,Macau,{},{'s': 1},"{('è', 'é'): 1}",tré,Castelnau-de-Médoc,{},{'s': 1},"{('è', 'é'): 1}",tré,Saint-Loubès,{},{'s': 1},"{('è', 'é'): 1}"
tres,Lège,trés,Saint-Sulpice-et-Cameyrac,{},{},"{('e', 'é'): 1}",,,,,,,,,,
très,Mios,trè,Ailas,{},{'s': 1},{},,,,,,,,,,
trè,Ailas,très,Arès,{'s': 1},{},{},très,Mios,{'s': 1},{},{},très,Auros-bis,{'s': 1},{},{}
très,Auros-bis,trè,Andernos-les-Bains,{},{'s': 1},{},trè,Ailas,{},{'s': 1},{},,,,,
très,Auros,très,Bordeaux,{},{},{},très,Brannens,{},{},{},,,,,
très,Barie,tré,Yvrac,{},{'s': 1},"{('è', 'é'): 1}",,,,,,,,,,
très,Brannens,très,Auros,{},{},{},très,Castillon-de-Castets,{},{},{},,,,,
très,Castillon-de-Castets,très,Saint-Médard-en-Jalles,{},{},{},très,Brannens,{},{},{},,,,,
très,Coimères,très,Arès,{},{},{},très,Cudos,{},{},{},trè,Lados,{},{'s': 1},{}
trè,Lados,très,Gans,{'s': 1},{},{},très,Puybarban,{'s': 1},{},{},très,Coimères,{'s': 1},{},{}
très,Pondaurat,trés,Blaignan,{},{},"{('è', 'é'): 1}",,,,,,,,,,
très,Puybarban,trè,Lados,{},{'s': 1},{},très,Le Bouscat,{},{},{},tré,Savignac,{},{'s': 1},"{('è', 'é'): 1}"
tré,Savignac,très,Sigalens,{'è': 1},{},"{('é', 's'): 1}",très,Arès,{'è': 1},{},"{('é', 's'): 1}",très,Puybarban,{'è': 1},{},"{('é', 's'): 1}"
très,Sigalens,très,Caudéran,{},{},{},tré,Savignac,{},{'s': 1},"{('è', 'é'): 1}",très,Bayon-sur-Gironde,{},{},{}
tré,Bazas-bis,trè,Bazas,{},{},"{('é', 'è'): 1}",trè,Andernos-les-Bains,{},{},"{('é', 'è'): 1}",,,,,
trè,Bazas,trés,Cazats,{'é': 1},{},"{('è', 's'): 1}",tré,Bazas-bis,{},{},"{('è', 'é'): 1}",,,,,
trés,Bernos-Beaulac,très,Birac,{},{},"{('é', 'è'): 1}",très,Saumos,{},{},"{('é', 'è'): 1}",tré,Gajac,{},{'s': 1},{}
très,Birac,très,Saint-Magne-de-Castillon,{},{},{},trés,Bernos-Beaulac,{},{},"{('è', 'é'): 1}",trés,Cazats,{},{},"{('è', 'é'): 1}"
trés,Cazats,très,Cudos,{},{},"{('é', 'è'): 1}",trè,Bazas,{},{'s': 1},"{('é', 'è'): 1}",très,Birac,{},{},"{('é', 'è'): 1}"
très,Cudos,très,Coimères,{},{},{},trés,Cazats,{},{},"{('è', 'é'): 1}",très,Gans,{},{},{}
tré,Gajac,très,Belvès-de-Castillon,{'è': 1},{},"{('é', 's'): 1}",très,Gans,{'è': 1},{},"{('é', 's'): 1}",trés,Bernos-Beaulac,{'s': 1},{},{}
très,Gans,tré,Gajac,{},{'s': 1},"{('è', 'é'): 1}",trè,Lados,{},{'s': 1},{},très,Cudos,{},{},{}
très,Le Nizan,très,Prignac-et-Marcamps,{},{},{},très,Gauriac,{},{},{},tré,Saint-Antoine-sur-l'Isle,{},{'s': 1},"{('è', 'é'): 1}"
très,Lignan-de-Bazas,très,Audenge,{},{},{},très,Lansac,{},{},{},tré,Béliet,{},{'s': 1},"{('è', 'é'): 1}"
très,Saint-Côme,très,Bonnetan,{},{},{},très,Saint-Trojan,{},{},{},tré,Béliet,{},{'s': 1},"{('è', 'é'): 1}"
tré,Béliet,tré,Belin-Béliet,{},{},{},très,Lignan-de-Bazas,{'è': 1},{},"{('é', 's'): 1}",très,Saint-Côme,{'è': 1},{},"{('é', 's'): 1}"
tré,Belin-Béliet,très,Cadillac-en-Fronsadais,{'è': 1},{},"{('é', 's'): 1}",très,Audenge,{'è': 1},{},"{('é', 's'): 1}",tré,Béliet,{},{},{}
tré,Joué,trés,Le Barp,{'s': 1},{},{},très,Tabanac,{'è': 1},{},"{('é', 's'): 1}",,,,,
trés,Le Barp,tré,Cabara,{},{'s': 1},{},tré,Joué,{},{'s': 1},{},,,,,
très,Lugos,très,Saint-Magne,{},{},{},tré,Salles-bis,{},{'s': 1},"{('è', 'é'): 1}",,,,,
très,Saint-Magne,très,Salles,{},{},{},très,Lugos,{},{},{},très,Saint-Romain-la-Virvée,{},{},{}
tré,Salles-bis,très,Lugos,{'è': 1},{},"{('é', 's'): 1}",très,Génissac,{'è': 1},{},"{('é', 's'): 1}",,,,,
très,Salles,très,Saint-Magne,{},{},{},trés,Saint-Quentin-de-Baron,{},{},"{('è', 'é'): 1}",,,,,
très,Blanquefort-bis,très,Langoiran,{},{},{},très,Biganos,{},{},{},très,Blanquefort,{},{},{}
très,Blanquefort,très,Blanquefort-bis,{},{},{},tré,La Réole,{},{'s': 1},"{('è', 'é'): 1}",,,,,
très,Caychac,très,Omet,{},{},{},très,Eysines,{},{},{},très,Giscos,{},{},{}
très,Eysines,très,Caychac,{},{},{},très,Lacanau-de-Mios,{},{},{},très,Le Haillan,{},{},{}
très,Le Haillan,très,Le Pian-Médoc,{},{},{},très,Eysines,{},{},{},,,,,
très,Le Pian-Médoc,très,Le Haillan,{},{},{},,,,,,,,,,
trè,Le Taillan-Médoc,trés,Sainte-Croix-du-Mont,{'é': 1},{},"{('è', 's'): 1}",trè,Bassens,{},{},{},très,Landerrouat,{'s': 1},{},{}
trè,Ludon-Médoc,tré,Macau,{},{},"{('è', 'é'): 1}",,,,,,,,,,
tré,Macau,trè,Ludon-Médoc,{},{},"{('é', 'è'): 1}",très,Lanton,{'è': 1},{},"{('é', 's'): 1}",,,,,
très,Parempuyre,très,Arcins,{},{},{},très,Arsac,{},{},{},,,,,
très,Saint-Aubin-de-Médoc,très,Labarde,{},{},{},,,,,,,,,,
très,Saint-Médard-en-Jalles,trè,Margaux,{},{'s': 1},{},très,Castillon-de-Castets,{},{},{},très,Moulis-en-Médoc-bis,{},{},{}
très,Bègles,trè,Lugon-et-l'Île-du-Carnay,{},{'s': 1},{},tro,Moulis-en-Médoc,{},{'s': 1},"{('è', 'o'): 1}",,,,,
très,Bordeaux,très,Auros,{},{},{},,,,,,,,,,
très,Bruges,très,Bégadan,{},{},{},très,Caudéran,{},{},{},,,,,
très,Caudéran,très,Bruges,{},{},{},très,Sigalens,{},{},{},très,Bayon-sur-Gironde,{},{},{}
très,Chartrons,très,Sainte-Colombe,{},{},{},très,Salaunes,{},{},{},,,,,
très,Le Bouscat,très,Puybarban,{},{},{},très,Castillon-la-Bataille-bis,{},{},{},très,Bayon-sur-Gironde,{},{},{}
très,Bayon-sur-Gironde,très,Caudéran,{},{},{},très,Sigalens,{},{},{},très,Le Bouscat,{},{},{}
très,Bourg-bis,très,Castres-Gironde,{},{},{},très,Castillon-la-Bataille,{},{},{},,,,,
très,Bourg,très,Comps,{},{},{},très,Baron,{},{},{},,,,,
très,Comps,très,Gauriac,{},{},{},très,Bourg,{},{},{},,,,,
très,Gauriac,très,Le Nizan,{},{},{},très,Comps,{},{},{},très,Baurech,{},{},{}
très,Lansac,très,Lignan-de-Bazas,{},{},{},très,Marcamps,{},{},{},,,,,
très,Marcamps,très,Prignac-et-Marcamps,{},{},{},très,Lansac,{},{},{},,,,,
très,Prignac-et-Marcamps,très,Marcamps,{},{},{},très,Le Nizan,{},{},{},,,,,
trés,Saint-Seurin-de-Bourg,tré,Samonac,{},{'s': 1},{},très,Baron,{},{},"{('é', 'è'): 1}",,,,,
très,Saint-Trojan,très,Saint-Côme,{},{},{},très,Tauriac,{},{},{},tré,Samonac,{},{'s': 1},"{('è', 'é'): 1}"
tré,Samonac,trés,Saint-Seurin-de-Bourg,{'s': 1},{},{},tré,Fronsac,{},{},{},très,Saint-Trojan,{'è': 1},{},"{('é', 's'): 1}"
très,Tauriac,très,Saint-Trojan,{},{},{},très,Camarsac,{},{},{},très,Baron,{},{},{}
très,Baron,très,Bourg,{},{},{},trés,Saint-Seurin-de-Bourg,{},{},"{('è', 'é'): 1}",très,Tauriac,{},{},{}
très,Branne-bis,trè,Camblanes-et-Meynac,{},{'s': 1},{},,,,,,,,,,
très,Branne,tré,Hure,{},{'s': 1},"{('è', 'é'): 1}",très,Gironde-sur-Dropt-bis,{},{},{},très,Carignan-de-Bordeaux,{},{},{}
très,Cabara-bis,très,Le Tourne,{},{},{},,,,,,,,,,
tré,Cabara,très,Saillans,{'è': 1},{},"{('é', 's'): 1}",trés,Le Barp,{'s': 1},{},{},,,,,
tré,Daignac,très,Génissac,{'è': 1},{},"{('é', 's'): 1}",,,,,,,,,,
très,Génissac,tré,Salles-bis,{},{'s': 1},"{('è', 'é'): 1}",tré,Daignac,{},{'s': 1},"{('è', 'é'): 1}",,,,,
tré,Grézillac,très,Jugazan,{'è': 1},{},"{('é', 's'): 1}",,,,,,,,,,
très,Jugazan,tré,Grézillac,{},{'s': 1},"{('è', 'é'): 1}",très,Civrac,{},{},{},très,Gaillan-en-Médoc,{},{},{}
très,Moulon,très,Naujan-et-Postiac,{},{},{},,,,,,,,,,
très,Naujan-et-Postiac,tré,Grignols-bis,{},{'s': 1},"{('è', 'é'): 1}",très,Moulon,{},{},{},,,,,
tré,Nérigean,très,Saint-Germain-du-Puch,{'è': 1},{},"{('é', 's'): 1}",,,,,,,,,,
très,Saint-Germain-du-Puch,tré,Nérigean,{},{'s': 1},"{('è', 'é'): 1}",,,,,,,,,,
trés,Saint-Quentin-de-Baron,très,Salles,{},{},"{('é', 'è'): 1}",,,,,,,,,,
très,Tizac-de-Curton,,,,,,,,,,,,,,,
très,Béguey,tré,Sendets,{},{'s': 1},"{('è', 'é'): 1}",très,Gabarnac,{},{},{},,,,,
très,Cadillac,très,Cardan,{},{},{},très,Camiran,{},{},{},très,Capian,{},{},{}
très,Capian,trè,Saint-Michel-de-Fronsac,{},{'s': 1},{},très,Cadillac,{},{},{},,,,,
très,Cardan,trop,Lerm-et-Musset,{},{},"{('è', 'o'): 1, ('s', 'p'): 1}",très,Cadillac,{},{},{},tré,Donzac,{},{'s': 1},"{('è', 'é'): 1}"
tré,Donzac,tré,Saint-Médard-d'Eyrans,{},{},{},très,Gabarnac,{'è': 1},{},"{('é', 's'): 1}",très,Cardan,{'è': 1},{},"{('é', 's'): 1}"
très,Gabarnac,tré,Donzac,{},{'s': 1},"{('è', 'é'): 1}",très,Béguey,{},{},{},très,Marions,{},{},{}
tré,Langoiran-bis,tro,Gironde-sur-Dropt,{},{},"{('é', 'o'): 1}",,,,,,,,,,
très,Langoiran,très,Blanquefort-bis,{},{},{},,,,,,,,,,
très,Lestiac-sur-Garonne,tré,Morizès,{},{'s': 1},"{('è', 'é'): 1}",,,,,,,,,,
très,Loupiac,très,Gujan,{},{},{},très,Monprimblanc,{},{},{},,,,,
très,Monprimblanc,trés,Saint-Hilaire-de-la-Noaille,{},{},"{('è', 'é'): 1}",très,Loupiac,{},{},{},,,,,
très,Omet,très,Paillet,{},{},{},très,Caychac,{},{},{},très,La Teste-de-Buch,{},{},{}
très,Paillet,tré,Rions,{},{'s': 1},"{('è', 'é'): 1}",très,Omet,{},{},{},très,Le Teich,{},{},{}
tré,Rions,très,Paillet,{'è': 1},{},"{('é', 's'): 1}",,,,,,,,,,
trés,Sainte-Croix-du-Mont,trés,Captieux-bis,{},{},{},trè,Le Taillan-Médoc,{},{'s': 1},"{('é', 'è'): 1}",très,Mazères,{},{},"{('é', 'è'): 1}"
très,Villenave-de-Rions,très,Beychac-et-Caillau,{},{},{},trés,Captieux-bis,{},{},"{('è', 'é'): 1}",trò,Arbanats,{},{'s': 1},"{('è', 'ò'): 1}"
trés,Captieux-bis,très,Villenave-de-Rions,{},{},"{('é', 'è'): 1}",trés,Sainte-Croix-du-Mont,{},{},{},troubet,Captieux,"{'o': 1, 'u': 1, 'b': 1}",{},"{('é', 'e'): 1, ('s', 't'): 1}"
troubet,Captieux,trés,Léogeats,{},"{'b': 1, 'e': 1, 't': 1}","{('o', 'é'): 1, ('u', 's'): 1}",très,Langon,{},"{'b': 1, 'e': 1, 't': 1}","{('o', 'è'): 1, ('u', 's'): 1}",trés,Captieux-bis,{},"{'b': 1, 'e': 1, 't': 1}","{('o', 'é'): 1, ('u', 's'): 1}"
troubait,Escaudes,très,Bouliac,{},"{'b': 1, 'a': 1, 'i': 1, 't': 1}","{('o', 'è'): 1, ('u', 's'): 1}",très,Cérons,{},"{'b': 1, 'a': 1, 'i': 1, 't': 1}","{('o', 'è'): 1, ('u', 's'): 1}",,,,,
très,Giscos,très,Bieujac,{},{},{},très,Caychac,{},{},{},trè,Saint-Pardon-de-Conques,{},{'s': 1},{}
très,Saint-Michel-de-Castelnau,tré,Cenon,{},{'s': 1},"{('è', 'é'): 1}",treis,Saint-Émilion,{'e': 1},{},"{('è', 'i'): 1}",tré,Toulenne,{},{'s': 1},"{('è', 'é'): 1}"
treix,Ambarès-et-Lagrave,,,,,,,,,,,,,,,
tré,Ambès,très,Martignas-sur-Jalle,{'è': 1},{},"{('é', 's'): 1}",très,Beychac-et-Caillau,{'è': 1},{},"{('é', 's'): 1}",,,,,
trè,Bassens,trè,Le Taillan-Médoc,{},{},{},très,Beychac-et-Caillau,{'s': 1},{},{},,,,,
très,Beychac-et-Caillau,trè,Bassens,{},{'s': 1},{},très,Villenave-de-Rions,{},{},{},tré,Ambès,{},{'s': 1},"{('è', 'é'): 1}"
très,Bouliac,trè,Podensac,{},{'s': 1},{},troubait,Escaudes,"{'o': 1, 'u': 1, 'b': 1, 'a': 1}",{},"{('è', 'i'): 1, ('s', 't'): 1}",très,Carbon-Blanc-bis,{},{},{}
